Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-03-30T03:11:09.084652+00:00,UConn Huskies vs. Illinois Fighting Illini,N/A,Apr 04 06:09PM ET,2026-03-30 03:02:10 UTC,Over,0.0103555120713323,Over,0.5341650358808562,139.5,139.5,144.492443262571
2026-04-01T17:23:55.621735+00:00,Colorado Buffaloes vs. Oklahoma Sooners,Colorado Buffaloes,Apr 01 08:00PM ET,2026-04-01 17:07:20 UTC,Spread,0.0131155217815734,8.0,0.547999242711806,,9.5,5.9
2026-04-01T17:23:55.621810+00:00,Colorado Buffaloes vs. Oklahoma Sooners,N/A,Apr 01 08:00PM ET,2026-04-01 17:07:20 UTC,Under,0.0266417263740003,Under,0.5388368483252198,,165.5,159.14
2026-04-05T16:13:02.947642+00:00,Michigan Wolverines vs. UConn Huskies,N/A,Apr 06 09:00PM ET,2026-04-05 15:30:16 UTC,Over,0.011130608835512,Over,0.5233257307867316,144.5,144.5,148.0
