Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-03-09T03:07:13.411499+00:00,Wright St Raiders vs. Northern Kentucky Norse,Wright St Raiders,Mar 09 06:00PM ET,2026-03-09 02:38:14 UTC,Spread,0.0400692258560322,-0.5,0.5638787496655561,,1.5,-3.8
2026-03-09T03:07:13.411555+00:00,Wright St Raiders vs. Northern Kentucky Norse,Wright St Raiders,Mar 09 06:00PM ET,2026-03-09 02:38:14 UTC,Moneyline,0.0574822609813443,Win,0.5525317659318394,,102.0,0.5525317659318394
2026-03-09T03:07:13.411598+00:00,Wright St Raiders vs. Northern Kentucky Norse,N/A,Mar 09 06:00PM ET,2026-03-09 02:38:14 UTC,Under,0.0103555120713323,Under,0.5341650358808562,,157.5,152.474406401176
2026-03-09T03:07:13.411789+00:00,East Tennessee St Buccaneers vs. Furman Paladins,East Tennessee St Buccaneers,Mar 09 07:00PM ET,2026-03-09 02:38:14 UTC,Moneyline,0.0217761048980383,Win,0.5998351766279962,,-137.0,0.5998351766279962
2026-03-09T05:31:02.185058+00:00,Lehigh Mountain Hawks vs. Boston Univ. Terriers,N/A,Mar 11 07:00PM ET,2026-03-09 05:07:30 UTC,Over,0.0134423846601043,Over,0.5256375066113239,141.5,141.5,145.0
2026-03-09T10:21:35.230592+00:00,UT Rio Grande Valley Vaqueros vs. Nicholls St Colonels,Nicholls St Colonels,Mar 09 08:30PM ET,2026-03-09 10:05:08 UTC,Spread,0.0241897189022821,7.0,0.547999242711806,8.5,8.5,5.0
2026-03-09T10:21:35.231140+00:00,Gonzaga Bulldogs vs. Oregon St Beavers,Gonzaga Bulldogs,Mar 09 09:00PM ET,2026-03-09 10:05:08 UTC,Spread,0.0432973911604778,-20.5,0.5671069149700017,-18.5,-18.5,-23.2
2026-03-09T13:33:41.513714+00:00,Troy Trojans vs. Georgia Southern Eagles,Georgia Southern Eagles,Mar 09 07:00PM ET,2026-03-09 10:05:08 UTC,Spread,0.0198474412598779,5.5,0.5320425632110974,5.5,6.5,4.6
2026-03-09T14:24:48.040917+00:00,Arizona St Sun Devils vs. Baylor Bears,Baylor Bears,Mar 10 12:30PM ET,2026-03-09 14:19:24 UTC,Moneyline,0.0573270787459117,Win,0.614849202639717,,-126,0.614849202639717
2026-03-09T15:24:40.267447+00:00,Northwestern Wildcats vs. Penn State Nittany Lions,Northwestern Wildcats,Mar 10 07:30PM ET,2026-03-09 14:49:05 UTC,Moneyline,0.0179134552093539,Win,0.7401356774315762,,-260.0,0.7401356774315762
