Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-01-19T00:32:10.812594+00:00,Alabama St Hornets vs. Alabama A&M Bulldogs,Alabama St Hornets,Jan 19 05:00PM ET,2026-01-18 22:50:27 UTC,Moneyline,0.0395132308296948,Win,0.5796823640220838,,-117,0.5796823640220838
2026-01-19T00:32:10.814050+00:00,Jackson St Tigers vs. Texas Southern Tigers,Jackson St Tigers,Jan 19 08:00PM ET,2026-01-18 23:04:48 UTC,Moneyline,0.0122427486422185,Win,0.582085486847584,,-132,0.582085486847584
2026-01-19T19:07:40.491280+00:00,South Carolina Gamecocks vs. Oklahoma Sooners,South Carolina Gamecocks,Jan 20 07:00PM ET,2026-01-19 18:45:18 UTC,Spread,0.0131155217815734,-0.0,0.547999242711806,1.5,1.5,-2.4
2026-01-19T20:08:15.577247+00:00,Kent State Golden Flashes vs. Miami (OH) RedHawks,Miami (OH) RedHawks,Jan 20 07:00PM ET,2026-01-19 20:05:26 UTC,Moneyline,0.0104382304179241,Win,0.534247754227448,,-110.0,0.534247754227448
2026-01-19T20:08:15.578211+00:00,Iowa Hawkeyes vs. Rutgers Scarlet Knights,Iowa Hawkeyes,Jan 20 08:30PM ET,2026-01-19 20:05:26 UTC,Spread,0.0266252922230992,-20.0,0.5504348160326231,,-18.5,-22.1
2026-01-19T20:08:15.579643+00:00,Colorado Buffaloes vs. Kansas Jayhawks,Kansas Jayhawks,Jan 20 11:00PM ET,2026-01-19 20:05:26 UTC,Spread,0.020499754231766,-6.5,0.5638787496655561,,-4.5,-9.1
