Date,Team1,Team2,Prediction,Spread
2026-02-26,11 Michigan St. at 7 Purdue B10,8:00 pm Peacock,"West Lafayette, IN
Mackey Arena",79.21
2026-02-26,92 Wichita St. at 115 Memphis Amer,9:00 pm ESPN2,"Memphis, TN
FedExForum",50.22
2026-02-26,117 North Dakota St. at 118 St. Thomas Sum,9:00 pm,"St. Paul, MN
Anderson Arena",46.53
2026-02-26,110 UC Irvine at 156 CSUN BW,10:00 pm ESPN+,"Northridge, CA
Premier America Credit Union A",45.94
2026-02-26,109 Hawaii at 149 UC Davis BW,9:00 pm ESPN+,"Davis, CA
University Credit Union Center",45.55
2026-02-26,105 Liberty at 183 Kennesaw St. CUSA,7:00 pm ESPN+,"Kennesaw, GA
KSU Convocation Center",45.16
2026-02-26,123 Rhode Island at 160 St. Bonaventure A10,5:00 pm ESPN+,"St. Bonaventure, NY
Reilly Center",43.37
2026-02-26,151 Northern Colorado at 171 Eastern Washington BSky,9:00 pm ESPN+,"Cheney, WA
Reese Court",41.98
2026-02-26,142 Portland St. at 144 Montana St. BSky,9:00 pm ESPN+,"Bozeman, MT
Worthington Arena",39.19
2026-02-26,169 New Mexico St. at 161 Western Kentucky CUSA,7:30 pm ESPN+,"Bowling Green, KY
Diddle Arena",37.010
2026-02-26,168 Temple at 122 Florida Atlantic Amer,7:00 pm ESPN2,"Boca Raton, FL
Baldwin Arena",35.611
2026-02-26,199 Campbell at 223 Drexel CAA,7:00 pm FloSports,"Philadelphia, PA
Daskalakis Athletic Center",35.212
2026-02-26,164 UT Arlington at 126 Cal Baptist WAC,10:00 pm ESPN+,"Riverside, CA
Fowler Events Center",34.913
2026-02-26,"163 Charleston 85, 271 Hampton 71 [68] CAA
MVP: Christian Reeves (16p/12r/1a/2b)","box
win prob","Hampton, VA
Hampton Convocation Center",33.114
2026-02-26,211 Elon at 176 Towson CAA,7:00 pm FloSports,"Towson, MD
SECU Arena",33.015
2026-02-26,134 Winthrop at 257 Charleston Southern BSth,7:00 pm ESPN+,"Charleston, SC
Buccaneer Fieldhouse",33.016
2026-02-26,220 Stony Brook at 206 Monmouth CAA,7:00 pm FloSports,"West Long Branch, NJ
OceanFirst Bank Center",32.617
2026-02-26,243 Long Beach St. at 212 Cal Poly BW,10:00 pm ESPN+,"San Luis Obispo, CA
Mott Athletics Center",32.218
2026-02-26,238 Tennessee St. at 224 Southeast Missouri OVC,8:30 pm ESPN+,"Cape Girardeau, MO
Show Me Center",32.119
