Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
21 North Carolina vs.  18 Michigan St.,Michigan St. 76-75 (56%) [71],4:30 pm FOX,"Fort Myers, FL Suncoast Credit Union Arena",81.21,,
50 Saint Louis vs.  54 Santa Clara,Saint Louis 80-79 (52%) [73],7:00 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",71.12,,
55 Oklahoma St. vs.  47 Northwestern,Northwestern 82-79 (59%) [73],10:30 pm Big Ten Network,"Chicago, IL United Center",69.43,,
59 Providence vs.  23 Wisconsin,Wisconsin 85-80 (68%) [73],5:30 pm FOX Sports 1,"San Diego, CA Jenny Craig Pavilion",69.04,,
11 BYU vs.  46 Miami FL,BYU 85-78 (76%) [73],5:00 pm ESPN,"Kissimmee, FL State Farm Field House",67.05,,
35 Arkansas vs.  3 Duke,Duke 84-74 (81%) [71],8:00 pm CBS,"Chicago, IL United Center",64.76,,
79 Georgetown vs.  70 Dayton,Dayton 75-74 (53%) [70],7:30 pm ESPN2,"Kissimmee, FL State Farm Field House",63.17,,
86 Oregon vs.  61 Creighton,Creighton 77-75 (58%) [69],2:00 pm truTV,"Las Vegas, NV Michelob Ultra Arena",62.98,,
87 Colorado vs.  71 San Francisco,San Francisco 79-78 (56%) [69],2:00 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",62.19,,
106 Minnesota vs.  94 Stanford,Stanford 73-72 (54%) [69],9:30 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",53.21,,
53 Washington vs.  107 Nevada,Washington 77-71 (70%) [68],4:30 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",52.711,,
77 TCU vs.  7 Florida,Florida 82-70 (86%) [72],3:00 pm FOX Sports 1,"San Diego, CA Jenny Craig Pavilion",50.112,,
137 Rutgers vs.  114 UNLV,UNLV 81-77 (63%) [72],4:30 pm truTV,"Las Vegas, NV Michelob Ultra Arena",43.813,,
103 Richmond vs.  165 Furman,Richmond 78-72 (70%) [68],11:00 am ESPN2,"Kissimmee, FL State Farm Field House",38.514,,
187 Charlotte vs.  116 Illinois St.,Illinois St. 74-69 (67%) [64],1:30 pm ESPN2,"Kissimmee, FL State Farm Field House",36.915,,
261 East Carolina vs.  121 St. Bonaventure,St. Bonaventure 78-70 (78%) [69],12:00 pm FOX Sports 1,"Fort Myers, FL Suncoast Credit Union Arena",27.216,,
