Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
78 Colorado St. vs.  59 Virginia Tech,Virginia Tech 80-78 (57%) [67],5:00 pm ESPNU,"Nassau, Bahamas Imperial Arena at Atlantis Res",65.61,,
54 VCU vs.  84 South Florida,VCU 85-82 (61%) [76],2:30 pm ESPN2,"Nassau, Bahamas Imperial Arena at Atlantis Res",65.32,,
91 Wichita St. vs.  26 Saint Mary's,Saint Mary's 75-67 (75%) [66],7:30 pm ESPN2,"Nassau, Bahamas Imperial Arena at Atlantis Res",54.13,,
136 South Dakota St. vs.  133 UC Irvine,UC Irvine 75-74 (51%) [71],8:30 pm FloSports,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",43.54,,
144 Toledo vs.  97 Belmont,Belmont 83-77 (68%) [72],1:30 pm FloSports,"Fort Myers, FL Alico Arena",42.85,,
149 Kennesaw St. at  153 Florida Gulf Coast,Florida Gulf Coast 84-82 (58%) [73],7:00 pm FloSports,"Fort Myers, FL Alico Arena",40.76,,
146 Illinois Chicago at  210 Robert Morris,Illinois Chicago 74-73 (52%) [70],2:00 pm ESPN+,"Moon Township, PA UPMC Events Center",37.87,,
175 North Dakota St. vs.  199 Jacksonville St.,North Dakota St. 73-72 (54%) [69],3:00 pm,"Jonesboro, AR First National Bank Arena",36.98,,
202 CSUN vs.  221 Idaho,Idaho 82-81 (50%) [73],9:00 pm ESPN+,"Boise, ID Idaho Central Arena",36.89,,
208 Pepperdine vs.  171 Fresno St.,Fresno St. 76-74 (57%) [71],7:00 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",36.51,,
168 Indiana St. at  198 Louisiana Tech,Louisiana Tech 69-67 (57%) [70],7:30 pm ESPN+,"Ruston, LA Thomas Assembly Center",35.311,,
163 Sam Houston St. vs.  231 Idaho St.,Sam Houston St. 73-71 (56%) [66],6:30 pm ESPN+,"Boise, ID Idaho Central Arena",35.312,,
145 Columbia at  250 Fairfield,Columbia 76-73 (60%) [69],7:00 pm ESPN+,"Fairfield, CT Mahoney Arena",35.013,,
129 Southern Illinois at  71 Memphis,Memphis 83-73 (82%) [73],8:00 pm ESPN+,"Memphis, TN FedExForum",35.014,,
214 Samford vs.  127 Utah Valley,Utah Valley 79-74 (69%) [69],6:00 pm FloSports,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",34.515,,
228 Nebraska Omaha at  226 FIU,FIU 82-79 (62%) [73],2:00 pm ESPN+,"Miami, FL Ocean Bank Convocation Center",33.016,,
217 Wofford at  212 Northern Kentucky,Northern Kentucky 76-73 (61%) [69],2:00 pm ESPN+,"Highland Heights, KY Truist Arena",33.017,,
185 Northern Colorado at  292 Air Force,Northern Colorado 75-73 (57%) [70],6:00 pm,"Colorado Springs, CO Clune Arena",32.718,,
256 Southeast Missouri at  259 Northern Arizona,Northern Arizona 79-76 (60%) [72],8:00 pm ESPN+,"Flagstaff, AZ Rolle Activity Center",32.019,,
264 Long Beach St. at  286 Portland,Portland 75-74 (51%) [70],10:00 pm ESPN+,"Portland, OR Chiles Center",31.82,,
178 Harvard at  119 Boston College,Boston College 72-65 (74%) [66],4:00 pm ACC Network Extra,"Chestnut Hill, MA Conte Forum",31.321,,
293 Oral Roberts vs.  230 Rice,Rice 80-77 (62%) [71],4:30 pm FloSports,"Fort Myers, FL Alico Arena",31.222,,
290 Bucknell vs.  216 Buffalo,Buffalo 76-73 (63%) [69],1:30 pm,"Fort Myers, FL Suncoast Credit Union Arena",30.423,,
211 Lipscomb at  142 Marshall,Marshall 80-73 (73%) [72],4:00 pm ESPN+,"Huntington, WV Cam Henderson Center",29.924,,
350 Army at  358 Fairleigh Dickinson,Fairleigh Dickinson 79-78 (51%) [72],2:00 pm,"Hackensack, NJ Bogota Savings Bank Center",29.525,,
327 UMass Lowell at  331 Stonehill,Stonehill 76-74 (57%) [71],12:00 pm,"Easton, MA Merkert Gymnasium",29.326,,
126 Miami OH vs.  261 UNC Greensboro,Miami OH 82-74 (76%) [71],2:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",28.727,,
326 Wagner at  301 Manhattan,Manhattan 77-73 (62%) [68],5:00 pm ESPN+,"Riverdale, NY Draddy Gymnasium",28.628,,
283 Houston Christian at  357 The Citadel,Houston Christian 74-70 (63%) [67],7:00 pm ESPN+,"Charleston, SC McAlister Field House",27.229,,
275 Brown at  351 New Hampshire,Brown 72-68 (64%) [68],1:00 pm ESPN+,"Durham, NH Lundholm Gym",26.93,,
147 Western Kentucky vs.  15 Vanderbilt,Vanderbilt 92-74 (95%) [74],12:00 pm ESPN,"Nassau, Bahamas Imperial Arena at Atlantis Res",26.831,,
285 Appalachian St. at  197 Mercer,Mercer 77-70 (74%) [67],2:00 pm ESPN+,"Macon, GA Hawkins Arena",25.632,,
266 Denver at  134 Wyoming,Wyoming 83-72 (82%) [70],8:30 pm,"Laramie, WY Arena-Auditorium",22.433,,
320 Southern Indiana at  218 Valparaiso,Valparaiso 79-71 (78%) [71],3:00 pm ESPN+,"Valparaiso, IN Athletics-Recreation Center",22.334,,
260 Southeastern Louisiana at  116 UNC Wilmington,UNC Wilmington 76-65 (85%) [67],7:00 pm FloSports,"Wilmington, NC Trask Coliseum",20.635,,
141 Bowling Green vs.  332 VMI,Bowling Green 82-71 (83%) [72],11:00 am,"Fort Myers, FL Suncoast Credit Union Arena",19.936,,
162 Navy vs.  345 Gardner Webb,Navy 84-73 (84%) [73],4:00 pm FloSports,"Wilmington, NC Trask Coliseum",19.137,,
330 Georgia St. vs.  130 New Mexico St.,New Mexico St. 77-66 (85%) [67],3:00 pm FloSports,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",18.738,,
180 New Orleans at  31 Texas Tech,Texas Tech 87-67 (96%) [70],1:00 pm ESPN+,"Lubbock, TX United Supermarkets Arena",17.039,,
273 Alabama St. at  98 New Mexico,New Mexico 81-66 (92%) [71],9:00 pm,"Albuquerque, NM The Pit",14.84,,
241 Eastern Michigan at  45 Cincinnati,Cincinnati 82-62 (97%) [73],7:00 pm ESPN+,"Cincinnati, OH Fifth Third Arena",13.441,,
118 Troy vs.  360 Saint Francis,Troy 84-66 (95%) [71],11:00 am FloSports,"Fort Myers, FL Alico Arena",10.642,,
322 Tennessee Tech at  10 Kentucky,Kentucky 93-61 (99.8%) [72],7:00 pm SEC Network,"Lexington, KY Rupp Arena",9.043,,
347 NJIT at  8 Louisville,Louisville 96-60 (99.9%) [72],9:00 pm ACC Network,"Louisville, KY KFC Yum! Center",8.144,,
NR Central St. at  124 Duquesne,,6:00 pm ESPN+,"Pittsburgh, PA UPMC Cooper Fieldhouse",0.045,,
NR Worcester St. at  342 Holy Cross,,2:00 pm ESPN+,"Worcester, MA Hart Center Arena",0.045,,
