Date,Team1,Team2,Prediction,Spread
2026-02-27,2 Michigan at 4 Illinois B10,8:00 pm FOX,"Champaign, IL
State Farm Center",92.61
2026-02-27,78 Dayton at 75 George Washington A10,7:00 pm ESPN2,"Washington, DC
Charles E. Smith Center",58.62
2026-02-27,71 Akron at 147 Kent St. MAC,8:00 pm ESPNU,"Kent, OH
Memorial Athletic & Convocatio",49.53
2026-02-27,77 Yale at 172 Cornell Ivy,6:00 pm ESPNU,"Ithaca, NY
Newman Arena",46.44
2026-02-27,196 Siena at 261 Fairfield MAAC,7:00 pm ESPN+,"Fairfield, CT
Mahoney Arena",34.05
2026-02-27,180 Appalachian St. at 248 Texas St. SB,8:00 pm ESPN+,"San Marcos, TX
Strahan Coliseum",33.96
2026-02-27,150 Harvard at 260 Princeton Ivy,7:00 pm ESPN+,"Princeton, NJ
Jadwin Gymnasium",32.67
2026-02-27,246 Old Dominion at 298 Georgia St. SB,7:30 pm ESPN+,"Atlanta, GA
GSU Convocation Center",31.28
2026-02-27,230 Coastal Carolina at 214 James Madison SB,8:00 pm ESPN+,"Harrisonburg, VA
Atlantic Union Bank Center",31.09
2026-02-27,290 Mount St. Mary's at 295 Sacred Heart MAAC,7:00 pm ESPN+,"Fairfield, CT
William Pitt Center - West Gym",30.310
2026-02-27,235 Southern Miss at 186 South Alabama SB,8:30 pm ESPN+,"Mobile, AL
Mitchell Center",30.311
2026-02-27,250 Dartmouth at 173 Penn Ivy,7:00 pm ESPN+,"Philadelphia, PA
Palestra",28.112
2026-02-27,272 Brown at 197 Columbia Ivy,7:00 pm ESPN+,"New York, NY
Levien Gymnasium",26.213
2026-02-27,82 Miami OH at 273 Western Michigan MAC,6:00 pm CBS Sports Network,"Kalamazoo, MI
University Arena",26.114
2026-02-27,276 Georgia Southern at 185 Marshall SB,9:00 pm ESPN2,"Huntington, WV
Cam Henderson Center",24.215
2026-02-27,206 Quinnipiac at 344 Niagara MAAC,6:30 pm ESPN+,"Niagara, NY
Gallagher Center",21.016
2026-02-27,331 Manhattan at 249 Saint Peter's MAAC,7:00 pm ESPN+,"Jersey City, NJ
Yanitelli Center",20.817
2026-02-27,166 Merrimack at 348 Canisius MAAC,7:00 pm ESPN+,"Buffalo, NY
Koessler Athletic Center",17.318
2026-02-27,305 Louisiana at 146 Arkansas St. SB,8:30 pm ESPN+,"Jonesboro, AR
First National Bank Arena",17.019
2026-02-27,357 Rider at 253 Iona MAAC,7:00 pm ESPN+,"New Rochelle, NY
Hynes Athletics Center",12.320
2026-02-27,351 Louisiana Monroe at 156 Troy SB,7:00 pm ESPN+,"Troy, AL
Trojan Arena",10.221
