Date,Team1,Team2,Prediction,Spread
2026-02-17,1 Michigan at 8 Purdue B10,6:30 pm Peacock,"West Lafayette, IN
Mackey Arena",90.61
2026-02-17,14 Louisville at 38 SMU ACC,7:00 pm ESPN2,"Dallas, TX
Moody Coliseum",84.32
2026-02-17,11 Nebraska at 25 Iowa B10,9:00 pm Big Ten Network,"Iowa City, IA
Carver-Hawkeye Arena",83.13
2026-02-17,32 Wisconsin at 40 Ohio St. B10,8:30 pm FOX Sports 1,"Columbus, OH
Schottenstein Center",79.04
2026-02-17,28 North Carolina at 31 N.C. State ACC,7:00 pm ESPN,"Raleigh, NC
Lenovo Center",78.55
2026-02-17,43 Georgia at 27 Kentucky SEC,9:00 pm ESPN,"Lexington, KY
Rupp Arena",67.86
2026-02-17,50 TCU at 52 UCF B12,7:00 pm ESPN+,"Orlando, FL
Addition Financial Arena",66.77
2026-02-17,16 Texas Tech at 70 Arizona St. B12,11:00 pm ESPN2,"Tempe, AZ
Desert Financial Arena",65.38
2026-02-17,45 Baylor at 101 Kansas St. B12,9:00 pm ESPN2,"Manhattan, KS
Bramlage Coliseum",62.89
2026-02-17,26 Villanova at 94 Xavier BE,6:30 pm FOX Sports 1,"Cincinnati, OH
Cintas Center",61.510
2026-02-17,42 UCLA at 13 Michigan St. B10,8:30 pm Peacock,"East Lansing, MI
Breslin Center",58.811
2026-02-17,55 LSU at 29 Texas SEC,9:00 pm SEC Network,"Austin, TX
Moody Center",55.112
2026-02-17,65 Virginia Tech at 37 Miami FL ACC,8:00 pm ACC Network,"Coral Gables, FL
Watsco Center",54.813
2026-02-17,76 George Washington at 46 VCU A10,8:00 pm CBS Sports Network,"Richmond, VA
Siegel Center",54.814
2026-02-17,84 Minnesota at 97 Oregon B10,10:30 pm FOX Sports 1,"Eugene, OR
Knight Arena",52.815
2026-02-17,67 Grand Canyon at 41 San Diego St. MWC,10:00 pm CBS Sports Network,"San Diego, CA
Viejas Arena",51.216
2026-02-17,23 Saint Louis at 118 Rhode Island A10,7:00 pm ESPN+,"Kingston, RI
Ryan Center",47.517
2026-02-17,85 Miami OH at 185 Massachusetts MAC,7:00 pm ESPN+,"Amherst, MA
Mullins Center",44.618
2026-02-17,122 Fresno St. at 98 Wyoming MWC,8:30 pm,"Laramie, WY
Arena-Auditorium",41.319
2026-02-17,147 Kent St. at 140 Bowling Green MAC,7:00 pm ESPN+,"Bowling Green, OH
Stroh Center",41.320
2026-02-17,150 Boston College at 79 Florida St. ACC,6:00 pm ACC Network,"Tallahassee, FL
Tucker Center",33.221
2026-02-17,229 Southeast Missouri at 196 Tennessee Martin OVC,8:30 pm ESPN+,"Martin, TN
Elam Center",30.322
2026-02-17,59 Nevada at 253 San Jose St. MWC,10:00 pm,"San Jose, CA
Provident Credit Union Event C",30.123
2026-02-17,96 South Carolina at 5 Florida SEC,7:00 pm SEC Network,"Gainesville, FL
O'Connell Center",28.324
2026-02-17,272 Central Michigan at 230 Eastern Michigan MAC,6:30 pm ESPN+,"Ypsilanti, MI
George Gervin GameAbove Center",27.225
2026-02-17,68 Akron at 279 Western Michigan MAC,7:00 pm ESPN+,"Kalamazoo, MI
University Arena",24.026
2026-02-17,324 Ball St. at 220 Ohio MAC,7:00 pm ESPN+,"Athens, OH
Convocation Center",18.427
2026-02-17,316 Northern Illinois at 186 Buffalo MAC,6:30 pm ESPN+,"Buffalo, NY
Alumni Arena",18.028
2026-02-17,363 Gardner Webb at 248 Charleston Southern BSth,6:00 pm ESPN+,"Charleston, SC
Buccaneer Fieldhouse",10.129
2026-02-17,347 Air Force at 44 New Mexico MWC,9:00 pm,"Albuquerque, NM
The Pit",6.930
