Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
89 Penn St. vs.  70 Providence,Providence 83-81 (59%) [72],4:00 pm truTV,"Uncasville, CT Mohegan Sun Arena",61.81,,
82 San Francisco vs.  93 Minnesota,San Francisco 71-70 (50%) [66],5:30 pm Peacock,"Sioux Falls, SD Sanford Pentagon",56.92,,
92 Northern Iowa at  131 UC Irvine,Northern Iowa 69-67 (59%) [69],10:30 pm ESPN+,"Irvine, CA Bren Events Center",46.83,,
127 UC Santa Barbara at  116 Nevada,Nevada 79-74 (68%) [68],5:00 pm,"Reno, NV Lawlor Events Center",40.34,,
176 Iona vs.  147 Oregon St.,Oregon St. 80-78 (56%) [71],5:30 pm,"St. Thomas, VI Virgin Islands Sport & Fitness",39.75,,
154 UT Arlington at  234 Weber St.,UT Arlington 76-75 (51%) [72],9:00 pm ESPN+,"Ogden, UT Dee Events Center",36.56,,
184 UT Rio Grande Valley at  227 Missouri St.,Missouri St. 76-75 (55%) [72],5:00 pm ESPN+,"Springfield, MO Great Southern Bank Arena",35.57,,
217 Western Carolina at  257 Lipscomb,Lipscomb 76-75 (52%) [71],5:00 pm ESPN+,"Nashville, TN Allen Arena",33.88,,
230 Mercer at  238 Eastern Kentucky,Eastern Kentucky 82-79 (60%) [74],3:00 pm ESPN+,"Richmond, KY Baptist Health Arena",33.89,,
177 Northern Colorado at  282 Portland,Northern Colorado 81-78 (62%) [74],8:00 pm ESPN+,"Portland, OR Chiles Center",33.31,,
114 Duquesne vs.  212 Northeastern,Duquesne 78-71 (74%) [71],4:00 pm,"Akron, OH LeBron James Arena",32.611,,
198 Incarnate Word vs.  85 High Point,High Point 84-74 (81%) [70],7:00 pm,"Daytona Beach, FL Ocean Center",31.812,,
278 Fairfield at  324 Le Moyne,Fairfield 76-75 (54%) [70],1:00 pm,"Syracuse, NY Grant Court",30.713,,
273 Boston University vs.  160 Harvard,Harvard 72-68 (66%) [64],1:30 pm,"Uncasville, CT Mohegan Sun Arena",30.714,,
252 North Alabama at  185 Chattanooga,Chattanooga 80-74 (69%) [68],4:30 pm ESPN+,"Chattanooga, TN McKenzie Arena",29.915,,
326 Niagara vs.  320 Howard,Howard 70-69 (51%) [66],4:00 pm ACC Network Extra,"Durham, NC Cameron Indoor Stadium",29.116,,
211 Coastal Carolina vs.  301 North Dakota,Coastal Carolina 77-72 (67%) [70],7:00 pm ESPN+,"Macomb, IL Western Hall",29.017,,
296 VMI at  348 Stetson,VMI 76-73 (58%) [72],7:00 pm ESPN+,"DeLand, FL Edmunds Center",29.018,,
344 Maryland Eastern Shore vs.  338 Binghamton,Binghamton 66-65 (53%) [65],3:00 pm,"Buffalo, NY Koessler Athletic Center",27.519,,
254 Southern Miss vs.  336 North Florida,Southern Miss 83-78 (69%) [73],8:00 pm ESPN+,"Pensacola, FL Pensacola Bay Center",27.32,,
330 UMass Lowell at  303 Saint Peter's,Saint Peter's 78-74 (66%) [69],2:00 pm ESPN+,"Jersey City, NJ Yanitelli Center",27.121,,
312 Green Bay vs.  189 Massachusetts,Massachusetts 79-72 (72%) [72],3:00 pm,"St. Thomas, VI Virgin Islands Sport & Fitness",26.422,,
300 Morehead St. vs.  355 Louisiana Monroe,Morehead St. 77-72 (68%) [71],6:00 pm,"Johnson City, TN Freedom Hall Civic Center",25.723,,
219 Tennessee Martin vs.  328 Prairie View A&M,Tennessee Martin 79-73 (72%) [74],5:00 pm YouTube,"Pensacola, FL Pensacola Bay Center",25.724,,
275 Ball St. at  190 Indiana St.,Indiana St. 80-72 (76%) [72],7:00 pm ESPN+,"Terre Haute, IN Hulman Center",25.225,,
208 Milwaukee at  94 Wichita St.,Wichita St. 85-73 (86%) [72],7:00 pm ESPN+,"Wichita, KS Charles Koch Arena",24.126,,
313 Southern Indiana vs.  143 Illinois Chicago,Illinois Chicago 81-72 (80%) [73],5:00 pm,"Daytona Beach, FL Ocean Center",22.927,,
290 Cleveland St. at  123 Kent St.,Kent St. 93-80 (88%) [74],2:00 pm ESPN+,"Kent, OH Memorial Athletic & Convocatio",19.528,,
162 St. Thomas vs.  342 Cal St. Fullerton,St. Thomas 84-73 (84%) [74],5:30 pm ESPN+,"Portland, OR Chiles Center",19.229,,
349 NJIT at  169 Navy,Navy 77-65 (87%) [71],12:00 pm ESPN+,"Annapolis, MD Alumni Hall",15.53,,
272 Nicholls at  52 Oklahoma St.,Oklahoma St. 88-67 (97%) [74],2:00 pm ESPN+,"Stillwater, OK Gallagher-Iba Arena",12.531,,
276 LIU at  11 Illinois,Illinois 94-65 (99.6%) [74],2:00 pm BTN Plus,"Champaign, IL State Farm Center",11.632,,
340 Gardner Webb at  106 Richmond,Richmond 87-69 (95%) [72],7:00 pm ESPN+,"Richmond, VA Robins Center",11.433,,
308 Central Michigan at  72 Marquette,Marquette 87-66 (97%) [72],2:00 pm truTV,"Milwaukee, WI Fiserv Forum",11.134,,
332 Wagner at  73 Georgetown,Georgetown 81-60 (97%) [68],12:00 pm ESPN+,"Washington, DC Capital One Arena",9.635,,
345 North Carolina Central at  67 Dayton,Dayton 84-61 (98%) [68],2:00 pm ESPN+,"Dayton, OH University of Dayton Arena",8.436,,
365 Mississippi Valley St. at  266 Cal St. Bakersfield,Cal St. Bakersfield 80-61 (96%) [68],4:00 pm ESPN+,"Bakersfield, CA Icardo Center",8.237,,
364 Coppin St. at  56 VCU,VCU 90-59 (99.8%) [73],7:30 pm ESPN+,"Richmond, VA Siegel Center",6.738,,
NR Howard Payne at  251 Texas A&M Corpus Chris,,2:00 pm ESPN+,"Corpus Christi, TX Dugan Wellness Center",0.039,,
NR Schreiner at  161 Sam Houston St.,,3:30 pm ESPN+,"Huntsville, TX Johnson Coliseum",0.039,,
NR Nobel at  321 Southern Utah,,8:30 pm ESPN+,"Cedar City, UT America First Event Center",0.039,,
NR Eastern Oregon at  225 Idaho,,9:00 pm ESPN+,"Moscow, ID ICCU Arena",0.039,,
NR Lancaster Bible at  229 La Salle,,5:00 pm ESPN+,"Philadelphia, PA Glaser Arena",0.039,,
NR Vermont State Lyndon at  359 New Haven,,1:00 pm,"West Haven, CT The Hazell Center",0.039,,
NR UC Merced at  25 Saint Mary's,,10:30 pm ESPN+,"Moraga, CA University Credit Union Pavili",0.039,,
