Date,Team1,Team2,Prediction,Spread
2026-02-28,13 Vanderbilt at 30 Kentucky SEC,2:00 pm ESPN,"Lexington, KY
Rupp Arena",84.61
2026-02-28,11 Gonzaga at 24 Saint Mary's WCC,10:30 pm ESPN,"Moraga, CA
University Credit Union Pavili",84.52
2026-02-28,19 Alabama at 20 Tennessee SEC,6:00 pm ESPN,"Knoxville, TN
Thompson-Boling Arena",83.23
2026-02-28,18 Louisville at 41 Clemson ACC,2:00 pm ESPN2,"Clemson, SC
Littlejohn Coliseum",81.04
2026-02-28,31 Texas at 36 Texas A&M SEC,4:00 pm ESPN2,"College Station, TX
Reed Arena",78.05
2026-02-28,34 Wisconsin at 48 Washington B10,4:00 pm FOX Sports 1,"Seattle, WA
Alaska Airlines Arena",75.66
2026-02-28,29 Villanova at 22 St. John's BE,8:00 pm FOX,"New York, NY
Madison Square Garden",74.37
2026-02-28,17 Arkansas at 4 Florida SEC,8:30 pm ESPN,"Gainesville, FL
O'Connell Center",73.68
2026-02-28,16 Texas Tech at 7 Iowa St. B12,4:00 pm CBS,"Ames, IA
Hilton Coliseum",73.59
2026-02-28,21 BYU at 65 West Virginia B12,5:30 pm FOX,"Morgantown, WV
Hope Coliseum",72.510
2026-02-28,32 SMU at 74 Stanford ACC,6:00 pm ACC Network,"Stanford, CA
Maples Pavilion",70.411
2026-02-28,42 San Diego St. at 45 New Mexico MWC,2:00 pm CBS,"Albuquerque, NM
The Pit",69.612
2026-02-28,40 UCLA at 70 Minnesota B10,2:00 pm FOX Sports 1,"Minneapolis, MN
Williams Arena",68.513
2026-02-28,49 Baylor at 46 UCF B12,8:00 pm FOX Sports 1,"Orlando, FL
Addition Financial Arena",67.614
2026-02-28,12 Nebraska at 61 USC B10,4:00 pm Big Ten Network,"Los Angeles, CA
Galen Center",66.115
2026-02-28,15 Kansas at 3 Arizona B12,4:00 pm ESPN,"Tucson, AZ
McKale Memorial Center",65.516
2026-02-28,56 Oklahoma at 52 LSU SEC,6:00 pm SEC Network,"Baton Rouge, LA
Maravich Assembly Center",65.317
2026-02-28,51 Missouri at 88 Mississippi St. SEC,1:00 pm SEC Network,"Starkville, MS
Humphrey Coliseum",63.718
2026-02-28,27 N.C. State at 89 Notre Dame ACC,12:00 pm The CW Network,"South Bend, IN
Purcell Pavilion",63.419
2026-02-28,14 Virginia at 2 Duke ACC,12:00 pm ESPN,"Durham, NC
Cameron Indoor Stadium",63.420
2026-02-28,66 Providence at 78 Creighton BE,5:30 pm TNT,"Omaha, NE
CHI Health Center Omaha",63.421
2026-02-28,50 TCU at 99 Kansas St. B12,6:30 pm ESPN2,"Manhattan, KS
Bramlage Coliseum",61.622
2026-02-28,76 Syracuse at 79 Wake Forest ACC,5:45 pm The CW Network,"Winston-Salem, NC
Joel Coliseum",55.823
2026-02-28,68 Nevada at 124 UNLV MWC,10:00 pm CBS Sports Network,"Las Vegas, NV
Thomas & Mack Center",54.824
2026-02-28,63 Boise St. at 120 Fresno St. MWC,8:00 pm,"Fresno, CA
Save Mart Center",54.225
2026-02-28,87 Georgetown at 97 Xavier BE,1:30 pm TNT,"Cincinnati, OH
Cintas Center",54.126
2026-02-28,72 Oklahoma St. at 47 Cincinnati B12,2:00 pm CBS Sports Network,"Cincinnati, OH
Fifth Third Arena",53.827
2026-02-28,58 Virginia Tech at 28 North Carolina ACC,8:30 pm ESPN2,"Chapel Hill, NC
Dean E. Smith Center",53.128
2026-02-28,100 Oregon at 64 Northwestern B10,2:00 pm Big Ten Network,"Evanston, IL
Welsh-Ryan Arena",48.029
2026-02-28,23 Iowa at 134 Penn St. B10,12:00 pm Big Ten Network,"University Park, PA
Bryce Jordan Center",47.230
2026-02-28,62 Grand Canyon at 25 Utah St. MWC,10:00 pm FOX Sports 1,"Logan, UT
Dee Glen Smith Spectrum",46.731
2026-02-28,73 Florida St. at 164 Georgia Tech ACC,12:00 pm ACC Network,"Atlanta, GA
McCamish Pavilion",45.832
2026-02-28,84 Mississippi at 37 Auburn SEC,8:30 pm SEC Network,"Auburn, AL
Neville Arena",44.133
2026-02-28,130 UC Santa Barbara at 111 UC Irvine BW,10:30 pm ESPN2,"Irvine, CA
Bren Events Center",43.934
2026-02-28,109 Hawaii at 173 Cal St. Fullerton BW,7:00 pm ESPN+,"Fullerton, CA
Titan Gym",43.935
2026-02-28,118 Seattle at 142 Loyola Marymount WCC,9:00 pm ESPN+,"Los Angeles, CA
Gersten Pavilion",43.736
