Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
335 Green Bay at  316 Buffalo,Buffalo 80-75 (65%) [72],6:30 pm ESPN+,"Buffalo, NY Alumni Arena",27.825,,
283 Idaho St. at  175 San Diego,San Diego 80-73 (73%) [73],9:00 pm ESPN+,"San Diego, CA Jenny Craig Pavilion",27.126,,
247 Columbia at  359 New Haven,Columbia 79-73 (72%) [72],1:00 pm,"West Haven, CT The Hazell Center",24.727,,
179 Youngstown St. at  77 Grand Canyon,Grand Canyon 84-70 (89%) [73],9:00 pm,"Phoenix, AZ Global Credit Union Arena",22.528,,
254 Sacred Heart at  108 Duquesne,Duquesne 82-70 (86%) [73],7:00 pm ESPN+,"Pittsburgh, PA UPMC Cooper Fieldhouse",20.829,,
325 South Carolina St. at  197 Samford,Samford 82-72 (82%) [73],8:30 pm ESPN+,"Birmingham, AL Pete Hanna Center",20.13,,
168 Rice at  46 Oregon,Oregon 84-67 (94%) [72],10:00 pm BTN Plus,"Eugene, OR Knight Arena",19.731,,
209 Longwood at  62 Pittsburgh,Pittsburgh 83-67 (93%) [71],7:00 pm ACC Network Extra,"Pittsburgh, PA Petersen Events Center",17.932,,
315 Kansas City at  131 Southern Illinois,Southern Illinois 81-68 (88%) [72],8:00 pm ESPN+,"Carbondale, IL Banterra Center",16.333,,
189 Florida Gulf Coast at  5 Illinois,Illinois 91-65 (99%) [73],8:30 pm Peacock,"Champaign, IL State Farm Center",15.634,,
250 Boston University at  59 Northwestern,Northwestern 78-61 (94%) [68],6:00 pm Peacock,"Evanston, IL Welsh-Ryan Arena",15.535,,
213 Purdue Fort Wayne at  37 Ohio St.,Ohio St. 93-72 (97%) [75],6:30 pm Big Ten Network,"Columbus, OH Value City Arena",15.536,,
341 Tennessee Tech at  162 Charlotte,Charlotte 82-69 (88%) [70],7:00 pm ESPN+,"Charlotte, NC Halton Arena",15.337,,
285 Alabama St. at  89 Florida St.,Florida St. 86-69 (93%) [74],7:00 pm ACC Network Extra,"Tallahassee, FL Tucker Center",15.138,,
190 Sam Houston St. at  13 Texas Tech,Texas Tech 88-64 (98%) [71],8:00 pm ESPN+,"Lubbock, TX United Supermarkets Arena",14.539,,
203 Oakland at  1 Purdue,Purdue 91-64 (99%) [69],7:00 pm Peacock,"West Lafayette, IN Mackey Arena",13.74,,
308 Bryant at  95 Georgia Tech,Georgia Tech 81-65 (93%) [70],7:30 pm ACC Network Extra,"Atlanta, GA McCamish Pavilion",13.741,,
241 Pepperdine at  20 UCLA,UCLA 86-62 (98%) [71],10:30 pm Big Ten Network,"Los Angeles, CA Pauley Pavilion",12.942,,
248 Utah Tech at  10 Arizona,Arizona 93-65 (99%) [75],9:00 pm TNT,"Tucson, AZ McKale Memorial Center",12.643,,
307 Detroit Mercy at  72 Notre Dame,Notre Dame 84-65 (96%) [71],7:00 pm ACC Network Extra,"South Bend, IN Purcell Pavilion",12.344,,
261 Southeast Missouri at  29 Missouri,Missouri 90-66 (99%) [74],8:00 pm SEC Network Plus,"Columbia, MO Mizzou Arena",12.145,,
299 Northern Illinois at  18 Wisconsin,Wisconsin 93-66 (99%) [73],8:30 pm Big Ten Network,"Madison, WI Kohl Center",11.146,,
294 Morehead St. at  58 Wake Forest,Wake Forest 85-63 (97%) [71],7:00 pm ACC Network Extra,"Winston-Salem, NC Joel Coliseum",11.147,,
288 Valparaiso at  3 Kentucky,Kentucky 93-61 (99.8%) [73],7:00 pm SEC Network Plus,"Lexington, KY Rupp Arena",10.548,,
329 Stonehill at  78 DePaul,DePaul 84-64 (97%) [71],8:00 pm ESPN+,"Chicago, IL Wintrust Arena",10.449,,
295 UMass Lowell at  7 Connecticut,Connecticut 92-62 (99.7%) [70],7:30 pm Peacock,"Hartford, CT PeoplesBank Arena",10.15,,
317 Gardner Webb at  27 Clemson,Clemson 88-61 (99%) [71],7:00 pm ACC Network,"Clemson, SC Littlejohn Coliseum",9.351,,
338 North Carolina Central at  53 Virginia,Virginia 88-63 (99%) [70],7:00 pm ACC Network Extra,"Charlottesville, VA John Paul Jones Arena",9.252,,
327 Western Illinois at  39 Iowa,Iowa 83-59 (98%) [65],7:00 pm BTN Plus,"Iowa City, IA Carver-Hawkeye Arena",9.053,,
321 Georgia St. at  32 Cincinnati,Cincinnati 86-59 (99%) [73],7:00 pm ESPN+,"Cincinnati, OH Fifth Third Arena",8.854,,
357 Louisiana Monroe at  22 Mississippi,Mississippi 92-60 (99.8%) [71],7:30 pm SEC Network Plus,"Oxford, MS The Pavilion at Ole Miss",7.855,,
361 Wagner at  82 Seton Hall,Seton Hall 79-56 (98%) [68],7:30 pm ESPN+,"South Orange, NJ Walsh Gymnasium",7.756,,
365 Mississippi Valley St. at  128 Murray St.,Murray St. 88-59 (99.6%) [72],8:00 pm ESPN+,"Murray, KY CFSB Center",6.357,,
NR Wilmington DE at  239 Delaware,,11:00 am ESPN+,"Newark, DE Bob Carpenter Center",0.058,,
NR Jarvis Christian at  210 Incarnate Word,,6:00 pm ESPN+,"San Antonio, TX McDermott Convocation Center",0.058,,
NR Fort Lauderdale at  354 Stetson,,7:00 pm ESPN+,"DeLand, FL Edmunds Center",0.058,,
NR Huntingdon at  323 West Georgia,,7:00 pm ESPN+,"Carollton, GA The Coliseum",0.058,,
NR Calumet at  258 Evansville,,12:00 pm ESPN+,"Evansville, IN Ford Center",0.058,,
NR Whitman at  205 Idaho,,9:00 pm ESPN+,"Moscow, ID ICCU Arena",0.058,,
NR Western New Mexico at  158 UTEP,,9:00 pm ESPN+,"El Paso, TX Don Haskins Center",0.058,,
NR Mount Saint Mary at  257 Fordham,,7:30 pm ESPN+,"New York, NY Rose Hill Gym",0.058,,
NR Northwest Indian at  173 Portland St.,,10:00 pm ESPN+,"Portland, OR The Viking Pavilion",0.058,,
NR Jessup at  268 Sacramento St.,,10:00 pm ESPN+,"Sacramento, CA Hornet Pavilion",0.058,,
NR Lane at  225 North Alabama,,7:00 pm ESPN+,"Florence, AL CB&S Bank Arena",0.058,,
NR Rowan at  276 Penn,,7:00 pm ESPN+,"Philadelphia, PA Palestra",0.058,,
NR Mansfield at  224 Ball St.,,7:00 pm ESPN+,"Muncie, IN Worthen Arena",0.058,,
NR MIT at  161 Harvard,,5:00 pm ESPN+,"Boston, MA Lavietes Pavilion",0.058,,
NR Justice at  265 Northern Arizona,,8:00 pm ESPN+,"Flagstaff, AZ Rolle Activity Center",0.058,,
NR West Virginia Wesleyan at  152 Radford,,7:00 pm ESPN+,"Radford, VA Dedmon Center",0.058,,
NR Virginia Lynchburg at  273 Coastal Carolina,,7:00 pm ESPN+,"Conway, SC HTC Center",0.058,,
NR Colorado Christian at  196 Northern Colorado,,8:00 pm ESPN+,"Greeley, CO Bank of Colorado Arena",0.058,,
NR Trinity Christian at  123 Miami OH,,7:30 pm ESPN+,"Oxford, OH Millett Hall",0.058,,
