Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
19 Kansas at  30 North Carolina,North Carolina 79-77 (55%) [74],7:00 pm ESPN,"Chapel Hill, NC Dean E. Smith Center",79.91,,
60 VCU vs.  40 Utah St.,Utah St. 81-79 (60%) [75],8:00 pm,"Frisco, TX Comerica Center",70.42,,
101 McNeese at  106 Santa Clara,Santa Clara 78-76 (56%) [73],10:00 pm ESPN+,"Santa Clara, CA Leavey Center",52.03,,
138 Tulsa vs.  107 Rhode Island,Rhode Island 79-76 (63%) [73],6:00 pm CBS Sports Network,"Annapolis, MD Alumni Hall",44.84,,
102 Yale at  154 Navy,Yale 77-73 (64%) [71],8:30 pm CBS Sports Network,"Annapolis, MD Alumni Hall",43.45,,
117 Troy at  163 Furman,Troy 78-77 (54%) [72],7:00 pm ESPN+,"Greenville, SC Timmons Arena",43.26,,
88 Georgetown at  38 Maryland,Maryland 79-68 (82%) [71],6:00 pm FOX Sports 1,"College Park, MD Xfinity Center",42.87,,
126 Illinois Chicago at  143 Oregon St.,Oregon St. 76-74 (58%) [71],10:00 pm ESPN+,"Corvallis, OR Gill Coliseum",42.08,,
96 UAB at  31 N.C. State,N.C. State 87-74 (87%) [74],9:00 pm ACC Network,"Raleigh, NC Lenovo Center",39.49,,
153 Washington St. at  149 Davidson,Davidson 79-76 (61%) [73],7:00 pm ESPN+,"Davidson, NC Belk Arena",38.91,,
134 Charleston at  100 Liberty,Liberty 80-73 (73%) [71],6:00 pm YouTube,"Lynchburg, VA Liberty Arena",38.211,,
136 Arkansas St. at  234 Stephen F. Austin,Arkansas St. 75-73 (58%) [73],7:00 pm ESPN+,"Nacogdoches, TX Johnson Coliseum",37.012,,
145 Hofstra at  236 Iona,Hofstra 75-73 (56%) [71],7:00 pm ESPN+,"New Rochelle, NY Hynes Athletics Center",36.413,,
184 Siena at  167 Brown,Brown 74-72 (59%) [71],7:00 pm ESPN+,"Providence, RI Pizzitola Sports Center",36.114,,
183 Cornell at  137 Kent St.,Kent St. 85-79 (70%) [74],7:00 pm ESPN+,"Kent, OH Memorial Athletic & Convocatio",34.615,,
118 Chattanooga at  48 Saint Mary's,Saint Mary's 79-67 (85%) [68],10:30 pm ESPN+,"Moraga, CA University Credit Union Pavili",34.216,,
226 Northeastern at  182 Colgate,Colgate 77-73 (65%) [71],5:00 pm ESPN+,"Hamilton, NY Cotterell Court",32.317,,
259 VMI at  293 Southern Indiana,Southern Indiana 77-76 (54%) [74],8:30 pm ESPN+,"Evansville, IN Liberty Arena",32.118,,
188 Cal Baptist at  113 UC Irvine,UC Irvine 78-71 (75%) [71],10:30 pm ESPN+,"Irvine, CA Bren Events Center",31.819,,
272 Southeastern Louisiana at  243 Louisiana,Louisiana 75-71 (63%) [70],8:30 pm ESPN+,"Lafayette, LA Cajundome",30.12,,
279 Bucknell at  246 Mount St. Mary's,Mount St. Mary's 73-70 (63%) [71],7:00 pm ESPN+,"Emmitsburg, MD Knott Arena",29.821,,
148 Winthrop at  84 George Mason,George Mason 79-69 (83%) [71],7:00 pm ESPN+,"Fairfax, VA EagleBank Arena",29.722,,
214 Nicholls at  324 Eastern Illinois,Nicholls 72-68 (62%) [71],8:00 pm ESPN+,"Charleston, IL Groniger Arena",29.023,,
231 SIUE at  146 UTSA,UTSA 79-72 (75%) [73],1:30 pm ESPN+,"San Antonio, TX UTSA Convocation Center",28.224,,
