Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
2 Florida vs.  15 Arizona,Florida 84-79 (65%) [75],7:00 pm TNT,"Las Vegas, NV T-Mobile Arena",83.41,,
50 Villanova vs.  18 BYU,BYU 80-75 (69%) [71],9:30 pm TNT,"Las Vegas, NV T-Mobile Arena",70.12,,
90 Boston College at  145 Florida Atlantic,Boston College 77-75 (59%) [71],7:00 pm ESPNU,"Boca Raton, FL Eleanor R. Baldwin Arena",47.43,,
103 High Point vs.  133 Furman,High Point 78-75 (58%) [70],6:30 pm YouTube,"Rock Hill, SC Rock Hill Sports & Events Cent",47.34,,
106 Bradley vs.  122 St. Bonaventure,Bradley 72-70 (56%) [68],11:00 am YouTube,"Rock Hill, SC Rock Hill Sports & Events Cent",47.25,,
124 Troy at  125 Kent St.,Kent St. 74-72 (59%) [70],7:00 pm ESPN+,"Kent, OH Memorial Athletic & Convocatio",43.06,,
147 Arkansas St. at  154 Ohio,Ohio 78-75 (61%) [73],7:00 pm ESPN+,"Athens, OH Convocation Center",38.77,,
134 Murray St. vs.  187 Nebraska Omaha,Murray St. 77-74 (62%) [71],1:30 pm YouTube,"Sioux Falls, SD Sanford Pentagon",37.68,,
136 James Madison at  94 Akron,Akron 80-73 (75%) [71],7:00 pm ESPN+,"Akron, OH James A. Rhodes Arena",37.59,,
181 South Alabama at  166 Toledo,Toledo 77-74 (61%) [70],7:00 pm ESPN+,"Toledo, OH Savage Arena",35.81,,
176 Texas St. at  192 Bowling Green,Bowling Green 73-71 (59%) [71],7:00 pm ESPN+,"Bowling Green, OH Stroh Center",35.111,,
197 Marshall at  196 Massachusetts,Massachusetts 78-75 (62%) [74],7:00 pm ESPN+,"Amherst, MA Mullins Center",34.312,,
186 Indiana St. at  189 Charlotte,Charlotte 79-75 (63%) [72],8:00 pm ESPN+,"Charlotte, NC Dale F. Halton Arena",34.313,,
214 Louisiana at  255 Ball St.,Ball St. 76-75 (53%) [70],7:00 pm ESPN+,"Muncie, IN Worthen Arena",33.914,,
