Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
32 Indiana vs.  44 Marquette,Indiana 77-75 (58%) [73],1:00 pm ESPN,"Chicago, IL United Center",74.31,,
31 Texas A&M at  72 Oklahoma St.,Texas A&M 85-83 (59%) [79],2:00 pm ESPN2,"Stillwater, OK Gallagher-Iba Arena",72.02,,
48 Washington at  19 Baylor,Baylor 82-74 (77%) [71],8:30 pm ESPN,"Waco, TX Foster Pavilion",59.03,,
80 North Texas vs.  137 Loyola Chicago,North Texas 74-70 (67%) [69],5:00 pm,"Hoffman Estates, IL NOW Arena",45.74,,
132 Florida Atlantic at  93 Liberty,Liberty 81-73 (76%) [70],6:00 pm YouTube,"Lynchburg, VA Liberty Arena",37.55,,
187 Marist at  227 Dartmouth,Dartmouth 71-70 (53%) [71],2:00 pm ESPN+,"Hanover, NH Leede Arena",34.46,,
204 Vermont at  218 Brown,Brown 69-68 (55%) [68],2:00 pm ESPN+,"Providence, RI Pizzitola Sports Center",33.57,,
233 UC Davis at  276 Portland,UC Davis 77-76 (52%) [74],5:00 pm ESPN+,"Portland, OR Chiles Center",33.48,,
234 Lipscomb at  213 Mercer,Mercer 78-75 (61%) [74],2:00 pm ESPN+,"Macon, GA Hawkins Arena",33.09,,
275 Penn at  298 American,American 78-77 (53%) [72],1:00 pm ESPN+,"Washington, DC Bender Arena",32.01,,
186 Cornell at  124 Illinois St.,Illinois St. 87-79 (76%) [73],2:00 pm ESPN+,"Normal, IL CEFCU Arena",30.811,,
197 CSUN at  320 North Dakota,CSUN 80-76 (64%) [75],2:00 pm,"Grand Forks, ND Betty Engelstad Sioux Center",30.612,,
306 Grambling St. at  311 Howard,Howard 78-75 (60%) [74],6:00 pm ESPN+,"Washington, DC Burr Arena",29.413,,
165 South Dakota St. at  102 Northern Iowa,Northern Iowa 81-71 (81%) [71],2:00 pm ESPN+,"Cedar Falls, IA McLeod Center",29.114,,
285 Western Michigan at  198 Campbell,Campbell 79-73 (72%) [73],12:30 pm FloSports,"Buies Creek, NC Pope Convocation Center",27.115,,
336 North Carolina Central at  252 Appalachian St.,Appalachian St. 76-68 (75%) [68],1:00 pm ESPN+,"Boone, NC Holmes Convocation Center",22.816,,
321 Denver at  231 Montana St.,Montana St. 81-73 (78%) [72],3:00 pm ESPN+,"Bozeman, MT Worthington Arena",22.617,,
191 Nebraska Omaha at  65 Colorado St.,Colorado St. 86-71 (92%) [72],6:00 pm,"Fort Collins, CO Moby Arena",19.618,,
316 Le Moyne at  139 Bowling Green,Bowling Green 81-69 (87%) [73],2:00 pm ESPN+,"Bowling Green, OH Stroh Center",17.019,,
249 Utah Tech at  74 Arizona St.,Arizona St. 83-67 (92%) [73],3:00 pm ESPN+,"Tempe, AZ Desert Financial Arena",17.02,,
279 Southern Miss at  92 South Carolina,South Carolina 84-68 (93%) [71],6:30 pm SEC Network,"Columbia, SC Colonial Life Arena",15.421,,
250 VMI at  38 Missouri,Missouri 91-69 (98%) [75],4:30 pm SEC Network,"Columbia, MO Mizzou Arena",13.722,,
360 New Hampshire at  160 Harvard,Harvard 82-67 (90%) [72],12:00 pm ESPN+,"Boston, MA Lavietes Pavilion",13.223,,
257 Manhattan at  21 USC,USC 92-67 (99%) [74],6:00 pm BTN Plus,"Los Angeles, CA Galen Center",13.124,,
288 Lehigh at  81 West Virginia,West Virginia 80-62 (95%) [69],3:00 pm ESPN+,"Morgantown, WV Hope Coliseum",11.825,,
338 East Texas A&M at  104 Hawaii,Hawaii 80-62 (94%) [72],1:00 am ESPN+,"Honolulu, HI Stan Sheriff Center",11.626,,
260 Idaho St. at  25 San Diego St.,San Diego St. 81-58 (98%) [69],5:00 pm,"San Diego, CA Viejas Arena",11.627,,
281 Morehead St. at  33 Georgia,Georgia 86-62 (99%) [72],2:00 pm SEC Network Plus,"Athens, GA Stegeman Coliseum",11.228,,
364 Coppin St. at  145 James Madison,James Madison 83-64 (96%) [71],1:00 pm ESPN+,"Harrisonburg, VA Atlantic Union Bank Center",9.029,,
NR Oakland City at  261 Evansville,,4:00 pm ESPN+,"Evansville, IN Ford Center",0.03,,
NR Lyon at  182 Louisiana Tech,,3:00 pm ESPN+,"Ruston, LA Thomas Assembly Center",0.03,,
NR Ozark Christian at  295 South Dakota,,2:00 pm,"Vermillion, SD Sanford Coyote Sports Center",0.03,,
NR Kentucky Christian at  294 Tennessee Martin,,7:30 pm ESPN+,"Martin, TN Elam Center",0.03,,
NR Dominican IL at  240 Purdue Fort Wayne,,2:00 pm ESPN+,"Fort Wayne, IN Gates Sports Center",0.03,,
