Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
64 Minnesota at  37 Missouri,Missouri 82-75 (74%) [71],8:00 pm SEC Network Plus,"Columbia, MO Mizzou Arena",58.11,,
84 North Texas at  139 Oregon St.,North Texas 70-68 (59%) [66],9:30 pm ESPN+,"Corvallis, OR Gill Coliseum",47.92,,
136 UC San Diego at  177 Fresno St.,UC San Diego 78-77 (53%) [73],9:00 pm,"Fresno, CA Save Mart Center",40.43,,
146 James Madison at  220 Longwood,James Madison 77-75 (55%) [71],7:00 pm ESPN+,"Farmville, VA Brock Center",37.34,,
115 Saint Joseph's at  67 Virginia Tech,Virginia Tech 82-73 (82%) [73],7:00 pm ACC Network Extra,"Blacksburg, VA Cassell Coliseum",37.05,,
127 Southern Illinois at  91 Nevada,Nevada 79-71 (77%) [71],10:00 pm,"Reno, NV Lawlor Events Center",36.26,,
156 Middle Tennessee at  263 Evansville,Middle Tennessee 74-73 (54%) [71],8:00 pm ESPN+,"Evansville, IN Ford Center",35.17,,
213 Idaho at  202 San Diego,San Diego 81-78 (60%) [72],9:00 pm ESPN+,"San Diego, CA Jenny Craig Pavilion",34.98,,
198 UTSA at  242 Texas St.,Texas St. 75-74 (52%) [72],8:00 pm ESPN+,"San Marcos, TX Strahan Coliseum",34.79,,
168 Eastern Washington at  137 Seattle,Seattle 79-73 (69%) [73],10:00 pm ESPN+,"Seattle, WA Redhawk Center",34.61,,
257 Manhattan vs.  246 Utah Tech,Utah Tech 78-77 (52%) [73],9:30 pm,"Honolulu, HI Stan Sheriff Center",33.711,,
229 Purdue Fort Wayne at  284 Western Michigan,Western Michigan 80-79 (50%) [75],7:00 pm ESPN+,"Kalamazoo, MI University Arena",33.712,,
148 Siena at  107 St. Bonaventure,St. Bonaventure 75-68 (75%) [68],7:00 pm ESPN+,"St. Bonaventure, NY Reilly Center",32.213,,
251 Nicholls at  288 Valparaiso,Valparaiso 74-73 (53%) [72],8:00 pm ESPN+,"Valparaiso, IN Athletics-Recreation Center",31.814,,
232 Brown at  254 Boston University,Boston University 68-67 (55%) [67],7:00 pm ESPN+,"Boston, MA Case Gym",31.815,,
282 Dartmouth at  314 Bryant,Bryant 77-76 (50%) [74],8:30 pm ESPN+,"Smithfield, RI Chace Athletic Center",31.416,,
203 Samford at  312 Texas Southern,Samford 79-76 (61%) [72],8:00 pm YouTube,"Houston, TX H&PE Arena",31.317,,
300 Southern Indiana at  299 South Dakota,South Dakota 82-79 (61%) [75],8:00 pm,"Vermillion, SD Sanford Coyote Sports Center",30.418,,
329 Mercyhurst at  351 Canisius,Canisius 72-71 (51%) [68],7:00 pm ESPN+,"Buffalo, NY Koessler Athletic Center",28.819,,
110 Tulsa at  302 Oral Roberts,Tulsa 83-75 (78%) [72],8:00 pm,"Tulsa, OK Mabee Center",27.62,,
167 Portland St. at  87 San Francisco,San Francisco 83-71 (85%) [75],10:00 pm ESPN+,"San Francisco, CA War Memorial Gymnasium",27.221,,
273 Long Beach St. at  147 Pacific,Pacific 79-71 (77%) [70],10:00 pm ESPN+,"Stockton, CA Spanos Center",25.722,,
