Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
258 Elon at  144 Marshall,Marshall 81-72 (78%) [72],7:00 pm ESPN+,"Huntington, WV Cam Henderson Center",25.123,,
286 Northern Kentucky at  155 East Tennessee St.,East Tennessee St. 78-69 (79%) [70],7:00 pm ESPN+,"Johnson City, TN Freedom Hall Civic Center",23.224,,
163 South Dakota St. at  56 Oregon,Oregon 81-66 (91%) [71],9:30 pm Peacock,"Eugene, OR Knight Arena",21.625,,
195 Little Rock at  63 Marquette,Marquette 86-69 (93%) [73],8:00 pm ESPN+,"Milwaukee, WI Fiserv Forum",18.926,,
256 Montana St. at  85 Stanford,Stanford 84-68 (92%) [71],10:00 pm ACC Network Extra,"Stanford, CA Maples Pavilion",16.827,,
191 Milwaukee at  20 Indiana,Indiana 92-70 (98%) [73],7:00 pm FOX Sports 1,"Bloomington, IN Assembly Hall",16.628,,
233 Cal Poly at  62 Colorado St.,Colorado St. 91-72 (95%) [74],9:00 pm,"Fort Collins, CO Moby Arena",15.829,,
172 Oakland at  3 Houston,Houston 85-60 (99%) [68],8:00 pm ESPN+,"Houston, TX Fertitta Center",15.63,,
211 Eastern Kentucky at  15 Vanderbilt,Vanderbilt 96-71 (99%) [74],8:00 pm SEC Network Plus,"Nashville, TN Memorial Gym",15.431,,
290 Presbyterian at  99 South Carolina,South Carolina 77-62 (91%) [66],7:00 pm SEC Network Plus,"Columbia, SC Colonial Life Arena",14.932,,
291 Tennessee Martin at  102 Bradley,Bradley 81-65 (92%) [71],8:30 pm ESPN+,"Peoria, IL Carver Arena",14.333,,
285 American at  79 George Washington,George Washington 86-68 (94%) [72],7:00 pm ESPN+,"Washington, DC Charles E. Smith Center",14.234,,
262 UNC Greensboro at  28 N.C. State,N.C. State 88-65 (98%) [70],8:00 pm ACC Network,"Raleigh, NC Lenovo Center",12.435,,
270 Weber St. at  40 Utah St.,Utah St. 89-67 (98%) [72],9:00 pm,"Logan, UT Dee Glen Smith Spectrum",12.236,,
301 Saint Peter's at  61 VCU,VCU 85-64 (97%) [73],7:00 pm ESPN+,"Richmond, VA Stuart Siegel Center",11.737,,
341 Prairie View A&M at  50 Oklahoma St.,Oklahoma St. 94-66 (99%) [77],8:00 pm ESPN+,"Stillwater, OK Gallagher-Iba Arena",8.838,,
348 Binghamton at  74 Georgetown,Georgetown 83-61 (98%) [70],6:30 pm ESPN+,"Washington, DC Capital One Arena",8.839,,
340 North Florida at  12 Tennessee,Tennessee 93-60 (99.8%) [72],7:00 pm SEC Network Plus,"Knoxville, TN Thompson-Boling Arena",8.44,,
350 Fairleigh Dickinson at  38 Texas,Texas 93-64 (99.6%) [73],8:00 pm SEC Network Plus,"Austin, TX Moody Center",8.341,,
364 Coppin St. at  97 South Florida,South Florida 91-66 (99%) [76],7:00 pm ESPN+,"Tampa, FL Yuengling Center",7.942,,
365 Mississippi Valley St. at  98 Hawaii,Hawaii 89-55 (99.9%) [73],12:00 am ESPN+,"Honolulu, HI Stan Sheriff Center",6.043,,
NR Penn St. Shenango at  76 Akron,,7:00 pm,"Akron, OH Rhodes Arena",0.044,,
NR Webster at  217 Southeast Missouri,,7:30 pm ESPN+,"Cape Girardeau, MO Show Me Center",0.044,,
NR Hanover at  320 Bellarmine,,7:00 pm ESPN+,"Louisville, KY Knights Hall",0.044,,
NR Bluefield St. at  347 North Carolina Central,,7:00 pm ESPN+,"Durham, NC McDougald-McLendon Arena",0.044,,
NR Virginia Lynchburg at  268 VMI,,6:00 pm ESPN+,"Lexington, VA Cameron Hall",0.044,,
NR Westminster UT at  121 Utah Valley,,8:00 pm ESPN+,"Orem, UT UCCU Center",0.044,,
NR Bob Jones at  317 USC Upstate,,7:00 pm ESPN+,"Spartanburg, SC Hodge Center",0.044,,
NR Point at  135 Kennesaw St.,,7:00 pm ESPN+,"Kennesaw, GA KSU Convocation Center",0.044,,
NR Vassar at  154 Marist,,7:00 pm ESPN+,"Poughkeepsie, NY McCann Center",0.044,,
NR St. Scholastica at  187 North Dakota St.,,8:00 pm,"Fargo, ND Scheels Center",0.044,,
NR Emmanuel at  358 New Hampshire,,7:00 pm ESPN+,"Durham, NH Lundholm Gym",0.044,,
