Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
16 St. John's vs.  20 Baylor,St. John's 83-81 (58%) [74],4:30 pm truTV,"Las Vegas, NV Michelob Ultra Arena",82.61,,
4 Houston vs.  13 Tennessee,Houston 69-66 (62%) [66],6:00 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",81.72,,
15 Michigan vs.  23 Auburn,Michigan 80-77 (60%) [73],8:30 pm TNT,"Las Vegas, NV Michelob Ultra Arena",81.33,,
30 Iowa vs.  35 Mississippi,Iowa 73-72 (53%) [64],9:30 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",76.84,,
59 Oregon vs.  42 San Diego St.,San Diego St. 74-71 (59%) [69],11:00 pm TNT,"Las Vegas, NV Michelob Ultra Arena",69.25,,
29 Kansas vs.  61 Syracuse,Kansas 77-72 (66%) [70],3:30 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",68.26,,
10 Iowa St. vs.  51 Creighton,Iowa St. 80-72 (76%) [70],2:00 pm truTV,"Las Vegas, NV Michelob Ultra Arena",64.87,,
21 UCLA vs.  78 California,UCLA 75-70 (68%) [68],10:00 pm ESPN,"San Francisco, CA Chase Center",64.78,,
49 Kansas St. at  24 Indiana,Indiana 83-77 (73%) [72],8:00 pm FOX Sports 1,"Bloomington, IN Assembly Hall",62.99,,
3 Gonzaga vs.  67 Maryland,Gonzaga 83-71 (87%) [72],9:30 pm truTV,"Las Vegas, NV MGM Grand Garden Arena",51.91,,
114 Murray St. vs.  63 George Washington,George Washington 89-82 (72%) [75],7:30 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",51.111,,
99 Grand Canyon vs.  121 Utah,Grand Canyon 81-79 (59%) [73],12:00 am CBS Sports Network,"Palm Springs, CA Acrisure Arena",50.212,,
128 Rutgers vs.  73 Notre Dame,Notre Dame 74-69 (70%) [67],1:00 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",45.813,,
126 Utah Valley vs.  136 South Dakota St.,Utah Valley 78-77 (54%) [71],6:00 pm FloSports,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",45.014,,
98 UNLV vs.  17 Alabama,Alabama 96-83 (88%) [78],12:00 am truTV,"Las Vegas, NV MGM Grand Garden Arena",45.015,,
130 New Mexico St. vs.  133 UC Irvine,New Mexico St. 72-71 (52%) [69],8:30 pm,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",43.816,,
