Date,Team1,Team2,Prediction,Spread
2026-02-19,99 Memphis at 58 South Florida Amer,7:00 pm ESPN2,"Tampa, FL
Yuengling Center",47.51
2026-02-19,127 William & Mary at 201 Campbell CAA,7:00 pm FloSports,"Buies Creek, NC
Pope Convocation Center",42.52
2026-02-19,157 UC Davis at 180 Cal St. Fullerton BW,10:00 pm ESPN+,"Fullerton, CA
Titan Gym",40.93
2026-02-19,159 CSUN at 130 UC Santa Barbara BW,9:00 pm ESPN+,"Santa Barbara, CA
Thunderdome",40.44
2026-02-19,122 Cal Baptist at 89 Utah Valley WAC,8:00 pm ESPN+,"Orem, UT
UCCU Center",40.35
2026-02-19,139 Montana St. at 211 Weber St. BSky,9:00 pm ESPN+,"Ogden, UT
Dee Events Center",39.86
2026-02-19,175 Utah Tech at 169 UT Arlington WAC,8:00 pm ESPN+,"Arlington, TX
College Park Center",36.37
2026-02-19,185 Marshall at 176 Appalachian St. SB,6:30 pm ESPN+,"Boone, NC
Holmes Convocation Center",36.18
2026-02-19,194 Eastern Washington at 258 Sacramento St. BSky,10:00 pm ESPN+,"Sacramento, CA
Hornet Pavilion",35.99
2026-02-19,168 Montana at 252 Idaho St. BSky,9:00 pm ESPN+,"Pocatello, ID
Reed Gym",35.410
2026-02-19,177 Idaho at 141 Portland St. BSky,9:00 pm ESPNU,"Portland, OR
The Viking Pavilion",35.111
2026-02-19,224 Vermont at 241 UMBC AE,6:00 pm ESPN+,"Baltimore, MD
Chesapeake Employers Insurance",33.512
2026-02-19,114 UC Irvine at 244 Long Beach St. BW,10:00 pm ESPN+,"Long Beach, CA
Walter Pyramid",33.113
2026-02-19,184 Tulane at 138 North Texas Amer,9:00 pm ESPN2,"Denton, TX
The Super Pit",32.514
2026-02-19,228 Drexel at 277 Northeastern CAA,7:00 pm FloSports,"Boston, MA
Cabot Center",32.315
2026-02-19,172 Charleston at 288 North Carolina A&T CAA,7:00 pm FloSports,"Greensboro, NC
Corbett Sports Center",32.116
2026-02-19,251 Lindenwood at 261 Tennessee St. OVC,8:30 pm ESPN+,"Nashville, TN
Gentry Center",31.917
2026-02-19,264 Georgia Southern at 293 Georgia St. SB,8:00 pm ESPN+,"Atlanta, GA
GSU Convocation Center",31.418
2026-02-19,291 Le Moyne at 287 Central Connecticut NEC,7:00 pm,"New Britain, CT
Detrick Gymnasium",30.219
2026-02-19,305 Texas Southern at 303 Arkansas Pine Bluff SWAC,8:30 pm,"Pine Bluff, AR
Clemmons Arena",29.820
2026-02-19,246 Texas St. at 190 South Alabama SB,8:00 pm ESPN+,"Mobile, AL
Mitchell Center",29.221
2026-02-19,284 Longwood at 286 Presbyterian BSth,7:00 pm ESPN+,"Clinton, SC
Templeton P.E. Center",29.122
2026-02-19,199 Tennessee Martin at 306 Little Rock OVC,8:00 pm ESPN+,"Little Rock, AR
Stephens Center",29.023
2026-02-19,289 Morehead St. at 320 Eastern Illinois OVC,8:30 pm ESPN+,"Charleston, IL
Groniger Arena",28.924
2026-02-19,238 SIUE at 318 Tennessee Tech OVC,8:30 pm ESPN+,"Cookeville, TN
Hooper Eblen Arena",28.825
2026-02-19,301 Alabama A&M at 331 Florida A&M SWAC,8:30 pm,"Tallahassee, FL
Lawson Center",28.726
2026-02-19,329 Fairleigh Dickinson at 350 Chicago St. NEC,7:00 pm,"Chicago, IL
Jones Convocation Center",27.927
2026-02-19,207 Monmouth at 106 UNC Wilmington CAA,7:00 pm FloSports,"Wilmington, NC
Trask Coliseum",27.728
2026-02-19,200 FIU at 91 Liberty CUSA,6:00 pm CBS Sports Network,"Lynchburg, VA
Liberty Arena",27.329
2026-02-19,279 South Dakota at 225 Denver Sum,9:00 pm,"Denver, CO
Hamilton Gymnasium",27.230
2026-02-19,342 Southern Indiana at 361 Western Illinois OVC,8:30 pm ESPN+,"Macomb, IL
Western Hall",26.531
2026-02-19,325 Albany at 302 NJIT AE,7:00 pm ESPN+,"Newark, NJ
Wellness and Events Center",26.532
2026-02-19,266 Southern Utah at 210 Tarleton St. WAC,8:00 pm ESPN+,"Stephenville, TX
EECU Center",26.233
2026-02-19,147 Arkansas St. at 307 Louisiana SB,8:00 pm ESPN+,"Lafayette, LA
Cajundome",26.134
2026-02-19,336 New Hampshire at 319 UMass Lowell AE,6:00 pm ESPN+,"Lowell, MA
Kennedy Family Athletic Comple",26.035
2026-02-19,316 Cal St. Bakersfield at 272 UC Riverside BW,10:00 pm ESPN+,"Riverside, CA
Student Recreation Center",25.236
2026-02-19,298 Alabama St. at 242 Bethune Cookman SWAC,7:00 pm,"Daytona Beach, FL
Moore Gymnasium",24.837
2026-02-19,328 Wagner at 292 Mercyhurst NEC,7:00 pm,"Erie, PA
Mercyhurst Athletic Center",24.338
2026-02-19,223 Cal Poly at 104 Hawaii BW,12:00 am ESPN+,"Honolulu, HI
Stan Sheriff Center",24.339
2026-02-19,344 Stonehill at 334 New Haven NEC,7:00 pm,"West Haven, CT
The Hazell Center",24.240
2026-02-19,160 Central Arkansas at 323 Stetson ASun,8:00 pm ESPN+,"DeLand, FL
Edmunds Center",23.841
2026-02-19,221 UNC Asheville at 92 High Point BSth,7:00 pm ESPNU,"High Point, NC
Qubein Center",23.642
