Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
16 Wisconsin vs.  17 BYU,BYU 81-79 (57%) [70],4:00 pm Peacock,"Salt Lake City, UT Delta Center",83.71,,
10 Louisville vs.  41 Cincinnati,Louisville 83-78 (66%) [76],6:30 pm ESPNU,"Cincinnati, OH Heritage Bank Center",77.22,,
46 Northwestern vs.  38 Virginia,Virginia 74-73 (52%) [67],5:00 pm CBS Sports Network,"White Sulphur Springs, WV Greenbrier Colonial Hall",73.53,,
58 West Virginia vs.  27 Clemson,Clemson 70-65 (65%) [64],6:30 pm ESPN2,"Charleston, SC TD Arena",67.04,,
62 Butler vs.  88 South Carolina,Butler 79-76 (61%) [71],2:00 pm CBS Sports Network,"White Sulphur Springs, WV Greenbrier Colonial Hall",61.25,,
32 Georgia vs.  104 Xavier,Georgia 86-77 (80%) [76],9:00 pm ESPN2,"Charleston, SC TD Arena",48.36,,
122 Davidson vs.  106 Boston College,Boston College 71-69 (57%) [68],3:30 pm ESPN2,"Charleston, SC TD Arena",47.57,,
120 Seattle at  80 Stanford,Stanford 80-72 (77%) [73],10:00 pm ACC Network Extra,"Stanford, CA Maples Pavilion",39.38,,
168 St. Thomas vs.  177 Northern Colorado,St. Thomas 80-79 (51%) [71],7:30 pm ESPN+,"Portland, OR Chiles Center",39.19,,
192 Massachusetts vs.  181 Charleston,Charleston 81-80 (51%) [73],3:00 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",38.41,,
140 Stephen F. Austin at  213 Pepperdine,Stephen F. Austin 75-74 (56%) [70],9:00 pm ESPN+,"Malibu, CA Firestone Fieldhouse",38.211,,
203 Campbell vs.  150 UT Arlington,UT Arlington 78-76 (59%) [72],3:00 pm ESPN+,"Ogden, UT Dee Events Center",37.412,,
163 Southern at  174 San Jose St.,San Jose St. 78-75 (59%) [71],10:00 pm,"San Jose, CA Provident Credit Union Event C",37.113,,
164 Oakland at  237 Eastern Michigan,Oakland 76-75 (50%) [69],6:30 pm ESPN+,"Ypsilanti, MI George Gervin GameAbove Center",36.214,,
194 New Orleans at  184 Fresno St.,Fresno St. 79-76 (60%) [72],9:00 pm,"Fresno, CA Save Mart Center",35.915,,
167 Iona vs.  79 Akron,Akron 89-79 (80%) [76],5:30 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",34.916,,
180 Charlotte at  216 Appalachian St.,Appalachian St. 69-68 (54%) [63],6:30 pm ESPN+,"Boone, NC Holmes Convocation Center",34.717,,
44 Utah St. vs.  145 Tulane,Utah St. 83-71 (85%) [69],1:00 pm ESPN2,"Charleston, SC TD Arena",34.118,,
210 Montana St. at  256 Long Beach St.,Long Beach St. 72-71 (50%) [68],10:00 pm ESPN+,"Long Beach, CA Walter Pyramid",33.619,,
202 Columbia at  269 Lehigh,Columbia 72-71 (54%) [70],6:00 pm ESPN+,"Bethlehem, PA Stabler Arena",33.32,,
116 UNC Wilmington at  260 Radford,UNC Wilmington 80-74 (72%) [69],7:00 pm ESPN+,"Radford, VA Dedmon Center",32.721,,
