Date,Team1,Team2,Prediction,Spread
2026-02-21,1 Michigan vs. 2 Duke,6:30 pm ESPN,"Washington, DC
Capital One Arena",90.61
2026-02-21,3 Arizona at 5 Houston B12,3:00 pm ABC,"Houston, TX
Fertitta Center",88.32
2026-02-21,7 Iowa St. at 22 BYU B12,10:30 pm ESPN,"Provo, UT
Marriott Center",88.13
2026-02-21,13 Connecticut at 27 Villanova BE,5:30 pm TNT,"Philadelphia, PA
Xfinity Mobile Arena",82.64
2026-02-21,16 Tennessee at 12 Vanderbilt SEC,2:00 pm ESPN,"Nashville, TN
Memorial Gym",81.45
2026-02-21,28 Texas at 40 Georgia SEC,3:30 pm SEC Network,"Athens, GA
Stegeman Coliseum",80.46
2026-02-21,30 Kentucky at 32 Auburn SEC,8:30 pm ESPN,"Auburn, AL
Neville Arena",76.07
2026-02-21,20 Alabama at 53 LSU SEC,6:00 pm SEC Network,"Baton Rouge, LA
Maravich Assembly Center",75.48
2026-02-21,37 Texas A&M at 57 Oklahoma SEC,8:30 pm SEC Network,"Norman, OK
Lloyd Noble Center",74.49
2026-02-21,4 Illinois at 42 UCLA B10,8:00 pm FOX,"Los Angeles, CA
Pauley Pavilion",73.510
2026-02-21,23 Utah St. at 72 Nevada MWC,10:00 pm FOX Sports 1,"Reno, NV
Lawlor Events Center",70.811
2026-02-21,33 North Carolina at 73 Syracuse ACC,1:00 pm ABC,"Syracuse, NY
JMA Wireless Dome",69.612
2026-02-21,43 San Diego St. at 91 Colorado St. MWC,6:00 pm CBS Sports Network,"Fort Collins, CO
Moby Arena",64.013
2026-02-21,39 Miami FL at 19 Virginia ACC,2:00 pm ESPN2,"Charlottesville, VA
John Paul Jones Arena",63.314
2026-02-21,65 Oklahoma St. at 74 Colorado B12,3:30 pm TNT,"Boulder, CO
CU Events Center",60.615
2026-02-21,48 UCF at 112 Utah B12,9:00 pm ESPN+,"Salt Lake City, UT
Huntsman Center",60.216
2026-02-21,66 Providence at 102 DePaul BE,8:00 pm FOX Sports 1,"Chicago, IL
Wintrust Arena",59.117
