Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
145 Stephen F. Austin at  168 UT Arlington,UT Arlington 72-71 (52%) [69],3:00 pm ESPN+,"Arlington, TX College Park Center",39.51,,
136 Cal Baptist at  194 Oregon St.,Cal Baptist 71-70 (51%) [66],10:00 pm ESPN+,"Corvallis, OR Gill Coliseum",39.22,,
185 Mercer at  187 Elon,Elon 82-80 (59%) [70],4:00 pm FloSports,"Elon, NC Schar Center",37.33,,
164 Lipscomb at  222 Southeast Missouri,Southeast Missouri 76-75 (51%) [72],3:00 pm ESPN+,"Cape Girardeau, MO Show Me Center",36.54,,
223 Wofford at  268 Eastern Kentucky,Eastern Kentucky 81-80 (53%) [71],5:00 pm ESPN+,"Richmond, KY Baptist Health Arena",34.05,,
230 La Salle at  215 Penn,Penn 78-75 (61%) [69],4:30 pm ESPN+,"Philadelphia, PA Palestra",33.06,,
170 Siena at  277 American,Siena 74-70 (61%) [67],4:00 pm ESPN+,"Washington, DC Bender Arena",32.37,,
238 Pepperdine at  310 Cal St. Fullerton,Pepperdine 80-78 (56%) [74],5:00 pm ESPN+,"Fullerton, CA Titan Gym",32.08,,
236 Western Michigan at  252 Valparaiso,Valparaiso 74-71 (58%) [69],3:00 pm ESPN+,"Valparaiso, IN Athletics-Recreation Center",31.99,,
302 Morehead St. at  337 IU Indy,Morehead St. 86-85 (52%) [76],2:00 pm ESPN+,"Indianapolis, IN The Jungle",31.81,,
243 UC Riverside at  270 Utah Tech,Utah Tech 71-70 (56%) [68],5:00 pm ESPN+,"St. George, UT Burns Arena",31.311,,
195 Southern at  307 Northwestern St.,Southern 78-74 (62%) [70],2:00 pm ESPN+,"Natchitoches, LA Prather Coliseum",31.312,,
314 Air Force vs.  288 South Dakota,South Dakota 76-74 (55%) [69],4:00 pm,"Rapid City, SD The Monument",30.613,,
264 Merrimack vs.  156 Hofstra,Hofstra 73-68 (68%) [67],2:00 pm ESPN+,"Philadelphia, PA Palestra",30.514,,
239 Boston University at  205 Northern Kentucky,Northern Kentucky 77-72 (67%) [66],1:00 pm ESPN+,"Highland Heights, KY Truist Arena",30.215,,
327 Southern Utah vs.  338 Stetson,Southern Utah 79-77 (55%) [71],2:00 pm ESPN+,"Moon Township, PA UPMC Events Center",29.916,,
315 Manhattan at  350 Army,Manhattan 81-79 (57%) [69],1:00 pm ESPN+,"West Point, NY Christl Arena",29.817,,
289 Ball St. at  331 Lafayette,Ball St. 73-72 (54%) [67],4:30 pm ESPN+,"Easton, PA Kirby Sports Center",29.618,,
303 Dartmouth at  298 Saint Peter's,Saint Peter's 76-73 (60%) [71],2:00 pm ESPN+,"Jersey City, NJ Yanitelli Center",29.319,,
146 Navy vs.  265 Southeastern Louisiana,Navy 72-66 (70%) [68],12:00 pm FloSports,"Wilmington, NC Trask Coliseum",29.22,,
281 Houston Christian at  255 Georgia Southern,Georgia Southern 77-72 (64%) [70],2:00 pm ESPN+,"Statesboro, GA Hill Convocation Center",29.221,,
328 Detroit Mercy at  334 Niagara,Niagara 74-72 (55%) [69],1:00 pm ESPN+,"Niagara, NY Gallagher Center",29.122,,
316 Maine vs.  262 Longwood,Longwood 71-68 (60%) [69],1:00 pm,"Washington, DC Bender Arena",29.023,,
306 Albany vs.  233 Fordham,Fordham 71-68 (63%) [66],7:30 pm,"Laval, QC Place Bell",29.024,,
313 Howard at  295 Mount St. Mary's,Mount St. Mary's 74-71 (60%) [69],4:00 pm ESPN+,"Emmitsburg, MD Knott Arena",28.925,,
154 James Madison at  63 George Mason,George Mason 79-67 (86%) [65],2:00 pm ESPN+,"Fairfax, VA EagleBank Arena",26.526,,
221 Buffalo at  344 Canisius,Buffalo 75-70 (68%) [65],6:00 pm ESPN+,"Buffalo, NY Koessler Athletic Center",26.427,,
208 Monmouth vs.  332 Le Moyne,Monmouth 78-70 (75%) [68],2:00 pm ESPN+,"Easton, PA Kirby Sports Center",23.628,,
259 Little Rock at  134 Southern Illinois,Southern Illinois 78-68 (82%) [69],7:00 pm ESPN+,"Carbondale, IL Banterra Center",22.329,,
276 Sacramento St. at  140 Pacific,Pacific 79-69 (82%) [70],10:00 pm ESPN+,"Stockton, CA Spanos Center",21.93,,
322 Bryant at  188 Harvard,Harvard 74-65 (79%) [67],2:00 pm ESPN+,"Boston, MA Lavietes Pavilion",21.031,,
213 Milwaukee at  59 Akron,Akron 92-76 (93%) [73],7:00 pm ESPN+,"Akron, OH Rhodes Arena",19.832,,
285 Central Arkansas at  133 East Tennessee St.,East Tennessee St. 79-68 (85%) [69],4:00 pm ESPN+,"Johnson City, TN Freedom Hall Civic Center",19.833,,
340 Kansas City at  226 Weber St.,Weber St. 82-72 (82%) [71],4:00 pm ESPN+,"Ogden, UT Dee Events Center",19.034,,
362 Delaware St. at  294 UMBC,UMBC 77-67 (81%) [69],2:00 pm ESPN+,"Baltimore, MD Chesapeake Employers Insurance",18.035,,
251 Western Carolina at  82 High Point,High Point 88-72 (92%) [72],2:00 pm ESPN+,"High Point, NC Qubein Center",17.536,,
272 Sacred Heart at  100 Penn St.,Penn St. 87-72 (91%) [69],6:00 pm Peacock,"University Park, PA Bryce Jordan Center",16.737,,
333 Alcorn St. at  203 Louisiana Tech,Louisiana Tech 74-63 (84%) [67],1:00 pm ESPN+,"Ruston, LA Thomas Assembly Center",16.638,,
198 Montana St. at  27 Utah St.,Utah St. 86-65 (97%) [69],4:00 pm,"Logan, UT Dee Glen Smith Spectrum",15.539,,
228 Bethune Cookman at  21 Indiana,Indiana 84-62 (98%) [68],12:00 pm Big Ten Network,"Bloomington, IN Assembly Hall",13.64,,
231 Norfolk St. at  9 Arizona,Arizona 84-58 (99%) [68],4:00 pm ESPN+,"Tucson, AZ McKale Memorial Center",11.941,,
312 USC Upstate at  40 Nebraska,Nebraska 92-67 (99%) [72],2:00 pm BTN Plus,"Lincoln, NE Pinnacle Bank Arena",10.442,,
346 South Carolina St. at  105 Winthrop,Winthrop 88-67 (97%) [73],4:00 pm ESPN+,"Rock Hill, SC Winthrop Coliseum",9.743,,
353 Gardner Webb at  115 UNC Wilmington,UNC Wilmington 86-66 (96%) [69],3:00 pm FloSports,"Wilmington, NC Trask Coliseum",9.744,,
325 Tennessee Tech at  38 Georgia,Georgia 93-66 (99%) [74],2:00 pm SEC Network Plus,"Athens, GA Stegeman Coliseum",9.545,,
343 VMI at  66 UCF,UCF 92-68 (98%) [70],1:00 pm ESPN+,"Orlando, FL Addition Financial Arena",9.146,,
NR SUNY Oneonta vs.  165 Colgate,,5:00 pm,"Laval, QC Place Bell",0.047,,
NR Regis at  150 Northern Colorado,,8:00 pm ESPN+,"Greeley, CO Bank of Colorado Arena",0.047,,
NR Notre Dame MD at  260 Radford,,2:30 pm ESPN+,"Radford, VA Dedmon Center",0.047,,
NR Lawrence at  172 St. Thomas,,8:00 pm,"St. Paul, MN Anderson Arena",0.047,,
NR Tennessee Wesleyan vs.  217 Tennessee St.,,2:00 pm ESPN+,"Chattanooga, TN McKenzie Arena",0.047,,
NR Haskell at  274 Green Bay,,2:00 pm ESPN+,"Green Bay, WI Kress Center",0.047,,
NR Sarah Lawrence at  130 Columbia,,2:00 pm ESPN+,"New York, NY Levien Gymnasium",0.047,,
NR Trinity Baptist at  335 North Florida,,5:00 pm ESPN+,"Jacksonville, FL UNF Arena",0.047,,
NR Gwynedd Mercy at  336 Maryland Eastern Shore,,4:00 pm,"Princess Anne, MD Hytche Center",0.047,,
NR Carolina at  352 North Carolina Central,,2:00 pm ESPN+,"Durham, NC McDougald-McLendon Arena",0.047,,
NR Mid America Christian at  266 Nebraska Omaha,,8:00 pm,"Omaha, NE Baxter Arena",0.047,,
NR Penn St. Shenango at  125 Kent St.,,7:00 pm,"Kent, OH Memorial Athletic & Convocatio",0.047,,
NR Our Lady of the Lake at  207 Lamar,,7:00 pm ESPN+,"Beaumont, TX Montagne Center",0.047,,
NR Emerson at  305 UMass Lowell,,1:00 pm ESPN+,"Lowell, MA Kennedy Family Athletic Comple",0.047,,
NR Redlands at  225 Cal Poly,,7:00 pm ESPN+,"San Luis Obispo, CA Mott Athletics Center",0.047,,
NR Franciscan at  358 Saint Francis,,2:00 pm,"Loretto, PA DeGol Arena",0.047,,
NR Kentucky St. at  301 Southern Indiana,,4:00 pm ESPN+,"Evansville, IN Liberty Arena",0.047,,
