Date,Team1,Team2,Prediction,Spread
2026-02-24,34 Auburn at 58 Oklahoma SEC,9:00 pm ESPNU,"Norman, OK
Lloyd Noble Center",74.31
2026-02-24,14 Tennessee at 52 Missouri SEC,9:00 pm SEC Network,"Columbia, MO
Mizzou Arena",73.82
2026-02-24,25 N.C. State at 19 Virginia ACC,7:00 pm ACC Network,"Charlottesville, VA
John Paul Jones Arena",73.73
2026-02-24,39 Miami FL at 71 Florida St. ACC,9:00 pm ACC Network,"Tallahassee, FL
Tucker Center",70.44
2026-02-24,43 New Mexico at 67 Nevada MWC,11:00 pm CBS Sports Network,"Reno, NV
Lawlor Events Center",68.05
2026-02-24,24 Saint Louis at 86 Dayton A10,7:00 pm ESPN+,"Dayton, OH
University of Dayton Arena",64.26
2026-02-24,31 Kentucky at 92 South Carolina SEC,7:00 pm SEC Network,"Columbia, SC
Colonial Life Arena",61.97
2026-02-24,3 Arizona at 48 Baylor B12,9:00 pm ESPN2,"Waco, TX
Foster Pavilion",61.38
2026-02-24,59 West Virginia at 73 Oklahoma St. B12,7:00 pm CBS Sports Network,"Stillwater, OK
Gallagher-Iba Arena",58.49
2026-02-24,57 USC at 42 UCLA B10,11:00 pm FOX Sports 1,"Los Angeles, CA
Pauley Pavilion",57.610
2026-02-24,64 Arizona St. at 50 TCU B12,9:00 pm CBS Sports Network,"Fort Worth, TX
Schollmaier Arena",55.611
2026-02-24,70 Northwestern at 41 Indiana B10,7:00 pm FOX Sports 1,"Bloomington, IN
Assembly Hall",52.712
2026-02-24,49 UCF at 21 BYU B12,11:00 pm ESPN2,"Provo, UT
Marriott Center",52.013
2026-02-24,46 Cincinnati at 16 Texas Tech B12,7:00 pm ESPN2,"Lubbock, TX
United Supermarkets Arena",49.714
2026-02-24,47 Washington at 150 Rutgers B10,6:30 pm Big Ten Network,"Piscataway, NJ
Jersey Mike's Arena",49.615
2026-02-24,98 Marquette at 79 Georgetown BE,7:00 pm Peacock,"Washington, DC
Capital One Arena",49.516
2026-02-24,95 Wyoming at 60 Boise St. MWC,9:00 pm,"Boise, ID
ExtraMile Arena",48.517
2026-02-24,8 Iowa St. at 109 Utah B12,9:00 pm FOX Sports 1,"Salt Lake City, UT
Huntsman Center",48.218
2026-02-24,2 Duke at 87 Notre Dame ACC,7:00 pm ESPN,"South Bend, IN
Purcell Pavilion",46.619
2026-02-24,128 Bradley at 102 Illinois Chicago MVC,8:00 pm ESPN+,"Chicago, IL
Credit Union 1 Arena",43.620
2026-02-24,124 Fresno St. at 88 Colorado St. MWC,9:00 pm,"Fort Collins, CO
Moby Arena",40.121
2026-02-24,80 George Washington at 222 La Salle A10,6:30 pm ESPN+,"Philadelphia, PA
Glaser Arena",37.622
2026-02-24,84 Miami OH at 241 Eastern Michigan MAC,6:30 pm ESPN+,"Ypsilanti, MI
George Gervin GameAbove Center",33.723
2026-02-24,72 Minnesota at 1 Michigan B10,8:30 pm Big Ten Network,"Ann Arbor, MI
Crisler Center",31.624
2026-02-24,237 Coastal Carolina at 296 Georgia St. SB,7:30 pm ESPN+,"Atlanta, GA
GSU Convocation Center",30.525
2026-02-24,246 Old Dominion at 187 Marshall SB,7:00 pm ESPN+,"Huntington, WV
Cam Henderson Center",28.926
2026-02-24,238 Southern Miss at 140 Arkansas St. SB,8:30 pm ESPN+,"Jonesboro, AR
First National Bank Arena",28.027
2026-02-24,193 Buffalo at 68 Akron MAC,7:00 pm ESPN+,"Akron, OH
Rhodes Arena",27.428
2026-02-24,194 Massachusetts at 325 Ball St. MAC,7:00 pm ESPN+,"Muncie, IN
Worthen Arena",25.829
2026-02-24,227 San Jose St. at 350 Air Force MWC,9:00 pm,"Colorado Springs, CO
Clune Arena",23.230
2026-02-24,354 Saint Francis at 329 New Haven NEC,6:00 pm,"West Haven, CT
The Hazell Center",22.431
2026-02-24,276 Central Michigan at 138 Kent St. MAC,7:00 pm ESPN+,"Kent, OH
Memorial Athletic & Convocatio",22.032
2026-02-24,338 Southern Indiana at 278 Morehead St. OVC,7:30 pm ESPN+,"Morehead, KY
Johnson Arena",20.433
2026-02-24,286 Western Michigan at 144 Bowling Green MAC,7:00 pm ESPN+,"Bowling Green, OH
Stroh Center",20.034
2026-02-24,302 Louisiana at 161 Troy SB,7:00 pm ESPN+,"Troy, AL
Trojan Arena",18.135
2026-02-24,316 Northern Illinois at 153 Toledo MAC,7:00 pm ESPN+,"Toledo, OH
Savage Arena",16.636
