Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
39 Texas vs.  7 Duke,Duke 80-73 (75%) [71],8:45 pm ESPN,"Charlotte, NC Spectrum Center",67.11,,
113 Hawaii at  37 Oregon,Oregon 80-67 (88%) [70],10:30 pm Big Ten Network,"Eugene, OR Knight Arena",31.92,,
153 Louisiana Tech at  92 Nevada,Nevada 74-64 (82%) [68],10:00 pm,"Reno, NV Lawlor Events Center",28.23,,
222 UNC Asheville at  128 Wichita St.,Wichita St. 82-74 (77%) [73],7:30 pm ESPN+,"Wichita, KS Charles Koch Arena",28.14,,
176 Portland St. at  89 Stanford,Stanford 78-67 (84%) [71],10:00 pm ACC Network Extra,"Stanford, CA Maples Pavilion",25.35,,
333 Eastern Illinois at  283 Valparaiso,Valparaiso 77-70 (72%) [71],8:00 pm ESPN+,"Valparaiso, IN Athletics-Recreation Center",24.66,,
272 Georgia Southern at  146 East Carolina,East Carolina 79-69 (81%) [72],7:00 pm ESPN+,"Greenville, NC Williams Arena at Minges Colis",22.77,,
220 Robert Morris at  46 Iowa,Iowa 79-61 (95%) [66],8:30 pm Big Ten Network,"Iowa City, IA Carver-Hawkeye Arena",15.58,,
235 UNC Greensboro at  61 Kansas St.,Kansas St. 81-64 (94%) [69],8:00 pm ESPN+,"Manhattan, KS Bramlage Coliseum",15.49,,
269 Southern Utah at  75 Arizona St.,Arizona St. 84-67 (94%) [73],9:00 pm ESPN+,"Tempe, AZ Desert Financial Arena",15.21,,
356 NJIT at  183 Fordham,Fordham 79-66 (88%) [70],7:00 pm ESPN+,"New York, NY Rose Hill Gym",14.411,,
210 Long Beach St. at  30 San Diego St.,San Diego St. 80-60 (97%) [68],10:00 pm,"San Diego, CA Viejas Arena",14.412,,
246 Mount St. Mary's at  67 West Virginia,West Virginia 78-61 (94%) [67],7:00 pm ESPN+,"Morgantown, WV Hope Coliseum",14.013,,
225 Nicholls at  4 Kentucky,Kentucky 90-62 (99.5%) [73],7:00 pm SEC Network Plus,"Lexington, KY Rupp Arena",12.914,,
330 Tennessee Martin at  107 UNLV,UNLV 82-65 (94%) [70],10:00 pm,"Las Vegas, NV Thomas & Mack Center",12.215,,
325 Alcorn St. at  96 Florida St.,Florida St. 83-65 (95%) [71],7:00 pm ACC Network Extra,"Tallahassee, FL Tucker Center",11.816,,
248 Evansville at  3 Purdue,Purdue 89-61 (99.5%) [70],6:30 pm Big Ten Network,"West Lafayette, IN Mackey Arena",11.717,,
307 Oral Roberts at  69 Oklahoma St.,Oklahoma St. 90-69 (97%) [74],8:00 pm ESPN+,"Stillwater, OK Gallagher-Iba Arena",11.518,,
353 North Carolina A&T at  86 South Carolina,South Carolina 84-62 (98%) [70],7:00 pm SEC Network Plus,"Columbia, SC Colonial Life Arena",8.819,,
328 Lindenwood at  12 Texas Tech,Texas Tech 88-57 (99.7%) [70],8:00 pm ESPN+,"Lubbock, TX United Supermarkets Arena",8.32,,
NR Occidental at  174 San Diego,,9:00 pm ESPN+,"San Diego, CA Jenny Craig Pavilion",0.021,,
NR Cal Poly Humboldt at  105 Santa Clara,,10:00 pm ESPN+,"Santa Clara, CA Leavey Center",0.021,,
NR Arkansas Baptist at  152 Little Rock,,8:00 pm ESPN+,"Little Rock, AR Stephens Center",0.021,,
NR Missouri Southern St. at  173 Missouri St.,,8:00 pm ESPN+,"Springfield, MO Great Southern Bank Arena",0.021,,
NR US Merchant Marine at  249 Sacred Heart,,7:00 pm ESPN+,"Fairfield, CT William Pitt Center - West Gym",0.021,,
NR Biblical Studies at  168 Rice,,8:00 pm ESPN+,"Houston, TX Tudor Fieldhouse",0.021,,
NR East West at  230 SIUE,,7:00 pm ESPN+,"Edwardsville, IL First Community Arena",0.021,,
NR Converse at  140 East Tennessee St.,,7:00 pm ESPN+,"Johnson City, TN Freedom Hall Civic Center",0.021,,
NR West Coast Baptist at  111 Utah Valley,,8:00 pm ESPN+,"Orem, UT UCCU Center",0.021,,
NR Penn State York at  296 UMBC,,6:00 pm ESPN+,"Baltimore, MD Chesapeake Employers Insurance",0.021,,
NR Caldwell at  206 Monmouth,,7:00 pm FloSports,"West Long Branch, NJ OceanFirst Bank Center",0.021,,
NR St. Joseph's NY Bkn at  250 Manhattan,,7:00 pm ESPN+,"Riverdale, NY Draddy Gymnasium",0.021,,
NR Park at  286 Idaho St.,,10:00 pm ESPN+,"Pocatello, ID Reed Gym",0.021,,
NR Dominican CA at  271 Sacramento St.,,10:00 pm ESPN+,"Sacramento, CA Hornet Pavilion",0.021,,
NR San Francisco St. at  126 UC Santa Barbara,,9:00 pm ESPN+,"Santa Barbara, CA Thunderdome",0.021,,
NR Adams St. at  144 New Mexico St.,,9:00 pm ESPN+,"Las Cruces, NM Pan American Center",0.021,,
