Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
187 Eastern Washington at  136 Loyola Marymount,Loyola Marymount 80-74 (70%) [72],10:30 pm ESPN+,"Los Angeles, CA Gersten Pavilion",33.81,,
198 North Dakota St. at  260 UC Davis,North Dakota St. 73-72 (55%) [70],9:00 pm ESPN+,"Davis, CA University Credit Union Center",33.52,,
338 USC Upstate at  194 Fresno St.,Fresno St. 88-77 (84%) [77],9:00 pm,"Fresno, CA Save Mart Center",19.03,,
177 Southern at  46 Marquette,Marquette 83-65 (95%) [74],8:00 pm ESPN+,"Milwaukee, WI Fiserv Forum",18.24,,
279 Southern Indiana at  72 Butler,Butler 86-68 (94%) [72],7:00 pm ESPN+,"Indianapolis, IN Hinkle Fieldhouse",14.85,,
227 North Alabama at  27 Mississippi St.,Mississippi St. 88-66 (98%) [72],9:00 pm SEC Network,"Starkville, MS Humphrey Coliseum",13.76,,
270 Tarleton St. at  56 LSU,LSU 83-64 (96%) [71],8:00 pm SEC Network Plus,"Baton Rouge, LA Maravich Assembly Center",12.97,,
349 Delaware St. at  132 Temple,Temple 85-69 (93%) [74],7:00 pm ESPN+,"Philadelphia, PA Liacouras Center",12.48,,
363 Coppin St. at  201 La Salle,La Salle 78-63 (92%) [69],6:30 pm ESPN+,"Philadelphia, PA Glaser Arena",11.49,,
314 Rider at  85 Rutgers,Rutgers 82-63 (96%) [70],6:00 pm Big Ten Network,"Piscataway, NJ Jersey Mike's Arena",11.01,,
305 South Dakota at  41 Creighton,Creighton 95-70 (99%) [74],8:00 pm Peacock,"Omaha, NE CHI Health Center Omaha",10.911,,
332 East Texas A&M at  98 New Mexico,New Mexico 82-63 (96%) [71],9:00 pm,"Albuquerque, NM The Pit",10.012,,
318 Alabama A&M at  40 Indiana,Indiana 85-61 (99%) [70],8:00 pm Big Ten Network,"Bloomington, IN Assembly Hall",9.613,,
352 Maryland Eastern Shore at  37 Georgia,Georgia 85-57 (99%) [70],7:00 pm SEC Network Plus,"Athens, GA Stegeman Coliseum",7.514,,
NR LaGrange at  212 Mercer,,7:00 pm ESPN+,"Macon, GA Hawkins Arena",0.015,,
NR Ottawa AZ at  172 Montana,,9:00 pm ESPN+,"Missoula, MT Dahlberg Arena",0.015,,
NR Northwest Indian at  228 Montana St.,,9:00 pm ESPN+,"Bozeman, MT Worthington Arena",0.015,,
NR Bethesda at  249 Utah Tech,,9:00 pm ESPN+,"St. George, UT Burns Arena",0.015,,
NR Life Pacific at  171 Pacific,,10:00 pm ESPN+,"Stockton, CA Spanos Center",0.015,,
NR MUW at  365 Mississippi Valley St.,,7:00 pm,"Itta Bena, MS Harrison HPER Complex",0.015,,
NR Belmont Abbey at  272 Elon,,7:00 pm FloSports,"Elon, NC Schar Center",0.015,,
NR Regent at  235 Norfolk St.,,7:00 pm,"Norfolk, VA Echols Memorial Hall",0.015,,
NR University of Dallas at  321 Prairie View A&M,,7:00 pm,"Prairie View, TX Nicks Center",0.015,,
NR Lynchburg at  217 Queens,,7:00 pm ESPN+,"Charlotte, NC Curry Arena",0.015,,
NR Dickinson at  304 Lafayette,,7:00 pm ESPN+,"Easton, PA Kirby Sports Center",0.015,,
NR Bluefield at  313 Presbyterian,,6:00 pm ESPN+,"Clinton, SC Templeton P.E. Center",0.015,,
NR Southern Virginia at  120 Richmond,,7:00 pm ESPN+,"Richmond, VA Robins Center",0.015,,
NR Plattsburgh St. at  204 Vermont,,7:00 pm ESPN+,"Burlington, VT Patrick Gymnasium",0.015,,
NR Carolina at  251 Appalachian St.,,6:30 pm ESPN+,"Boone, NC Holmes Convocation Center",0.015,,
NR Milligan at  160 Middle Tennessee,,11:30 am ESPN+,"Murfreesboro, TN Murphy Center",0.015,,
NR Texas A&M San Antonio at  254 Texas St.,,8:00 pm ESPN+,"San Marcos, TX Strahan Coliseum",0.015,,
NR RIT at  337 Binghamton,,6:07 pm ESPN+,"Vestal, NY Lee Court",0.015,,
NR Pacific Lutheran at  263 Cal Poly,,10:00 pm ESPN+,"San Luis Obispo, CA Mott Athletics Center",0.015,,
NR Washington & Lee at  145 James Madison,,7:00 pm ESPN+,"Harrisonburg, VA Atlantic Union Bank Center",0.015,,
NR Biblical Studies at  147 UTSA,,7:00 pm ESPN+,"San Antonio, TX UTSA Convocation Center",0.015,,
