Date,Team1,Team2,Prediction,Spread
2026-02-18,16 Arkansas at 18 Alabama SEC,7:00 pm ESPN,"Tuscaloosa, AL
Coleman Coliseum",86.51
2026-02-18,12 Vanderbilt at 55 Missouri SEC,9:00 pm SEC Network,"Columbia, MO
Mizzou Arena",71.42
2026-02-18,33 Clemson at 71 Wake Forest ACC,7:00 pm ACC Network,"Winston-Salem, NC
Joel Coliseum",69.13
2026-02-18,14 Kansas at 64 Oklahoma St. B12,9:00 pm Peacock,"Stillwater, OK
Gallagher-Iba Arena",69.14
2026-02-18,5 Illinois at 48 USC B10,10:00 pm Big Ten Network,"Los Angeles, CA
Galen Center",67.95
2026-02-18,30 Auburn at 86 Mississippi St. SEC,9:00 pm ESPN2,"Starkville, MS
Humphrey Coliseum",66.96
2026-02-18,22 BYU at 3 Arizona B12,9:00 pm ESPN,"Tucson, AZ
McKale Memorial Center",60.77
2026-02-18,85 Butler at 78 Georgetown BE,6:30 pm FOX Sports 1,"Washington, DC
Capital One Arena",56.18
2026-02-18,21 St. John's at 102 Marquette BE,9:00 pm TNT,"Milwaukee, WI
Fiserv Forum",54.89
2026-02-18,93 Colorado St. at 124 UNLV MWC,11:00 pm CBS Sports Network,"Las Vegas, NV
Thomas & Mack Center",51.110
2026-02-18,92 Dayton at 97 George Mason A10,7:00 pm CBS Sports Network,"Fairfax, VA
EagleBank Arena",50.211
2026-02-18,53 Oklahoma at 19 Tennessee SEC,7:00 pm ESPN2,"Knoxville, TN
Thompson-Boling Arena",49.312
2026-02-18,59 Boise St. at 25 Utah St. MWC,10:30 pm FOX Sports 1,"Logan, UT
Dee Glen Smith Spectrum",48.513
2026-02-18,104 Pacific at 133 Washington St. WCC,9:30 pm ESPN+,"Pullman, WA
Beasley Coliseum",47.714
2026-02-18,81 Mississippi at 36 Texas A&M SEC,7:00 pm SEC Network,"College Station, TX
Reed Arena",47.115
2026-02-18,28 Saint Mary's at 128 Seattle WCC,9:00 pm CBS Sports Network,"Seattle, WA
Climate Pledge Arena",46.816
2026-02-18,112 Murray St. at 99 Illinois St. MVC,9:00 pm ESPNU,"Normal, IL
CEFCU Arena",46.317
2026-02-18,129 UAB at 161 Temple Amer,7:00 pm ESPNU,"Philadelphia, PA
Liacouras Center",43.418
2026-02-18,131 Bradley at 159 Valparaiso MVC,7:00 pm ESPN+,"Valparaiso, IN
Athletics-Recreation Center",42.219
2026-02-18,136 Richmond at 106 Davidson A10,7:00 pm ESPN+,"Davidson, NC
Belk Arena",41.120
2026-02-18,121 Southern Illinois at 208 Drake MVC,7:30 pm ESPN+,"Des Moines, IA
Knapp Center",40.621
2026-02-18,11 Gonzaga at 122 San Francisco WCC,11:00 pm ESPN2,"San Francisco, CA
Chase Center",40.422
2026-02-18,138 East Tennessee St. at 186 Furman SC,6:30 pm ESPN+,"Greenville, SC
Timmons Arena",40.223
2026-02-18,123 North Dakota St. at 215 South Dakota St. Sum,8:00 pm,"Brookings, SD
First Bank & Trust Arena",39.924
2026-02-18,87 Northern Iowa at 210 Indiana St. MVC,7:00 pm ESPN+,"Terre Haute, IN
Hulman Center",39.525
2026-02-18,154 Saint Joseph's at 146 St. Bonaventure A10,7:00 pm ESPN+,"St. Bonaventure, NY
Reilly Center",37.526
2026-02-18,134 Maryland at 69 Northwestern B10,8:00 pm Big Ten Network,"Evanston, IL
Welsh-Ryan Arena",37.527
2026-02-18,153 Rutgers at 126 Penn St. B10,6:00 pm Big Ten Network,"University Park, PA
Bryce Jordan Center",37.528
2026-02-18,182 Kennesaw St. at 213 Missouri St. CUSA,8:00 pm ESPN+,"Springfield, MO
Great Southern Bank Arena",37.129
2026-02-18,113 DePaul at 47 Seton Hall BE,8:00 pm truTV,"Newark, NJ
Prudential Center",36.830
2026-02-18,79 Creighton at 9 Connecticut BE,7:00 pm TNT,"Storrs, CT
Gampel Pavilion",34.631
2026-02-18,20 Virginia at 163 Georgia Tech ACC,9:00 pm ACC Network,"Atlanta, GA
McCamish Pavilion",34.132
2026-02-18,173 Lipscomb at 273 Bellarmine ASun,7:30 pm ESPN+,"Louisville, KY
Knights Hall",33.933
2026-02-18,179 Middle Tennessee at 108 Sam Houston St. CUSA,7:30 pm ESPN+,"Huntsville, TX
Johnson Coliseum",32.434
2026-02-18,222 James Madison at 233 Coastal Carolina SB,7:00 pm ESPN+,"Conway, SC
HTC Center",32.335
2026-02-18,175 Western Kentucky at 269 Delaware CUSA,7:00 pm ESPN+,"Newark, DE
Bob Carpenter Center",32.236
2026-02-18,211 Jacksonville St. at 241 Louisiana Tech CUSA,7:30 pm ESPN+,"Ruston, LA
Thomas Assembly Center",32.037
2026-02-18,119 Utah at 56 West Virginia B12,8:30 pm FOX Sports 1,"Morgantown, WV
Hope Coliseum",31.238
2026-02-18,91 Wichita St. at 261 East Carolina Amer,7:00 pm ESPN+,"Greenville, NC
Williams Arena at Minges Colis",30.539
2026-02-18,249 American at 331 Bucknell PL,7:00 pm ESPN+,"Lewisburg, PA
Sojka Pavilion",28.040
2026-02-18,346 North Carolina Central at 358 South Carolina St. MEAC,8:00 pm ESPN+,"Orangeburg, SC
Smith-Hammond-Middleton Center",27.841
2026-02-18,298 UNC Greensboro at 263 Western Carolina SC,7:00 pm ESPN+,"Cullowhee, NC
Ramsey Center",27.842
2026-02-18,326 Lafayette at 330 Holy Cross PL,6:00 pm ESPN+,"Worcester, MA
Hart Center Arena",27.843
2026-02-18,114 Illinois Chicago at 297 Evansville MVC,8:00 pm ESPN+,"Evansville, IN
Ford Center",27.544
2026-02-18,258 Purdue Fort Wayne at 189 Northern Kentucky Horz,7:00 pm ESPN+,"Highland Heights, KY
Truist Arena",27.245
2026-02-18,274 Pepperdine at 196 Portland WCC,10:00 pm ESPN+,"Portland, OR
Chiles Center",26.446
2026-02-18,340 Army at 315 Loyola MD PL,7:00 pm ESPN+,"Baltimore, MD
Reitz Arena",25.547
2026-02-18,320 West Georgia at 279 Eastern Kentucky ASun,7:00 pm ESPN+,"Richmond, KY
Baptist Health Arena",24.348
2026-02-18,204 Queens at 341 North Alabama ASun,7:00 pm ESPN+,"Florence, AL
CB&S Bank Arena",23.649
2026-02-18,311 Jacksonville at 246 Florida Gulf Coast ASun,7:00 pm ESPN+,"Fort Myers, FL
Alico Arena",23.250
2026-02-18,239 La Salle at 109 Duquesne A10,7:00 pm ESPN+,"Pittsburgh, PA
UPMC Cooper Fieldhouse",22.751
2026-02-18,201 Charlotte at 62 Tulsa Amer,8:00 pm ESPN+,"Tulsa, OK
Reynolds Center",22.352
2026-02-18,305 Cleveland St. at 198 Youngstown St. Horz,6:30 pm ESPN+,"Youngstown, OH
Beeghly Center",21.053
2026-02-18,300 Lehigh at 156 Navy PL,7:00 pm ESPN+,"Annapolis, MD
Alumni Hall",19.554
2026-02-18,335 Oral Roberts at 248 Nebraska Omaha Sum,8:00 pm,"Omaha, NE
Baxter Arena",18.055
2026-02-18,316 Loyola Chicago at 158 Fordham A10,7:00 pm ESPN+,"New York, NY
Rose Hill Gym",17.356
2026-02-18,116 Florida Atlantic at 339 UTSA Amer,8:00 pm ESPN+,"San Antonio, TX
UTSA Convocation Center",15.857
2026-02-18,143 Troy at 352 Louisiana Monroe SB,7:30 pm ESPN+,"Monroe, LA
Fant-Ewing Coliseum",14.958
2026-02-18,359 VMI at 228 Wofford SC,6:00 pm ESPN+,"Spartanburg, SC
Richardson Indoor Stadium",11.459
