Date,Team1,Team2,Prediction,Spread
2026-02-25,5 Florida at 32 Texas SEC,7:00 pm ESPN2,"Austin, TX
Moody Center",81.61
2026-02-25,23 Utah St. at 43 San Diego St. MWC,11:00 pm FOX Sports 1,"San Diego, CA
Viejas Arena",77.92
2026-02-25,21 St. John's at 12 Connecticut BE,7:00 pm Peacock,"Hartford, CT
PeoplesBank Arena",75.93
2026-02-25,34 Santa Clara at 25 Saint Mary's WCC,11:00 pm CBS Sports Network,"Moraga, CA
University Credit Union Pavili",75.44
2026-02-25,33 SMU at 67 California ACC,10:00 pm ACC Network,"Berkeley, CA
Haas Pavilion",72.35
2026-02-25,36 Ohio St. at 24 Iowa B10,9:00 pm Big Ten Network,"Iowa City, IA
Carver-Hawkeye Arena",71.46
2026-02-25,37 Texas A&M at 19 Arkansas SEC,9:00 pm ESPN2,"Fayetteville, AR
Bud Walton Arena",67.57
2026-02-25,38 Georgia at 13 Vanderbilt SEC,7:00 pm SEC Network,"Nashville, TN
Memorial Gym",66.48
2026-02-25,53 LSU at 82 Mississippi SEC,9:00 pm SEC Network,"Oxford, MS
The Pavilion at Ole Miss",63.69
2026-02-25,28 Wisconsin at 106 Oregon B10,11:00 pm Big Ten Network,"Eugene, OR
Knight Arena",56.110
2026-02-25,96 Xavier at 66 Providence BE,7:30 pm truTV,"Providence, RI
Amica Mutual Pavilion",51.811
2026-02-25,77 Wake Forest at 160 Boston College ACC,6:00 pm ACC Network,"Chestnut Hill, MA
Conte Forum",47.012
2026-02-25,112 Davidson at 123 Duquesne A10,7:00 pm ESPN+,"Pittsburgh, PA
UPMC Cooper Fieldhouse",46.813
2026-02-25,98 Kansas St. at 71 Colorado B12,9:00 pm FOX Sports 1,"Boulder, CO
CU Events Center",46.114
2026-02-25,102 George Mason at 147 Saint Joseph's A10,7:00 pm ESPN+,"Philadelphia, PA
Hagan Arena",45.615
2026-02-25,100 DePaul at 76 Creighton BE,9:00 pm Peacock,"Omaha, NE
CHI Health Center Omaha",45.616
2026-02-25,99 Illinois St. at 85 Northern Iowa MVC,7:00 pm ESPNU,"Cedar Falls, IA
McLeod Center",45.417
2026-02-25,130 Washington St. at 138 Loyola Marymount WCC,11:00 pm ESPNU,"Los Angeles, CA
Gersten Pavilion",44.318
2026-02-25,81 Butler at 29 Villanova BE,7:00 pm FOX Sports 1,"Villanova, PA
Finneran Pavilion",44.019
2026-02-25,64 Tulsa at 174 Tulane Amer,7:30 pm ESPN+,"New Orleans, LA
Fogelman Arena",43.620
2026-02-25,108 Pittsburgh at 75 Stanford ACC,8:00 pm ACC Network,"Stanford, CA
Maples Pavilion",43.321
2026-02-25,162 Central Arkansas at 141 Austin Peay ASun,8:30 pm ESPN+,"Clarksville, TN
F&M Bank Arena",39.122
2026-02-25,140 North Texas at 188 Charlotte Amer,7:00 pm ESPN+,"Charlotte, NC
Halton Arena",38.223
2026-02-25,125 UNLV at 63 Grand Canyon MWC,9:00 pm CBS Sports Network,"Phoenix, AZ
Global Credit Union Arena",37.024
2026-02-25,86 Mississippi St. at 20 Alabama SEC,9:00 pm ESPNU,"Tuscaloosa, AL
Coleman Coliseum",36.725
2026-02-25,181 Mercer at 254 Western Carolina SC,7:00 pm ESPN+,"Cullowhee, NC
Ramsey Center",36.626
2026-02-25,202 Queens at 281 Eastern Kentucky ASun,7:00 pm ESPN+,"Richmond, KY
Baptist Health Arena",35.227
2026-02-25,156 Wright St. at 255 Purdue Fort Wayne Horz,7:00 pm ESPN+,"Fort Wayne, IN
Memorial Coliseum",34.728
2026-02-25,190 Youngstown St. at 273 Milwaukee Horz,8:00 pm ESPN+,"Milwaukee, WI
UW-Milwaukee Panther Arena",33.929
2026-02-25,250 Nebraska Omaha at 291 South Dakota Sum,7:00 pm CBS Sports Network,"Vermillion, SD
Sanford Coyote Sports Center",32.530
2026-02-25,203 Drake at 139 Valparaiso MVC,8:00 pm ESPN+,"Valparaiso, IN
Athletics-Recreation Center",31.331
2026-02-25,224 San Diego at 184 Oregon St. WCC,10:00 pm ESPN+,"Corvallis, OR
Gill Coliseum",30.332
2026-02-25,187 Northern Kentucky at 313 Cleveland St. Horz,7:00 pm ESPN+,"Cleveland, OH
Wolstein Center",29.133
2026-02-25,56 South Florida at 238 Rice Amer,8:00 pm ESPN+,"Houston, TX
Tudor Fieldhouse",29.034
2026-02-25,351 Morgan St. at 358 South Carolina St. MEAC,6:00 pm,"Orangeburg, SC
Smith-Hammond-Middleton Center",28.935
2026-02-25,122 Seattle at 268 Pepperdine WCC,9:00 pm ESPN+,"Malibu, CA
Firestone Fieldhouse",28.936
2026-02-25,280 Bellarmine at 341 North Alabama ASun,8:45 pm ESPN+,"Florence, AL
CB&S Bank Arena",28.537
2026-02-25,274 Georgia Southern at 219 James Madison SB,8:00 pm ESPN+,"Harrisonburg, VA
Atlantic Union Bank Center",27.938
2026-02-25,"335 Bucknell 75, 337 Army 73 [72] PL
MVP: Achile Spadone (21p/8r/3a/4s)","box
win prob","West Point, NY
Christl Arena",27.839
2026-02-25,243 Detroit Mercy at 157 Robert Morris Horz,7:00 pm ESPN+,"Moon Township, PA
UPMC Events Center",27.640
