Date,Team1,Team2,Prediction,Spread
2026-02-20,45 VCU at 26 Saint Louis A10,7:00 pm ESPN2,"St. Louis, MO
Chaifetz Arena",62.41
2026-02-20,37 Indiana at 8 Purdue B10,8:00 pm FOX,"West Lafayette, IN
Mackey Arena",58.62
2026-02-20,143 Bowling Green at 87 Miami OH MAC,8:30 pm CBS Sports Network,"Oxford, OH
Millett Hall",36.13
2026-02-20,194 Siena at 162 Merrimack MAAC,8:00 pm ESPNU,"North Andover, MA
Lawler Arena",35.04
2026-02-20,220 Green Bay at 152 Oakland Horz,7:00 pm ESPN+,"Oakland, MI
OU Credit Union O'rena",32.45
2026-02-20,242 Saint Peter's at 257 Iona MAAC,7:00 pm ESPN+,"New Rochelle, NY
Hynes Athletics Center",31.86
2026-02-20,252 Princeton at 277 Brown Ivy,7:00 pm ESPN+,"Providence, RI
Pizzitola Sports Center",30.17
2026-02-20,269 Milwaukee at 246 Detroit Mercy Horz,7:00 pm ESPN+,"Detroit, MI
Calihan Hall",29.88
2026-02-20,296 Sacred Heart at 270 Fairfield MAAC,7:00 pm ESPN+,"Fairfield, CT
Mahoney Arena",29.39
2026-02-20,346 Canisius at 356 Rider MAAC,7:00 pm ESPN+,"Lawrenceville, NJ
Alumni Gymnasium",27.010
2026-02-20,195 Marist at 328 Manhattan MAAC,7:00 pm ESPN+,"Riverdale, NY
Draddy Gymnasium",24.111
2026-02-20,339 Niagara at 299 Mount St. Mary's MAAC,7:00 pm ESPN+,"Emmitsburg, MD
Knott Arena",22.512
2026-02-20,66 Akron at 326 Ball St. MAC,6:30 pm CBS Sports Network,"Muncie, IN
Worthen Arena",15.613
