Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
26 Arkansas at  35 Michigan St.,Michigan St. 79-77 (57%) [73],7:00 pm FOX,"East Lansing, MI Breslin Center",77.81,,
24 Alabama at  14 St. John's,St. John's 87-81 (69%) [78],12:00 pm FOX Sports 1,"New York, NY Madison Square Garden",75.12,,
16 Vanderbilt at  72 UCF,Vanderbilt 84-78 (70%) [76],4:00 pm ESPN+,"Orlando, FL Addition Financial Arena",68.13,,
67 Virginia Tech vs.  64 Providence,Providence 78-77 (53%) [72],4:00 pm Peacock,"Uncasville, CT Mohegan Sun Arena",66.14,,
77 George Washington vs.  98 South Florida,George Washington 79-77 (58%) [74],1:30 pm Peacock,"Uncasville, CT Mohegan Sun Arena",57.65,,
56 Oklahoma at  8 Gonzaga,Gonzaga 87-75 (86%) [74],10:30 pm ESPN2,"Spokane, WA Spokane Veterans Memorial Aren",51.76,,
86 San Francisco at  54 Memphis,Memphis 82-74 (75%) [75],3:00 pm ESPN+,"Memphis, TN FedExForum",50.47,,
117 Chattanooga at  128 UNLV,UNLV 81-79 (57%) [73],9:00 pm,"Las Vegas, NV Thomas & Mack Center",45.58,,
132 Charleston vs.  130 Florida Atlantic,Florida Atlantic 80-79 (51%) [74],6:00 pm YouTube,"Lynchburg, VA Liberty Arena",44.69,,
151 San Jose St. at  125 UC Santa Barbara,UC Santa Barbara 76-72 (64%) [70],4:00 pm ESPN+,"Santa Barbara, CA Thunderdome",38.61,,
170 Marshall at  184 Toledo,Toledo 81-79 (56%) [73],2:00 pm ESPN+,"Toledo, OH Savage Arena",37.911,,
111 Utah Valley at  55 Boise St.,Boise St. 80-69 (83%) [72],4:00 pm,"Boise, ID ExtraMile Arena",37.212,,
157 East Carolina at  118 Richmond,Richmond 76-70 (70%) [71],6:00 pm ESPN+,"Richmond, VA Robins Center",35.513,,
205 Milwaukee at  253 Wofford,Wofford 78-77 (52%) [73],2:00 pm ESPN+,"Spartanburg, SC Richardson Indoor Stadium",34.614,,
220 UT Rio Grande Valley at  267 Southern Utah,Southern Utah 79-78 (53%) [76],8:30 pm ESPN+,"Cedar City, UT America First Event Center",34.015,,
246 UNC Asheville at  257 Georgia Southern,Georgia Southern 81-79 (58%) [74],3:00 pm ESPN+,"Statesboro, GA Hill Convocation Center",33.416,,
223 Long Beach St. at  218 Fresno St.,Fresno St. 75-73 (60%) [72],5:00 pm,"Fresno, CA Save Mart Center",33.017,,
233 William & Mary at  234 Norfolk St.,Norfolk St. 81-77 (62%) [74],4:00 pm,"Norfolk, VA Echols Memorial Hall",32.718,,
200 Monmouth at  176 La Salle,La Salle 76-72 (66%) [71],3:30 pm ESPN+,"Philadelphia, PA Glaser Arena",32.419,,
245 Texas A&M Corpus Chris at  291 Tarleton St.,Tarleton St. 71-70 (53%) [70],7:00 pm ESPN+,"Stephenville, TX EECU Center",31.42,,
269 Elon at  250 UNC Greensboro,UNC Greensboro 74-71 (62%) [70],4:00 pm ESPN+,"Greensboro, NC Fleming Gymnasium",30.521,,
299 Fairfield at  333 NJIT,Fairfield 73-72 (50%) [70],2:00 pm ESPN+,"Newark, NJ Wellness and Events Center",29.922,,
288 Maine at  284 Stony Brook,Stony Brook 70-68 (60%) [69],5:00 pm FloSports,"Stony Brook, NY Island Federal Credit Union Ar",29.223,,
280 Austin Peay at  273 Air Force,Air Force 72-68 (64%) [68],4:00 pm,"Colorado Springs, CO Clune Arena",28.624,,
265 Albany at  209 Massachusetts,Massachusetts 80-74 (70%) [76],6:00 pm ESPN+,"Amherst, MA Mullins Center",28.425,,
343 Niagara at  340 Binghamton,Binghamton 73-70 (61%) [70],2:00 pm ESPN+,"Vestal, NY Lee Court",27.526,,
139 East Tennessee St. at  312 Presbyterian,East Tennessee St. 75-68 (73%) [68],6:00 pm ESPN+,"Clinton, SC Templeton P.E. Center",27.127,,
169 Montana at  95 Stanford,Stanford 81-70 (84%) [72],4:00 pm ACC Network Extra,"Stanford, CA Maples Pavilion",26.928,,
279 Houston Christian at  147 UC San Diego,UC San Diego 78-70 (77%) [70],10:00 pm ESPN+,"San Diego, CA LionTree Arena",25.129,,
350 Fairleigh Dickinson at  304 Saint Peter's,Saint Peter's 74-68 (72%) [70],2:00 pm ESPN+,"Jersey City, NJ Yanitelli Center",23.53,,
178 UT Arlington at  99 New Mexico,New Mexico 81-69 (86%) [73],4:00 pm,"Albuquerque, NM The Pit",23.231,,
192 Eastern Washington at  94 Colorado,Colorado 83-70 (87%) [72],4:00 pm ESPN+,"Boulder, CO CU Events Center",22.932,,
203 Princeton at  88 Akron,Akron 84-71 (87%) [73],12:00 pm ESPN+,"Akron, OH Rhodes Arena",22.933,,
168 Pacific at  74 Nevada,Nevada 80-67 (88%) [69],10:00 pm,"Reno, NV Lawlor Events Center",22.834,,
239 Drexel at  114 Saint Joseph's,Saint Joseph's 76-66 (83%) [69],1:00 pm ESPN+,"Philadelphia, PA Hagan Arena",22.735,,
242 Tennessee St. at  106 Belmont,Belmont 83-71 (86%) [74],8:00 pm ESPN+,"Nashville, TN Curb Event Center",21.936,,
254 Texas St. at  110 Tulane,Tulane 80-68 (85%) [70],2:00 pm ESPN+,"New Orleans, LA Fogelman Arena",21.537,,
264 Cal Poly at  122 Seattle,Seattle 84-73 (85%) [77],10:00 pm ESPN+,"Seattle, WA Redhawk Center",21.338,,
141 Kennesaw St. at  349 Florida A&M,Kennesaw St. 84-74 (82%) [75],1:00 pm,"Tallahassee, FL Lawson Center",21.139,,
133 Towson at  2 Houston,Houston 79-57 (97%) [66],3:00 pm ESPN+,"Houston, TX Fertitta Center",19.44,,
268 Central Michigan at  115 Bradley,Bradley 79-67 (87%) [70],8:00 pm ESPN+,"Peoria, IL Carver Arena",18.441,,
193 FIU at  48 Nebraska,Nebraska 86-68 (95%) [73],1:00 pm BTN Plus,"Lincoln, NE Pinnacle Bank Arena",17.942,,
213 Queens at  52 Villanova,Villanova 86-67 (95%) [72],7:00 pm ESPN+,"Villanova, PA Finneran Pavilion",15.843,,
347 Army at  175 St. Thomas,St. Thomas 82-69 (88%) [71],8:00 pm,"St. Paul, MN Anderson Arena",15.344,,
335 Cal St. Fullerton at  154 Wyoming,Wyoming 78-65 (88%) [70],4:00 pm,"Laramie, WY Arena-Auditorium",15.145,,
321 Prairie View A&M at  119 Wichita St.,Wichita St. 83-68 (92%) [74],7:00 pm ESPN+,"Wichita, KS Charles Koch Arena",14.046,,
208 Western Carolina at  6 Duke,Duke 90-63 (99%) [73],1:30 pm The CW Network,"Durham, NC Cameron Indoor Stadium",13.747,,
105 Penn St. at  360 New Haven,Penn St. 82-66 (93%) [72],1:00 pm,"West Haven, CT The Hazell Center",13.148,,
295 UMBC at  47 Dayton,Dayton 88-65 (98%) [72],2:00 pm ESPN+,"Dayton, OH University of Dayton Arena",11.449,,
303 Weber St. at  80 Utah,Utah 85-66 (96%) [71],7:00 pm ESPN+,"Salt Lake City, UT Huntsman Center",11.45,,
328 Alcorn St. at  69 Minnesota,Minnesota 86-65 (97%) [71],12:00 pm Peacock,"Minneapolis, MN Williams Arena",10.451,,
278 Northern Kentucky at  15 Tennessee,Tennessee 84-57 (99%) [69],3:00 pm SEC Network Plus,"Knoxville, TN Thompson-Boling Arena",10.452,,
305 Lafayette at  42 Texas,Texas 86-62 (98%) [71],3:00 pm SEC Network Plus,"Austin, TX Moody Center",10.253,,
317 Bellarmine at  57 Kansas St.,Kansas St. 92-68 (98%) [74],8:00 pm ESPN+,"Manhattan, KS Bramlage Coliseum",10.254,,
351 Canisius at  112 St. Bonaventure,St. Bonaventure 80-62 (95%) [69],4:00 pm ESPN+,"St. Bonaventure, NY Reilly Center",9.855,,
346 IU Indy at  66 Butler,Butler 94-70 (99%) [76],5:00 pm ESPN+,"Indianapolis, IN Hinkle Fieldhouse",9.656,,
364 Arkansas Pine Bluff at  131 Loyola Marymount,Loyola Marymount 85-65 (97%) [74],9:00 pm ESPN+,"Los Angeles, CA Gersten Pavilion",8.757,,
353 Delaware St. at  62 Syracuse,Syracuse 90-65 (99%) [73],1:00 pm ACC Network Extra,"Syracuse, NY JMA Wireless Dome",8.658,,
341 Holy Cross at  17 BYU,BYU 95-63 (99.8%) [72],9:00 pm ESPN+,"Provo, UT Marriott Center",8.659,,
NR Southern New Orleans at  237 New Orleans,,4:00 pm ESPN+,"New Orleans, LA Lakefront Arena",0.06,,
NR John Brown at  309 Oral Roberts,,8:00 pm,"Tulsa, OK Mabee Center",0.06,,
NR Averett at  85 High Point,,5:00 pm ESPN+,"High Point, NC Qubein Center",0.06,,
NR Champion Christian at  348 Central Arkansas,,2:00 pm ESPN+,"Conway, AR Farris Center",0.06,,
NR Webster at  159 Middle Tennessee,,7:30 pm ESPN+,"Murfreesboro, TN Murphy Center",0.06,,
NR Cheyney at  357 Maryland Eastern Shore,,4:30 pm,"Princess Anne, MD Hytche Center",0.06,,
NR Northwestern Oklahoma at  172 Missouri St.,,8:00 pm ESPN+,"Springfield, MO Great Southern Bank Arena",0.06,,
NR Southern Virginia at  319 USC Upstate,,12:00 pm ESPN+,"Spartanburg, SC Hodge Center",0.06,,
NR Penn St New Kensington at  334 Mercyhurst,,3:00 pm,"Erie, PA Mercyhurst Athletic Center",0.06,,
NR Spring Hill at  182 South Alabama,,4:00 pm ESPN+,"Mobile, AL Mitchell Center",0.06,,
