Date,Team1,Team2,Prediction,Spread
2026-02-22,25 Iowa at 33 Wisconsin B10,4:00 pm FOX Sports 1,"Madison, WI
Kohl Center",79.61
2026-02-22,39 Ohio St. at 9 Michigan St. B10,1:00 pm CBS,"East Lansing, MI
Breslin Center",61.52
2026-02-22,120 Florida Atlantic at 140 North Texas Amer,4:00 pm ESPNU,"Denton, TX
The Super Pit",43.83
2026-02-22,126 UAB at 107 Memphis Amer,12:00 pm ESPN2,"Memphis, TN
FedExForum",41.14
2026-02-22,167 Robert Morris at 141 Wright St. Horz,2:00 pm ESPNU,"Dayton, OH
Nutter Center",37.55
2026-02-22,185 Northern Kentucky at 196 Youngstown St. Horz,2:00 pm ESPN+,"Youngstown, OH
Beeghly Center",37.06
2026-02-22,213 Green Bay at 247 Detroit Mercy Horz,1:00 pm ESPN+,"Detroit, MI
Calihan Hall",34.67
2026-02-22,174 Towson at 226 Drexel CAA,2:00 pm CBS Sports Network,"Philadelphia, PA
Daskalakis Athletic Center",34.68
2026-02-22,259 Purdue Fort Wayne at 312 Cleveland St. Horz,2:00 pm ESPN+,"Cleveland, OH
Wolstein Center",32.19
2026-02-22,260 Boston University at 305 Lehigh PL,12:00 pm CBS Sports Network,"Bethlehem, PA
Stabler Arena",30.610
2026-02-22,233 Rice at 175 Tulane Amer,2:00 pm ESPN+,"New Orleans, LA
Fogelman Arena",30.011
2026-02-22,249 Saint Peter's at 199 Siena MAAC,2:00 pm ESPN+,"Albany, NY
MVP Arena",28.812
2026-02-22,331 Holy Cross at 335 Bucknell PL,12:00 pm ESPN+,"Lewisburg, PA
Sojka Pavilion",27.613
2026-02-22,241 American at 326 Lafayette PL,12:00 pm ESPN+,"Easton, PA
Kirby Sports Center",27.414
2026-02-22,268 Fairfield at 201 Quinnipiac MAAC,2:00 pm ESPN+,"Hamden, CT
M&T Bank Arena",27.215
2026-02-22,254 Iona at 162 Merrimack MAAC,1:00 pm ESPN+,"North Andover, MA
Lawler Arena",26.916
2026-02-22,341 Niagara at 357 Rider MAAC,12:00 pm ESPN+,"Lawrenceville, NJ
Alumni Gymnasium",26.817
2026-02-22,271 Milwaukee at 160 Oakland Horz,3:00 pm ESPN+,"Oakland, MI
OU Credit Union O'rena",24.918
2026-02-22,296 Sacred Heart at 188 Marist MAAC,1:00 pm ESPN+,"Poughkeepsie, NY
McCann Center",21.019
2026-02-22,347 Canisius at 293 Mount St. Mary's MAAC,2:00 pm ESPN+,"Emmitsburg, MD
Knott Arena",20.820
2026-02-22,338 UTSA at 64 Tulsa Amer,4:00 pm ESPNews,"Tulsa, OK
Reynolds Center",8.421
