Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
64 VCU at  20 N.C. State,N.C. State 84-74 (81%) [74],7:00 pm ACC Network,"Raleigh, NC Lenovo Center",53.51,,
109 Loyola Marymount at  122 UC Santa Barbara,UC Santa Barbara 75-74 (53%) [68],9:00 pm ESPN+,"Santa Barbara, CA Thunderdome",47.62,,
121 Southern Illinois at  190 North Dakota St.,Southern Illinois 78-76 (57%) [72],8:00 pm,"Fargo, ND Scheels Center",40.93,,
148 Drake at  153 Charleston,Charleston 77-75 (59%) [67],7:00 pm FloSports,"Charleston, SC TD Arena",38.74,,
117 Tulsa at  61 Kansas St.,Kansas St. 86-75 (84%) [72],8:00 pm ESPN+,"Manhattan, KS Bramlage Coliseum",34.65,,
188 Colgate at  156 Siena,Siena 75-71 (65%) [69],7:00 pm ESPN+,"Albany, NY MVP Arena",34.36,,
138 Saint Joseph's at  289 Penn,Saint Joseph's 83-77 (71%) [74],7:00 pm ESPN+,"Philadelphia, PA Palestra",30.67,,
318 West Georgia at  325 Tennessee Tech,Tennessee Tech 79-77 (58%) [72],7:00 pm ESPN+,"Cookeville, TN Hooper Eblen Arena",29.88,,
312 Niagara at  334 Le Moyne,Le Moyne 72-71 (53%) [67],7:00 pm,"Syracuse, NY Grant Court",29.39,,
245 Cal St. Bakersfield at  168 Portland St.,Portland St. 77-71 (71%) [72],10:00 pm ESPN+,"Portland, OR The Viking Pavilion",28.71,,
137 Oregon St. at  56 Oregon,Oregon 79-66 (87%) [68],10:00 pm FOX Sports 1,"Eugene, OR Knight Arena",28.211,,
219 Lamar at  353 Louisiana Monroe,Lamar 77-71 (72%) [70],7:30 pm ESPN+,"Monroe, LA Fant-Ewing Coliseum",24.512,,
192 Oakland at  68 UCF,UCF 88-73 (92%) [72],7:00 pm ESPN+,"Orlando, FL Addition Financial Arena",20.513,,
260 Alabama St. at  92 Colorado,Colorado 85-70 (92%) [72],9:00 pm ESPN+,"Boulder, CO CU Events Center",16.814,,
180 SIUE at  17 Wisconsin,Wisconsin 81-60 (97%) [69],8:00 pm Big Ten Network,"Madison, WI Kohl Center",16.615,,
261 Bucknell at  80 Pittsburgh,Pittsburgh 79-63 (92%) [68],7:00 pm ACC Network Extra,"Pittsburgh, PA Petersen Events Center",15.816,,
186 Rice at  13 Tennessee,Tennessee 82-60 (98%) [68],8:30 pm SEC Network,"Knoxville, TN Thompson-Boling Arena",15.017,,
249 North Alabama at  27 Clemson,Clemson 85-63 (98%) [68],9:00 pm ACC Network,"Clemson, SC Littlejohn Coliseum",12.718,,
311 Georgia St. at  82 Arizona St.,Arizona St. 83-64 (96%) [71],9:00 pm ESPN+,"Tempe, AZ Desert Financial Arena",11.719,,
303 Southern Utah at  2 Gonzaga,Gonzaga 95-62 (99.8%) [73],9:00 pm ESPN+,"Spokane, WA McCarthey Athletic Center",10.52,,
347 Canisius at  93 High Point,High Point 86-66 (96%) [69],7:00 pm ESPN+,"High Point, NC Qubein Center",10.121,,
343 Prairie View A&M at  29 Missouri,Missouri 95-65 (99.7%) [74],8:00 pm SEC Network Plus,"Columbia, MO Mizzou Arena",8.822,,
336 Lafayette at  62 West Virginia,West Virginia 81-58 (98%) [66],7:00 pm ESPN+,"Morgantown, WV Hope Coliseum",8.323,,
354 Florida A&M at  34 Georgia,Georgia 97-65 (99.8%) [76],6:30 pm SEC Network,"Athens, GA Stegeman Coliseum",8.124,,
333 Stonehill at  9 Iowa St.,Iowa St. 88-55 (99.9%) [71],8:00 pm ESPN+,"Ames, IA Hilton Coliseum",8.125,,
NR Rhodes at  107 UAB,,7:30 pm ESPN+,"Birmingham, AL Bartow Arena",0.026,,
NR Peru St. at  157 South Dakota St.,,8:00 pm,"Brookings, SD First Bank & Trust Arena",0.026,,
NR Southwestern Adventist at  174 UT Rio Grande Valley,,7:30 pm ESPN+,"Edinburg, TX UTRGV Fieldhouse",0.026,,
NR Coastal Georgia at  129 Florida Atlantic,,7:00 pm ESPN+,"Boca Raton, FL Baldwin Arena",0.026,,
NR Eastern Oregon at  205 Eastern Washington,,10:30 pm ESPN+,"Cheney, WA Reese Court",0.026,,
NR Angelo St. at  231 Tarleton St.,,8:00 pm ESPN+,"Stephenville, TX EECU Center",0.026,,
NR Bethesda at  171 San Jose St.,,10:00 pm,"San Jose, CA Provident Credit Union Event C",0.026,,
NR Carolina at  81 Liberty,,7:00 pm ESPN+,"Lynchburg, VA Liberty Arena",0.026,,
NR Coe at  340 Western Illinois,,8:30 pm ESPN+,"Macomb, IL Western Hall",0.026,,
