Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
283 Grambling St. at  200 San Diego,San Diego 78-72 (70%) [71],9:00 pm ESPN+,"San Diego, CA Jenny Craig Pavilion",28.018,,
321 Holy Cross at  289 Brown,Brown 74-70 (64%) [67],7:00 pm ESPN+,"Providence, RI Pizzitola Sports Center",27.719,,
148 Montana at  67 Texas A&M,Texas A&M 88-75 (88%) [74],8:00 pm SEC Network Plus,"College Station, TX Reed Arena",26.92,,
296 Saint Peter's at  228 Delaware,Delaware 75-70 (70%) [67],7:00 pm ESPN+,"Newark, DE Bob Carpenter Center",26.821,,
214 Little Rock at  116 Murray St.,Murray St. 83-73 (80%) [73],8:00 pm ESPN+,"Murray, KY CFSB Center",26.722,,
129 Winthrop at  35 Arkansas,Arkansas 90-74 (93%) [76],8:00 pm SEC Network Plus,"Fayetteville, AR Bud Walton Arena",26.223,,
281 UC Riverside at  153 Cal Baptist,Cal Baptist 78-69 (78%) [69],10:00 pm ESPN+,"Riverside, CA Fowler Events Center",23.824,,
223 Old Dominion at  111 Xavier,Xavier 81-70 (83%) [71],7:00 pm ESPN+,"Cincinnati, OH Cintas Center",23.725,,
136 Troy at  29 San Diego St.,San Diego St. 80-64 (93%) [70],10:00 pm,"San Diego, CA Viejas Arena",22.926,,
340 NJIT at  280 Drexel,Drexel 74-67 (74%) [69],7:00 pm FloSports,"Philadelphia, PA Daskalakis Athletic Center",22.727,,
230 Radford at  97 South Carolina,South Carolina 84-71 (88%) [71],7:00 pm SEC Network Plus,"Columbia, SC Colonial Life Arena",20.828,,
353 Saint Francis at  282 Lehigh,Lehigh 78-70 (78%) [72],7:00 pm ESPN+,"Bethlehem, PA Stabler Arena",20.729,,
236 Georgia Southern at  89 Georgia Tech,Georgia Tech 88-74 (90%) [76],7:30 pm ACC Network Extra,"Atlanta, GA McCamish Pavilion",20.03,,
186 Southern at  47 Washington,Washington 85-69 (94%) [72],9:30 pm Peacock,"Seattle, WA Alaska Airlines Arena",19.631,,
255 Hampton at  106 Boston College,Boston College 76-64 (87%) [68],7:00 pm ACC Network Extra,"Chestnut Hill, MA Conte Forum",19.432,,
235 UC Davis at  100 Nevada,Nevada 78-65 (88%) [68],10:00 pm,"Reno, NV Lawlor Events Center",19.133,,
244 Idaho St. at  68 Santa Clara,Santa Clara 83-68 (92%) [67],10:00 pm ESPN+,"Santa Clara, CA Leavey Center",18.034,,
174 Navy at  23 North Carolina,North Carolina 90-69 (97%) [73],7:00 pm ACC Network,"Chapel Hill, NC Dean E. Smith Center",17.735,,
245 Jacksonville at  90 George Mason,George Mason 75-61 (90%) [67],7:00 pm ESPN+,"Fairfax, VA EagleBank Arena",17.436,,
229 Tennessee Martin at  69 Florida St.,Florida St. 86-69 (94%) [74],7:00 pm ACC Network Extra,"Tallahassee, FL Tucker Center",17.137,,
260 Purdue Fort Wayne at  102 Utah,Utah 87-72 (92%) [74],9:00 pm ESPN+,"Salt Lake City, UT Huntsman Center",16.338,,
264 Louisiana at  87 Stanford,Stanford 80-64 (92%) [69],10:00 pm ACC Network Extra,"Stanford, CA Maples Pavilion",15.939,,
350 Maryland Eastern Shore at  206 Longwood,Longwood 75-64 (86%) [69],7:00 pm ESPN+,"Farmville, VA Brock Center",15.74,,
234 Monmouth at  48 Syracuse,Syracuse 84-65 (96%) [71],9:00 pm ACC Network,"Syracuse, NY JMA Wireless Dome",15.241,,
218 Austin Peay at  28 Mississippi,Mississippi 83-62 (97%) [70],8:00 pm SEC Network Plus,"Oxford, MS The Pavilion at Ole Miss",15.142,,
356 Army at  164 Cornell,Cornell 89-75 (91%) [73],8:00 pm ESPN+,"Ithaca, NY Newman Arena",13.943,,
301 Northwestern St. at  83 San Francisco,San Francisco 82-65 (94%) [68],10:00 pm ESPN+,"San Francisco, CA War Memorial Gymnasium",13.744,,
247 Southeast Missouri at  37 Iowa,Iowa 85-64 (97%) [70],8:30 pm Big Ten Network,"Iowa City, IA Carver-Hawkeye Arena",13.345,,
304 Northern Illinois at  96 Northern Iowa,Northern Iowa 82-65 (93%) [69],8:00 pm ESPN+,"Cedar Falls, IA McLeod Center",13.346,,
330 Gardner Webb at  112 DePaul,DePaul 85-69 (93%) [73],8:00 pm ESPN+,"Chicago, IL Wintrust Arena",12.847,,
295 Presbyterian at  78 California,California 81-63 (95%) [68],10:00 pm ACC Network Extra,"Berkeley, CA Haas Pavilion",12.748,,
299 American at  93 Rutgers,Rutgers 82-64 (95%) [69],6:30 pm Big Ten Network,"Piscataway, NJ Jersey Mike's Arena",12.449,,
274 Sacramento St. at  31 UCLA,UCLA 84-61 (98%) [68],10:30 pm Big Ten Network,"Los Angeles, CA Pauley Pavilion",11.75,,
322 Rider at  40 Texas,Texas 83-59 (99%) [68],9:00 pm SEC Network,"Austin, TX Moody Center",9.051,,
348 New Hampshire at  75 Providence,Providence 93-68 (99%) [74],7:00 pm ESPN+,"Providence, RI Amica Mutual Pavilion",8.852,,
345 Alcorn St. at  38 LSU,LSU 91-64 (99%) [72],8:00 pm SEC Network Plus,"Baton Rouge, LA Maravich Assembly Center",8.753,,
361 Chicago St. at  91 Minnesota,Minnesota 84-62 (98%) [68],8:00 pm BTN Plus,"Minneapolis, MN Williams Arena",8.254,,
360 New Haven at  92 Seton Hall,Seton Hall 75-54 (97%) [66],7:00 pm ESPN+,"Newark, NJ Prudential Center",7.855,,
363 Arkansas Pine Bluff at  51 SMU,SMU 97-67 (99.7%) [75],8:00 pm ACC Network Extra,"Dallas, TX Moody Coliseum",7.756,,
NR Toccoa Falls at  347 North Carolina Central,,7:30 pm ESPN+,"Durham, NC McDougald-McLendon Arena",0.057,,
NR Paul Smith's at  303 Albany,,6:30 pm ESPN+,"Albany, NY Broadview Center",0.057,,
"364 Coppin St. 103, NR Central Pennsylvania 62 [81] MVP: Torrin Andrews (20p/6r/6a/1b/5s)",,box,"Baltimore, MD Physical Education Complex Are",0.057,,
NR Embry Riddle at  279 Northern Arizona,,8:00 pm ESPN+,"Flagstaff, AZ Rolle Activity Center",0.057,,
NR Haskell at  306 Oral Roberts,,8:00 pm,"Tulsa, OK Mabee Center",0.057,,
NR Fort Lauderdale at  209 FIU,,7:00 pm ESPN+,"Miami, FL Ocean Bank Convocation Center",0.057,,
NR William Carey at  256 Southern Miss,,8:30 pm ESPN+,"Hattiesburg, MS Reed Green Coliseum",0.057,,
NR Saint Elizabeth at  357 Fairleigh Dickinson,,7:00 pm,"Hackensack, NJ Bogota Savings Bank Center",0.057,,
NR Bethel TN at  143 Western Kentucky,,7:30 pm ESPN+,"Bowling Green, KY Diddle Arena",0.057,,
NR Cheyney at  362 Delaware St.,,7:00 pm ESPN+,"Dover, DE Memorial Hall",0.057,,
NR Southwestern Christian at  215 UTSA,,12:00 pm ESPN+,"San Antonio, TX UTSA Convocation Center",0.057,,
NR Maine Augusta at  302 Dartmouth,,7:00 pm ESPN+,"Hanover, NH Leede Arena",0.057,,
