Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
26 Kansas vs.  2 Duke,Duke 78-72 (71%) [70],9:00 pm ESPN,"New York, NY Madison Square Garden",74.91,,
32 Michigan St. vs.  4 Kentucky,Kentucky 79-73 (73%) [71],6:30 pm ESPN,"New York, NY Madison Square Garden",72.72,,
98 Wichita St. at  55 Boise St.,Boise St. 81-73 (77%) [70],9:00 pm,"Boise, ID ExtraMile Arena",45.33,,
114 Rhode Island at  71 Yale,Yale 81-73 (77%) [70],8:00 pm ESPN+,"New Haven, CT Lee Amphitheater",42.24,,
138 Stephen F. Austin at  185 Fresno St.,Stephen F. Austin 75-74 (52%) [71],9:00 pm,"Fresno, CA Save Mart Center",39.65,,
123 Towson at  196 James Madison,Towson 70-69 (55%) [66],7:00 pm ESPN+,"Harrisonburg, VA Atlantic Union Bank Center",38.86,,
166 New Orleans at  237 Pepperdine,New Orleans 76-75 (53%) [72],9:00 pm ESPN+,"Malibu, CA Firestone Fieldhouse",36.07,,
160 Vermont at  250 Buffalo,Vermont 75-74 (53%) [67],6:30 pm ESPN+,"Buffalo, NY Alumni Arena",35.38,,
157 UT Arlington at  269 Evansville,UT Arlington 72-71 (53%) [71],8:00 pm ESPN+,"Evansville, IN Ford Center",34.29,,
163 East Carolina at  130 UNC Wilmington,UNC Wilmington 78-72 (70%) [70],7:00 pm FloSports,"Wilmington, NC Trask Coliseum",34.11,,
203 Abilene Christian at  220 Texas St.,Texas St. 71-70 (55%) [69],8:00 pm ESPN+,"San Marcos, TX Strahan Coliseum",34.011,,
224 Princeton at  194 Iona,Iona 81-76 (65%) [74],7:00 pm ESPN+,"New Rochelle, NY Hynes Athletics Center",32.712,,
253 Eastern Michigan at  311 Detroit Mercy,Eastern Michigan 78-77 (52%) [73],7:00 pm ESPN+,"Detroit, MI Calihan Hall",32.113,,
319 IU Indy at  320 Charleston Southern,Charleston Southern 86-84 (57%) [78],7:00 pm ESPN+,"Charleston, SC Buccaneer Fieldhouse",31.314,,
334 North Carolina A&T at  358 Morgan St.,North Carolina A&T 80-79 (52%) [75],7:00 pm ESPN+,"Baltimore, MD Hill Field House",30.015,,
271 Boston University at  201 Columbia,Columbia 77-72 (67%) [67],7:00 pm ESPN+,"New York, NY Levien Gymnasium",29.616,,
222 Eastern Kentucky at  124 Kent St.,Kent St. 87-78 (78%) [73],7:00 pm ESPN+,"Kent, OH Memorial Athletic & Convocatio",28.617,,
