Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
122 Illinois St. at  163 Ohio,Illinois St. 80-79 (50%) [72],7:00 pm ESPN+,"Athens, OH Convocation Center",43.01,,
199 Nebraska Omaha at  179 Abilene Christian,Abilene Christian 78-75 (63%) [75],8:00 pm ESPN+,"Abilene, TX Moody Coliseum",34.22,,
160 CSUN at  116 Northern Iowa,Northern Iowa 80-73 (74%) [74],8:00 pm ESPN+,"Cedar Falls, IA McLeod Center",33.63,,
276 UC Riverside at  313 North Dakota,North Dakota 77-76 (51%) [72],8:00 pm,"Grand Forks, ND Betty Engelstad Sioux Center",31.54,,
292 LIU at  345 IU Indy,LIU 78-77 (55%) [73],6:30 pm ESPN+,"Indianapolis, IN The Jungle",30.55,,
312 Central Connecticut at  234 Quinnipiac,Quinnipiac 78-72 (73%) [74],7:00 pm ESPN+,"Hamden, CT M&T Bank Arena",25.16,,
241 Robert Morris at  124 Drake,Drake 81-71 (82%) [72],7:30 pm ESPN+,"Des Moines, IA Knapp Center",23.37,,
192 Bethune Cookman at  74 Miami FL,Miami FL 83-70 (89%) [73],7:00 pm ACC Network Extra,"Coral Gables, FL Watsco Center",22.78,,
194 Wright St. at  82 California,California 83-70 (88%) [73],10:00 pm ACC Network Extra,"Berkeley, CA Haas Pavilion",22.69,,
335 Alcorn St. at  169 South Alabama,South Alabama 78-67 (84%) [69],8:00 pm ESPN+,"Mobile, AL Mitchell Center",18.01,,
213 Campbell at  68 West Virginia,West Virginia 79-63 (93%) [68],7:00 pm ESPN+,"Morgantown, WV Hope Coliseum",16.111,,
278 Northwestern St. at  91 North Texas,North Texas 78-63 (91%) [69],8:00 pm ESPN+,"Denton, TX The Super Pit",15.912,,
364 Arkansas Pine Bluff at  263 Portland,Portland 86-73 (88%) [75],10:30 pm ESPN+,"Portland, OR Chiles Center",14.713,,
262 Texas A&M Corpus Chris at  44 SMU,SMU 89-67 (97%) [73],8:00 pm ACC Network Extra,"Dallas, TX Moody Coliseum",13.114,,
266 Jackson St. at  11 Louisville,Louisville 95-67 (99%) [75],7:00 pm ACC Network Extra,"Louisville, KY KFC Yum! Center",12.115,,
330 The Citadel at  99 Boston College,Boston College 82-64 (95%) [70],7:00 pm ACC Network Extra,"Chestnut Hill, MA Conte Forum",11.516,,
280 Merrimack at  42 Auburn,Auburn 83-61 (98%) [70],8:00 pm SEC Network Plus,"Auburn, AL Neville Arena",11.417,,
309 Texas Southern at  33 Texas A&M,Texas A&M 91-65 (99%) [75],8:00 pm SEC Network Plus,"College Station, TX Reed Arena",10.518,,
342 Le Moyne at  70 Xavier,Xavier 90-67 (98%) [74],7:00 pm ESPN+,"Cincinnati, OH Cintas Center",9.519,,
343 North Florida at  4 Florida,Florida 101-66 (99.9%) [76],8:00 pm SEC Network Plus,"Gainesville, FL O'Connell Center",9.42,,
336 Denver at  43 Washington,Washington 91-65 (99%) [73],10:00 pm Big Ten Network,"Seattle, WA Alaska Airlines Arena",9.421,,
303 Grambling St. at  12 Iowa St.,Iowa St. 85-56 (99.6%) [72],8:00 pm ESPN+,"Ames, IA Hilton Coliseum",9.322,,
360 Mercyhurst at  110 Loyola Chicago,Loyola Chicago 83-63 (97%) [70],9:00 pm ESPN+,"Chicago, IL Gentile Arena",8.923,,
348 Saint Francis at  92 TCU,TCU 85-63 (98%) [72],8:00 pm TNT,"Fort Worth, TX Schollmaier Arena",8.624,,
362 Chicago St. at  64 Saint Louis,Saint Louis 91-62 (99.5%) [73],8:00 pm ESPN+,"St. Louis, MO Chaifetz Arena",7.325,,
