Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
9 Arizona at  6 Connecticut,Connecticut 83-78 (68%) [72],7:00 pm FOX Sports 1,"Storrs, CT Gampel Pavilion",79.61,,
21 Alabama vs.  5 Illinois,Illinois 90-84 (72%) [77],9:00 pm FOX Sports 1,"Chicago, IL United Center",77.22,,
74 Dayton at  59 Marquette,Marquette 80-75 (68%) [72],7:30 pm truTV,"Milwaukee, WI Fiserv Forum",58.43,,
77 South Florida at  54 Oklahoma St.,Oklahoma St. 88-81 (73%) [78],8:00 pm ESPN+,"Stillwater, OK Gallagher-Iba Arena",55.24,,
126 Wyoming at  171 Sam Houston St.,Wyoming 78-77 (52%) [72],7:30 pm ESPN+,"Huntsville, TX Johnson Coliseum",41.95,,
140 Youngstown St. at  192 Toledo,Youngstown St. 82-81 (52%) [71],7:00 pm ESPN+,"Toledo, OH Savage Arena",40.76,,
134 UC Irvine at  128 Utah Valley,Utah Valley 76-72 (64%) [73],8:00 pm ESPN+,"Orem, UT UCCU Center",40.57,,
176 Florida Gulf Coast at  186 Samford,Samford 79-77 (59%) [68],7:00 pm ESPN+,"Birmingham, AL Pete Hanna Center",36.68,,
148 Hofstra at  123 Temple,Temple 78-73 (70%) [70],7:00 pm ESPN+,"Philadelphia, PA Liacouras Center",36.69,,
191 Campbell at  242 Weber St.,Weber St. 78-77 (53%) [72],10:00 pm ESPN+,"Ogden, UT Dee Events Center",35.41,,
177 Louisiana Tech at  199 Indiana St.,Indiana St. 75-72 (60%) [71],7:00 pm ESPN+,"Terre Haute, IN Hulman Center",34.911,,
227 UNC Asheville at  228 Western Carolina,Western Carolina 78-75 (60%) [73],7:30 pm ESPN+,"Cullowhee, NC Ramsey Center",32.912,,
213 Bethune Cookman at  182 Ohio,Ohio 82-77 (67%) [72],7:00 pm ESPN+,"Athens, OH Convocation Center",32.713,,
203 South Alabama at  151 Jacksonville St.,Jacksonville St. 71-67 (67%) [66],7:00 pm ESPN+,"Jacksonville, AL Pete Mathews Coliseum",32.314,,
43 Villanova at  219 La Salle,Villanova 79-68 (84%) [67],7:00 pm CBS Sports Network,"Philadelphia, PA Glaser Arena",32.015,,
259 Valparaiso at  253 Cleveland St.,Cleveland St. 81-77 (62%) [72],7:00 pm ESPN+,"Cleveland, OH Wolstein Center",31.616,,
274 Alabama St. at  325 Air Force,Air Force 72-71 (51%) [68],6:00 pm,"Colorado Springs, CO Clune Arena",30.117,,
313 Howard at  351 Stetson,Howard 77-76 (57%) [71],7:00 pm ESPN+,"DeLand, FL Edmunds Center",29.318,,
215 William & Mary at  125 Bowling Green,Bowling Green 87-78 (78%) [77],7:00 pm ESPN+,"Bowling Green, OH Stroh Center",28.819,,
298 Maine at  272 Merrimack,Merrimack 69-65 (63%) [67],7:30 pm ESPN+,"North Andover, MA Lawler Arena",27.92,,
330 Tennessee Tech at  312 USC Upstate,USC Upstate 75-72 (63%) [71],7:00 pm ESPN+,"Spartanburg, SC Hodge Center",27.621,,
173 Harvard at  84 Penn St.,Penn St. 78-66 (86%) [67],6:30 pm BTN Plus,"University Park, PA Bryce Jordan Center",24.722,,
197 Chattanooga at  350 South Carolina St.,Chattanooga 82-75 (75%) [72],7:00 pm,"Orangeburg, SC Smith-Hammond-Middleton Center",24.423,,
341 North Florida at  226 Wofford,Wofford 85-76 (80%) [72],7:00 pm ESPN+,"Spartanburg, SC Richardson Indoor Stadium",21.224,,
