Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
308 Southern Utah at  168 Washington St.,Washington St. 85-75 (83%) [72],11:00 pm ESPN+,"Pullman, WA Beasley Coliseum",20.525,,
277 VMI at  121 Richmond,Richmond 83-71 (86%) [71],7:00 pm ESPN+,"Richmond, VA Robins Center",20.226,,
164 Arkansas St. at  24 Saint Mary's,Saint Mary's 84-66 (96%) [70],10:00 pm ESPN+,"Moraga, CA University Credit Union Pavili",19.527,,
149 Middle Tennessee at  14 Michigan,Michigan 87-66 (97%) [73],6:30 pm Big Ten Network,"Ann Arbor, MI Crisler Center",19.328,,
265 Lipscomb at  103 Belmont,Belmont 83-70 (88%) [71],8:30 pm ESPN+,"Nashville, TN Curb Event Center",19.129,,
297 Loyola MD at  113 Duquesne,Duquesne 81-68 (90%) [70],7:00 pm ESPN+,"Pittsburgh, PA UPMC Cooper Fieldhouse",16.43,,
282 UMBC at  66 George Washington,George Washington 91-72 (96%) [73],7:00 pm ESPN+,"Washington, DC Charles E. Smith Center",13.831,,
339 UMass Lowell at  131 Bradley,Bradley 85-69 (93%) [71],8:00 pm ESPN+,"Peoria, IL Carver Arena",12.432,,
268 Mount St. Mary's at  49 Maryland,Maryland 80-60 (97%) [69],7:00 pm BTN Plus,"College Park, MD Xfinity Center",12.233,,
292 Jackson St. at  29 Auburn,Auburn 90-64 (99%) [72],9:00 pm SEC Network,"Auburn, AL Neville Arena",10.534,,
317 North Dakota at  47 Creighton,Creighton 90-67 (98%) [70],8:00 pm ESPN+,"Omaha, NE CHI Health Center Omaha",10.235,,
331 Bellarmine at  60 Notre Dame,Notre Dame 87-65 (98%) [68],7:00 pm ACC Network Extra,"South Bend, IN Purcell Pavilion",10.236,,
324 Kansas City at  86 TCU,TCU 85-64 (97%) [71],8:00 pm ESPN+,"Fort Worth, TX Schollmaier Arena",9.837,,
326 Bryant at  55 Virginia Tech,Virginia Tech 88-65 (98%) [71],7:00 pm ACC Network Extra,"Blacksburg, VA Cassell Coliseum",9.738,,
NR Ohio Christian at  187 Furman,,6:30 pm ESPN+,"Greenville, SC Timmons Arena",0.039,,
NR William Carey at  244 Southeastern Louisiana,,7:00 pm ESPN+,"Hammond, LA Pride Roofing University Cente",0.039,,
NR City College of New Yo at  235 Quinnipiac,,7:00 pm ESPN+,"Hamden, CT M&T Bank Arena",0.039,,
NR St. Thomas TX at  206 UTEP,,9:00 pm ESPN+,"El Paso, TX Don Haskins Center",0.039,,
NR Nobel at  254 Long Beach St.,,10:00 pm ESPN+,"Long Beach, CA Walter Pyramid",0.039,,
NR Evergreen St. at  155 Portland St.,,10:00 pm ESPN+,"Portland, OR The Viking Pavilion",0.039,,
NR Tiffin at  316 Eastern Illinois,,8:00 pm ESPN+,"Charleston, IL Groniger Arena",0.039,,
NR Concordia NE at  222 Nebraska Omaha,,8:00 pm,"Omaha, NE Baxter Arena",0.039,,
NR North Greenville at  349 The Citadel,,7:00 pm ESPN+,"Charleston, SC McAlister Field House",0.039,,
NR Jamestown at  165 North Dakota St.,,8:00 pm,"Fargo, ND Scheels Center",0.039,,
NR Misericordia at  340 Binghamton,,6:07 pm ESPN+,"Vestal, NY Lee Court",0.039,,
NR Dallas Christian at  334 East Texas A&M,,7:30 pm ESPN+,"Commerce, TX East Texas A&M Field House",0.039,,
