Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
27 Clemson vs.  38 Georgia,Clemson 79-78 (56%) [71],3:30 pm ESPN,"Charleston, SC TD Arena",77.31,,
35 Virginia vs.  55 Butler,Virginia 80-78 (60%) [71],2:00 pm CBS Sports Network,"White Sulphur Springs, WV Greenbrier Colonial Hall",71.22,,
90 South Carolina vs.  46 Northwestern,Northwestern 76-71 (68%) [68],5:00 pm CBS Sports Network,"White Sulphur Springs, WV Greenbrier Colonial Hall",57.83,,
53 George Washington vs.  96 McNeese,George Washington 81-76 (68%) [72],5:00 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",56.54,,
62 West Virginia vs.  97 Xavier,West Virginia 73-68 (65%) [68],1:00 pm ESPN,"Charleston, SC TD Arena",55.55,,
39 Utah St. vs.  110 Davidson,Utah St. 79-71 (77%) [69],9:00 pm ESPN2,"Charleston, SC TD Arena",48.16,,
150 Middle Tennessee vs.  112 Murray St.,Murray St. 83-78 (66%) [74],7:30 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",42.27,,
157 Tulane vs.  115 Boston College,Boston College 72-68 (65%) [66],6:30 pm ESPN2,"Charleston, SC TD Arena",39.58,,
87 Yale vs.  168 Charleston,Yale 81-74 (76%) [67],5:30 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",36.59,,
180 Queens at  182 Furman,Furman 79-76 (60%) [70],5:00 pm ESPN+,"Greenville, SC Timmons Arena",36.41,,
214 Delaware vs.  130 Southern Illinois,Southern Illinois 82-78 (67%) [72],3:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",35.611,,
249 Alabama St. vs.  226 SIUE,SIUE 70-69 (54%) [70],1:00 pm,"Colorado Springs, CO Clune Arena",32.912,,
162 St. Thomas at  282 Portland,St. Thomas 79-75 (64%) [72],4:00 pm ESPN+,"Portland, OR Chiles Center",32.713,,
244 Mount St. Mary's at  274 Western Michigan,Western Michigan 75-74 (54%) [71],3:00 pm ESPN+,"Kalamazoo, MI University Arena",32.514,,
216 Robert Morris at  207 Monmouth,Monmouth 76-72 (63%) [70],3:00 pm FloSports,"West Long Branch, NJ OceanFirst Bank Center",32.515,,
220 Old Dominion at  280 Drexel,Drexel 72-71 (52%) [67],2:00 pm FloSports,"Philadelphia, PA Daskalakis Athletic Center",32.516,,
240 Longwood at  166 Columbia,Columbia 77-72 (67%) [70],2:00 pm ESPN+,"New York, NY Levien Gymnasium",31.617,,
205 Lamar at  142 Montana,Montana 79-73 (72%) [70],4:00 pm ESPN+,"Missoula, MT Dahlberg Arena",31.218,,
159 Youngstown St. vs.  286 UNC Greensboro,Youngstown St. 81-76 (70%) [71],5:30 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",29.719,,
301 North Dakota at  346 Western Illinois,North Dakota 74-73 (53%) [67],7:00 pm ESPN+,"Macomb, IL Western Hall",29.42,,
281 Brown at  307 Maine,Maine 66-65 (54%) [66],2:00 pm ESPN+,"Orono, ME Memorial Gym",29.221,,
338 Binghamton at  352 Canisius,Canisius 71-70 (52%) [66],1:00 pm ESPN+,"Buffalo, NY Koessler Athletic Center",28.322,,
211 Coastal Carolina at  133 Illinois St.,Illinois St. 77-69 (76%) [68],5:00 pm ESPN+,"Normal, IL CEFCU Arena",27.723,,
339 IU Indy at  305 Air Force,Air Force 84-78 (71%) [74],5:00 pm,"Colorado Springs, CO Clune Arena",25.424,,
199 Eastern Washington at  347 Central Arkansas,Eastern Washington 81-74 (73%) [72],2:00 pm ESPN+,"Conway, AR Farris Center",25.125,,
119 Winthrop at  315 Jackson St.,Winthrop 86-76 (82%) [75],8:00 pm,"Jackson, MS Williams Athletics & Assembly",23.726,,
253 Norfolk St. at  132 Wyoming,Wyoming 73-64 (81%) [68],4:00 pm,"Laramie, WY Arena-Auditorium",22.427,,
71 Akron vs.  263 Evansville,Akron 86-71 (91%) [72],8:00 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",20.728,,
177 Northern Colorado vs.  342 Cal St. Fullerton,Northern Colorado 86-76 (83%) [76],2:00 pm ESPN+,"Portland, OR Chiles Center",20.029,,
356 South Carolina St. at  284 South Dakota,South Dakota 85-75 (82%) [76],2:00 pm,"Vermillion, SD Sanford Coyote Sports Center",18.93,,
228 Quinnipiac at  78 Pittsburgh,Pittsburgh 79-65 (91%) [70],5:00 pm ACC Network Extra,"Pittsburgh, PA Petersen Events Center",18.531,,
