Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
316 Mercyhurst at  145 Marshall,Marshall 80-68 (87%) [70],7:00 pm ESPN+,"Huntington, WV Cam Henderson Center",17.132,,
298 West Georgia at  95 Georgia Tech,Georgia Tech 80-64 (93%) [72],2:00 pm ACC Network Extra,"Atlanta, GA McCamish Pavilion",13.833,,
322 Detroit Mercy at  113 DePaul,DePaul 83-67 (93%) [73],6:00 pm ESPN+,"Chicago, IL Wintrust Arena",12.734,,
355 Louisiana Monroe at  139 East Tennessee St.,East Tennessee St. 84-67 (93%) [71],4:00 pm ESPN+,"Johnson City, TN Freedom Hall Civic Center",11.635,,
341 Alcorn St. at  63 Oklahoma,Oklahoma 92-68 (99%) [70],2:00 pm SEC Network Plus,"Norman, OK Lloyd Noble Center",9.036,,
320 Howard at  1 Duke,Duke 92-58 (99.9%) [69],4:00 pm ACC Network,"Durham, NC Cameron Indoor Stadium",8.937,,
318 Bryant at  8 Connecticut,Connecticut 88-57 (99.7%) [68],6:00 pm truTV,"Hartford, CT PeoplesBank Arena",8.538,,
363 Arkansas Pine Bluff at  126 Miami OH,Miami OH 91-69 (98%) [74],1:00 pm ESPN+,"Oxford, OH Millett Hall",8.539,,
361 Delaware St. at  54 Miami FL,Miami FL 88-60 (99%) [71],1:00 pm ACC Network Extra,"Coral Gables, FL Watsco Center",7.44,,
NR Shaw at  179 Charlotte,,2:00 pm ESPN+,"Charlotte, NC Halton Arena",0.041,,
