Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
1 Kentucky at  12 Louisville,Louisville 84-83 (51%) [76],8:00 pm ESPN,"Louisville, KY KFC Yum! Center",89.21,,
14 Texas Tech at  3 Illinois,Illinois 85-79 (72%) [73],8:30 pm FOX Sports 1,"Champaign, IL State Farm Center",76.02,,
55 Memphis at  26 Mississippi,Mississippi 81-73 (75%) [74],9:00 pm SEC Network,"Oxford, MS The Pavilion at Ole Miss",60.73,,
60 Dayton at  43 Cincinnati,Cincinnati 74-68 (70%) [70],7:00 pm ESPN+,"Cincinnati, OH Fifth Third Arena",58.64,,
45 Creighton at  8 Gonzaga,Gonzaga 86-76 (83%) [73],10:00 pm ESPN,"Spokane, WA McCarthey Athletic Center",57.75,,
66 Wake Forest vs.  10 Michigan,Michigan 86-75 (84%) [76],6:30 pm FOX Sports 1,"Detroit, MI Little Caesars Arena",53.26,,
131 Loyola Marymount at  154 UTEP,UTEP 73-72 (56%) [71],9:00 pm ESPN+,"El Paso, TX Don Haskins Center",40.57,,
130 Davidson at  172 Charlotte,Charlotte 75-74 (53%) [68],7:00 pm ESPN+,"Charlotte, NC Halton Arena",40.38,,
78 Florida St. at  6 Florida,Florida 92-75 (93%) [76],7:00 pm SEC Network,"Gainesville, FL O'Connell Center",38.19,,
167 Stephen F. Austin at  147 Rice,Rice 75-71 (63%) [71],8:00 pm ESPN+,"Houston, TX Tudor Fieldhouse",36.31,,
189 CSUN at  233 North Dakota St.,North Dakota St. 79-78 (53%) [73],8:00 pm,"Fargo, ND Scheels Center",35.811,,
157 La Salle at  135 Temple,Temple 77-72 (68%) [70],7:00 pm ESPN+,"Philadelphia, PA Liacouras Center",35.712,,
113 Tulane at  235 Louisiana,Tulane 77-72 (68%) [68],8:00 pm ESPN+,"Lafayette, LA Cajundome",35.713,,
171 Arkansas St. at  176 Missouri St.,Missouri St. 76-73 (61%) [71],8:00 pm ESPN+,"Springfield, MO Great Southern Bank Arena",35.614,,
80 Yale at  197 Quinnipiac,Yale 83-75 (78%) [75],7:30 pm ESPN+,"Hamden, CT M&T Bank Arena",35.115,,
141 Winthrop at  276 Coastal Carolina,Winthrop 82-78 (63%) [73],7:00 pm ESPN+,"Conway, SC HTC Center",34.716,,
208 Northeastern at  164 Harvard,Harvard 76-72 (65%) [70],7:00 pm ESPN+,"Boston, MA Lavietes Pavilion",33.217,,
218 Toledo at  182 Wright St.,Wright St. 82-78 (66%) [71],7:00 pm ESPN+,"Dayton, OH Nutter Center",33.018,,
243 Bucknell at  247 Princeton,Princeton 75-73 (57%) [70],7:00 pm ESPN+,"Princeton, NJ Jadwin Gymnasium",32.619,,
118 UC Santa Barbara at  274 Sacramento St.,UC Santa Barbara 78-73 (70%) [69],10:00 pm ESPN+,"Sacramento, CA Hornet Pavilion",32.62,,
257 Lipscomb at  244 UNC Asheville,UNC Asheville 79-76 (63%) [71],6:30 pm ESPN+,"Asheville, NC Kimmel Arena",31.521,,
240 Drexel at  199 Colgate,Colgate 73-69 (64%) [69],7:00 pm ESPN+,"Hamilton, NY Cotterell Court",31.322,,
252 Georgia Southern at  202 Florida Gulf Coast,Florida Gulf Coast 83-78 (67%) [74],7:00 pm ESPN+,"Fort Myers, FL Alico Arena",31.123,,
206 Iona at  325 Kansas City,Iona 79-76 (61%) [72],1:00 pm,"Kansas City, MO Swinney Recreation Center",30.824,,
123 Murray St. at  50 SMU,SMU 85-72 (88%) [74],8:00 pm ACC Network Extra,"Dallas, TX Moody Coliseum",30.825,,
248 Norfolk St. at  205 Old Dominion,Old Dominion 78-74 (67%) [71],7:00 pm ESPN+,"Norfolk, VA Chartway Arena",30.226,,
282 LIU at  312 Air Force,Air Force 72-70 (55%) [70],4:00 pm,"Colorado Springs, CO Clune Arena",29.827,,
220 Austin Peay at  159 Wyoming,Wyoming 77-71 (72%) [72],8:30 pm,"Laramie, WY Arena-Auditorium",29.528,,
264 UMBC at  356 Morgan St.,UMBC 83-79 (66%) [75],6:00 pm,"Baltimore, MD Hill Field House",28.229,,
290 Merrimack at  279 Tarleton St.,Tarleton St. 73-69 (64%) [69],8:00 pm ESPN+,"Stephenville, TX EECU Center",28.13,,
280 Mount St. Mary's at  354 Saint Francis,Mount St. Mary's 75-72 (63%) [72],7:00 pm,"Loretto, PA DeGol Arena",27.831,,
196 Montana at  109 UNLV,UNLV 84-74 (82%) [72],10:00 pm,"Las Vegas, NV Thomas & Mack Center",27.132,,
300 Northwestern St. at  232 North Alabama,North Alabama 77-71 (71%) [70],7:00 pm ESPN+,"Florence, AL CB&S Bank Arena",26.133,,
214 William & Mary at  114 Richmond,Richmond 85-75 (82%) [74],7:00 pm ESPN+,"Richmond, VA Robins Center",26.034,,
323 Western Illinois at  266 Cal St. Bakersfield,Cal St. Bakersfield 76-69 (73%) [69],9:30 pm ESPN+,"Bakersfield, CA Icardo Center",24.235,,
226 Queens at  106 Duquesne,Duquesne 83-72 (84%) [72],8:00 pm ESPN+,"Pittsburgh, PA UPMC Cooper Fieldhouse",24.136,,
349 NJIT at  298 Loyola MD,Loyola MD 73-67 (71%) [70],7:00 pm ESPN+,"Baltimore, MD Reitz Arena",23.537,,
181 Navy at  87 Penn St.,Penn St. 82-69 (87%) [72],6:30 pm Big Ten Network,"University Park, PA Bryce Jordan Center",23.438,,
160 Ohio at  44 Saint Mary's,Saint Mary's 82-66 (92%) [69],10:00 pm ESPN+,"Moraga, CA University Credit Union Pavili",22.339,,
169 UT Rio Grande Valley at  46 Boise St.,Boise St. 90-73 (94%) [74],9:00 pm,"Boise, ID ExtraMile Arena",20.64,,
348 Wagner at  258 Fordham,Fordham 76-68 (78%) [69],7:00 pm ESPN+,"New York, NY Rose Hill Gym",20.541,,
150 Radford at  23 North Carolina,North Carolina 90-70 (96%) [71],7:00 pm ACC Network,"Chapel Hill, NC Dean E. Smith Center",20.342,,
239 Jacksonville at  86 High Point,High Point 83-69 (90%) [72],7:00 pm ESPN+,"High Point, NC Qubein Center",19.543,,
222 Hampton at  54 Virginia,Virginia 83-66 (94%) [69],9:00 pm ACC Network,"Charlottesville, VA John Paul Jones Arena",16.644,,
311 Stonehill at  124 Rhode Island,Rhode Island 81-68 (88%) [72],7:00 pm ESPN+,"Kingston, RI Ryan Center",16.545,,
221 Appalachian St. at  34 Ohio St.,Ohio St. 86-66 (97%) [70],6:30 pm BTN Plus,"Columbus, OH Value City Arena",15.046,,
267 UC Riverside at  96 New Mexico,New Mexico 80-64 (93%) [72],9:00 pm,"Albuquerque, NM The Pit",14.847,,
228 Ball St. at  18 Wisconsin,Wisconsin 89-66 (98%) [70],8:30 pm Big Ten Network,"Madison, WI Kohl Center",14.748,,
224 Wofford at  36 Auburn,Auburn 86-66 (97%) [70],8:00 pm SEC Network Plus,"Auburn, AL Neville Arena",14.549,,
302 Alabama St. at  105 UAB,UAB 89-72 (93%) [75],7:30 pm ESPN+,"Birmingham, AL Bartow Arena",14.45,,
249 Sacred Heart at  48 Villanova,Villanova 89-69 (97%) [72],7:00 pm ESPN+,"Villanova, PA Finneran Pavilion",14.051,,
281 Penn at  70 Providence,Providence 94-74 (96%) [76],7:00 pm ESPN+,"Providence, RI Amica Mutual Pavilion",13.852,,
308 Buffalo at  93 DePaul,DePaul 86-69 (95%) [72],8:00 pm ESPN+,"Chicago, IL Wintrust Arena",13.053,,
236 Delaware at  16 BYU,BYU 93-67 (99%) [73],9:00 pm CBS Sports Network,"Provo, UT Marriott Center",12.954,,
275 Northern Arizona at  11 Arizona,Arizona 95-66 (99.5%) [74],9:00 pm ESPN+,"Tucson, AZ McKale Memorial Center",11.755,,
4 Duke at  341 Army,Duke 90-61 (99%) [70],7:00 pm CBS Sports Network,"West Point, NY Christl Arena",11.656,,
262 Texas A&M Corpus Chris at  28 Kansas,Kansas 86-62 (99%) [71],8:00 pm ESPN+,"Lawrence, KS Allen Fieldhouse",11.657,,
309 Eastern Illinois at  71 Notre Dame,Notre Dame 81-61 (96%) [69],7:30 pm ACC Network Extra,"South Bend, IN Purcell Pavilion",11.458,,
284 Morehead St. at  24 Clemson,Clemson 86-61 (99%) [70],7:00 pm ACC Network Extra,"Clemson, SC Littlejohn Coliseum",10.559,,
334 Central Connecticut at  94 Boston College,Boston College 78-59 (96%) [69],7:00 pm ACC Network Extra,"Chestnut Hill, MA Conte Forum",10.36,,
353 Florida A&M at  82 UCF,UCF 92-68 (99%) [75],7:00 pm ESPN+,"Orlando, FL Addition Financial Arena",8.961,,
338 Alcorn St. at  52 Maryland,Maryland 85-61 (99%) [71],7:00 pm BTN Plus,"College Park, MD Xfinity Center",8.662,,
344 Central Arkansas at  27 Arkansas,Arkansas 94-63 (99.7%) [74],8:00 pm SEC Network Plus,"Fayetteville, AR Bud Walton Arena",8.363,,
361 Chicago St. at  69 Butler,Butler 94-66 (99%) [75],7:00 pm ESPN+,"Indianapolis, IN Hinkle Fieldhouse",8.064,,
358 Maryland Eastern Shore at  42 Nebraska,Nebraska 86-58 (99%) [70],8:00 pm BTN Plus,"Lincoln, NE Pinnacle Bank Arena",7.665,,
364 Arkansas Pine Bluff at  57 Oklahoma,Oklahoma 96-64 (99.8%) [75],8:00 pm SEC Network Plus,"Norman, OK McCasland Field House",7.366,,
NR St. Joseph's NY Long I at  260 Stony Brook,,6:31 pm FloSports,"Stony Brook, NY Island Federal Credit Union Ar",0.067,,
NR Catawba at  88 George Mason,,7:00 pm ESPN+,"Fairfax, VA EagleBank Arena",0.067,,
NR Wilson at  132 Towson,,7:30 pm FloSports,"Towson, MD SECU Arena",0.067,,
NR IU Columbus at  343 IU Indy,,box  ESPN+,"Indianapolis, IN Corteva Coliseum",0.067,,
NR SUNY Delhi at  295 Albany,,6:30 pm ESPN+,"Albany, NY Broadview Center",0.067,,
NR Bethesda at  305 Southern Utah,,8:30 pm,"Cedar City, UT America First Event Center",0.067,,
NR Coastal Georgia at  227 Bethune Cookman,,6:00 pm,"Daytona Beach, FL Moore Gymnasium",0.067,,
NR Southwestern Adventist at  184 Abilene Christian,,4:00 pm ESPN+,"Abilene, TX Moody Coliseum",0.067,,
NR Mayville St. at  324 North Dakota,,8:00 pm,"Grand Forks, ND Betty Engelstad Sioux Center",0.067,,
NR St. Francis IL at  127 Illinois Chicago,,8:00 pm ESPN+,"Chicago, IL Credit Union 1 Arena",0.067,,
NR Southwestern Christian at  215 Incarnate Word,,6:00 pm ESPN+,"San Antonio, TX McDermott Convocation Center",0.067,,
NR Pensacola Christian at  116 Troy,,7:00 pm ESPN+,"Troy, AL Trojan Arena",0.067,,
NR Cleary at  317 Detroit Mercy,,7:00 pm ESPN+,"Detroit, MI Calihan Hall",0.067,,
NR Lincoln CA at  216 Pepperdine,,9:00 pm ESPN+,"Malibu, CA Firestone Fieldhouse",0.067,,
NR Oakwood at  230 Tennessee St.,,8:00 pm ESPN+,"Nashville, TN Gentry Center",0.067,,
NR New Mexico Highlands at  143 New Mexico St.,,9:30 pm ESPN+,"Las Cruces, NM Pan American Center",0.067,,
