Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
28 Mississippi St. vs.  12 Iowa St.,Iowa St. 76-73 (61%) [72],8:00 pm ESPNU,"Sioux Falls, SD Sanford Pentagon",79.71,,
99 Santa Clara at  91 Xavier,Xavier 80-76 (65%) [73],8:30 pm FOX Sports 1,"Cincinnati, OH Cintas Center",51.52,,
121 UNC Wilmington at  134 Kent St.,Kent St. 82-80 (55%) [72],7:00 pm ESPN+,"Kent, OH Memorial Athletic & Convocatio",45.53,,
162 Western Kentucky at  189 Eastern Kentucky,Eastern Kentucky 81-79 (56%) [75],7:00 pm ESPN+,"Richmond, KY Baptist Health Arena",38.14,,
149 Little Rock at  239 Milwaukee,Little Rock 79-78 (53%) [74],8:00 pm ESPN+,"Milwaukee, WI UW-Milwaukee Panther Arena",37.65,,
190 St. Thomas at  174 Washington St.,Washington St. 82-78 (64%) [72],9:30 pm ESPN+,"Pullman, WA Beasley Coliseum",34.86,,
222 Indiana St. at  168 SIUE,SIUE 79-74 (69%) [73],7:00 pm ESPN+,"Edwardsville, IL First Community Arena",31.47,,
330 South Carolina St. at  348 North Carolina A&T,North Carolina A&T 78-77 (54%) [75],7:00 pm FloSports,"Greensboro, NC Corbett Sports Center",29.88,,
328 Charleston Southern at  342 The Citadel,The Citadel 74-73 (55%) [71],7:00 pm ESPN+,"Charleston, SC McAlister Field House",29.29,,
303 Presbyterian at  304 Georgia St.,Georgia St. 72-69 (60%) [69],7:00 pm ESPN+,"Atlanta, GA GSU Convocation Center",28.91,,
358 Delaware St. at  323 Niagara,Niagara 75-69 (70%) [70],6:30 pm ESPN+,"Niagara, NY Gallagher Center",24.311,,
258 Fairfield at  97 Seton Hall,Seton Hall 76-63 (89%) [69],7:00 pm ESPN+,"South Orange, NJ Walsh Gymnasium",17.912,,
219 Lamar at  88 TCU,TCU 81-66 (91%) [72],8:00 pm ESPN+,"Fort Worth, TX Schollmaier Arena",17.313,,
223 Eastern Michigan at  59 Pittsburgh,Pittsburgh 81-64 (93%) [69],7:00 pm ACC Network Extra,"Pittsburgh, PA Petersen Events Center",17.014,,
364 New Haven at  300 UMass Lowell,UMass Lowell 80-69 (84%) [71],6:00 pm ESPN+,"Lowell, MA Kennedy Family Athletic Comple",16.715,,
238 Cleveland St. at  51 Northwestern,Northwestern 83-66 (94%) [69],8:30 pm Big Ten Network,"Evanston, IL Welsh-Ryan Arena",16.416,,
280 Southeastern Louisiana at  89 Georgia Tech,Georgia Tech 76-61 (92%) [69],9:00 pm ACC Network,"Atlanta, GA McCamish Pavilion",15.317,,
290 Northern Illinois at  101 Grand Canyon,Grand Canyon 90-73 (93%) [74],9:00 pm,"Phoenix, AZ Global Credit Union Arena",14.818,,
243 New Orleans at  47 LSU,LSU 87-68 (96%) [73],8:00 pm SEC Network Plus,"Baton Rouge, LA Maravich Assembly Center",14.719,,
212 Columbia at  6 Connecticut,Connecticut 89-62 (99%) [70],6:30 pm FOX Sports 1,"Storrs, CT Gampel Pavilion",12.82,,
301 Maine at  76 Rutgers,Rutgers 77-58 (96%) [70],6:30 pm Big Ten Network,"Piscataway, NJ Jersey Mike's Arena",11.121,,
329 Cal St. Fullerton at  82 California,California 86-66 (97%) [74],10:00 pm ACC Network Extra,"Berkeley, CA Haas Pavilion",10.722,,
332 Lindenwood at  68 Saint Louis,Saint Louis 91-67 (99%) [76],8:00 pm ESPN+,"St. Louis, MO Chaifetz Arena",9.623,,
344 Holy Cross at  98 Utah,Utah 89-68 (97%) [73],9:00 pm ESPN+,"Salt Lake City, UT Huntsman Center",9.524,,
325 West Georgia at  30 UCLA,UCLA 87-60 (99%) [69],10:00 pm BTN Plus,"Los Angeles, CA Pauley Pavilion",9.125,,
357 Stetson at  63 Miami FL,Miami FL 90-65 (99%) [72],7:00 pm ACC Network,"Coral Gables, FL Watsco Center",8.526,,
NR Rust at  353 Louisiana Monroe,,7:30 pm ESPN+,"Monroe, LA Fant-Ewing Coliseum",0.027,,
NR Biblical Studies at  110 McNeese,,7:30 pm ESPN+,"Lake Charles, LA Townsley Law Arena",0.027,,
NR North Greenville at  320 Gardner Webb,,7:00 pm ESPN+,"Boiling Springs, NC Paul Porter Arena",0.027,,
NR Simpson at  137 Drake,,7:30 pm ESPN+,"Des Moines, IA Knapp Center",0.027,,
NR Arlington Baptist at  193 UT Arlington,,8:00 pm ESPN+,"Arlington, TX College Park Center",0.027,,
NR Reinhardt at  151 Jacksonville St.,,12:00 pm ESPN+,"Jacksonville, AL Pete Mathews Coliseum",0.027,,
NR Ecclesia at  178 Southern,,12:00 pm,"Baton Rouge, LA Clark Activity Center",0.027,,
NR Molloy at  157 Hofstra,,11:30 am FloSports,"Hempstead, NY Mack Sports Complex",0.027,,
NR Lincoln CA at  133 UC Irvine,,10:00 pm ESPN+,"Irvine, CA Bren Events Center",0.027,,
NR Geneva at  207 Robert Morris,,7:00 pm ESPN+,"Moon Township, PA UPMC Events Center",0.027,,
NR Virginia Lynchburg at  331 Tennessee Tech,,7:00 pm ESPN+,"Cookeville, TN Hooper Eblen Arena",0.027,,
NR Columbia International at  163 Furman,,6:30 pm ESPN+,"Greenville, SC Timmons Arena",0.027,,
NR Ripon at  338 Green Bay,,12:00 pm ESPN+,"Green Bay, WI Kress Center",0.027,,
NR Penn St. Shenango at  143 Youngstown St.,,6:30 pm ESPN+,"Youngstown, OH Beeghly Center",0.027,,
