Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
16 St. John's vs.  11 Iowa St.,Iowa St. 80-78 (57%) [75],4:30 pm truTV,"Las Vegas, NV Michelob Ultra Arena",85.31,,
3 Gonzaga vs.  17 Alabama,Gonzaga 87-82 (67%) [76],9:30 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",83.02,,
15 Michigan vs.  42 San Diego St.,Michigan 77-72 (67%) [72],10:30 pm truTV,"Las Vegas, NV Michelob Ultra Arena",73.63,,
49 Creighton vs.  21 Baylor,Baylor 80-76 (64%) [69],2:00 pm truTV,"Las Vegas, NV Michelob Ultra Arena",71.94,,
26 USC vs.  61 Boise St.,USC 79-74 (66%) [72],5:00 pm ESPN2,"Lahaina, HI Lahaina Civic Center",68.75,,
22 Auburn vs.  58 Oregon,Auburn 79-74 (67%) [71],8:00 pm truTV,"Las Vegas, NV Michelob Ultra Arena",68.46,,
27 Kansas vs.  74 Notre Dame,Kansas 75-69 (69%) [67],3:30 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",63.07,,
85 Arizona St. vs.  41 Texas,Texas 77-71 (68%) [70],11:30 pm ESPN2,"Lahaina, HI Lahaina Civic Center",60.48,,
68 Maryland vs.  98 UNLV,Maryland 82-80 (59%) [73],12:00 am TNT,"Las Vegas, NV MGM Grand Garden Arena",60.39,,
4 Houston vs.  59 Syracuse,Houston 75-65 (83%) [67],6:00 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",55.61,,
88 Seton Hall vs.  19 N.C. State,N.C. State 75-67 (77%) [67],2:30 pm ESPN2,"Lahaina, HI Lahaina Civic Center",54.111,,
112 Murray St. vs.  95 McNeese,McNeese 80-79 (55%) [72],7:30 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",53.512,,
106 Loyola Marymount vs.  119 Florida Atlantic,Loyola Marymount 74-73 (55%) [68],8:30 pm CBS Sports Network,"Daytona Beach, FL Ocean Center",49.513,,
129 Southern Illinois vs.  105 UAB,UAB 84-81 (62%) [75],1:30 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",47.214,,
123 Temple vs.  128 UC San Diego,Temple 78-77 (52%) [70],4:30 pm ESPNU,"Kissimmee, FL State Farm Field House",46.215,,
136 Towson vs.  100 Rhode Island,Rhode Island 71-68 (63%) [66],11:00 am ESPN2,"Kissimmee, FL State Farm Field House",43.716,,
111 Troy vs.  153 Toledo,Troy 82-78 (67%) [70],11:00 am FloSports,"Fort Myers, FL Alico Arena",41.317,,
168 Jacksonville St. at  177 Arkansas St.,Arkansas St. 78-75 (58%) [72],8:00 pm ESPN+,"Jonesboro, AR First National Bank Arena",37.318,,
