rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
159,College of Charleston,College of Charleston,-0.488921658592384,0.796812806095903,0.307891147503519,-10.8951641656453,29.0480547935594,181,148,69.2631069,141,158,342,168,0.451612903225806,0.516129032258065,-0.0645161290322581,14,16,20,11,#FAFBFD,#FFFBF6,#FFFEFD,#CCE3D9,#F5C29A,College of Charleston performs at a similar level against both good and bad teams.,College of Charleston plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
160,Fordham,Fordham,-3.02798083835165,3.20476992332317,0.176789084971519,32.9203988500383,0.511406259805008,236,97,66.06110985,323,159,310,172,0.392857142857143,0.321428571428571,0.0714285714285714,11,9,14,14,#E0ECF6,#FFEFDC,#FFFEFE,#EF7D84,#EFE6BB,Fordham plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Fordham performs at a similar level regardless of the pace of the game.
161,Penn,Penn 🔒,-1.79502953210663,1.93542234975572,0.14039281764909,-13.9413132367567,24.2249729026857,205,125,70.29441575,83,164,324,196,0.423076923076923,0.384615384615385,0.0384615384615384,11,10,15,11,#ECF3F9,#FFF5E9,#FFFEFE,#BEDBD7,#F4C89F,Penn performs at a similar level against both good and bad teams.,Penn plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
162,Siena,Siena 🤕,-0.324432363732835,0.441630007074686,0.117197643341851,6.39434986800484,-35.2342892560719,178,157,66.0892751,320,172,190,166,0.5,0.470588235294118,0.0294117647058824,17,16,23,11,#FBFCFE,#FFFCFA,#FFFEFE,#FFE5CD,#A8C2C2,Siena performs at a similar level against both good and bad teams.,Siena plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
163,Bowling Green,Bowling Green 📉,-2.76849122008538,2.86046196083009,0.0919707407447095,-22.8801933198954,-67.7164643214731,231,105,69.81208165,110,161,229,149,0.571428571428571,0.464285714285714,0.107142857142857,16,13,15,13,#E3EDF6,#FFF1DF,#FFFEFE,#94C5D2,#70A6C7,Bowling Green plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Bowling Green plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
164,Middle Tennessee,Middle Tennessee,-0.221348216459346,0.295295917599303,0.0739477011399567,38.1716661396711,-11.410575570993,174,162,67.09818085,275,162,254,189,0.357142857142857,0.428571428571429,-0.0714285714285714,10,12,14,14,#FCFDFE,#FFFDFB,#FFFEFE,#E76877,#D8DBBD,Middle Tennessee plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Middle Tennessee performs at a similar level regardless of the pace of the game.
165,Kennesaw State,Kennesaw State 🤕,1.42507985852277,-1.35432012195383,0.0707597365689407,55.3422195417871,17.201413827185,139,203,72.06230295,21,178,76,164,0.535714285714286,0.357142857142857,0.178571428571429,15,10,15,13,#FFF8F0,#EFF5FA,#FFFEFE,#BD2B52,#F2D1A7,Kennesaw State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Kennesaw State performs at a similar level regardless of the pace of the game.
166,Idaho,Idaho 🔥,-0.0717168580028727,0.082681665407068,0.0109648074041953,-26.4005557923807,25.2736854223464,171,166,68.535806005,180,163,205,176,0.548387096774194,0.516129032258065,0.032258064516129,17,16,17,14,#FEFEFE,#FFFEFE,#FFFEFE,#8ABBCE,#F4C69E,Idaho plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Idaho plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
167,William & Mary,William & Mary,1.68013194203423,-1.79328869390444,-0.113156751870208,0.326226562499392,-9.74834520994358,135,213,73.4632764,6,165,192,167,0.433333333333333,0.433333333333333,0,13,13,18,12,#FFF7ED,#EAF2F9,#FEFEFE,#FFFDDF,#DBDCBD,William & Mary performs at a similar level against both good and bad teams.,William & Mary performs at a similar level regardless of the pace of the game.
168,Loyola Marymount,Loyola Marymount 🤕,-2.04709290958734,1.82481464883956,-0.222278260747787,-57.9102898314219,-49.9781996246205,215,131,68.206966145,204,180,238,140,0.451612903225806,0.419354838709677,0.032258064516129,14,13,14,17,#EAF2F9,#FFF6EB,#FDFEFE,#2C62AB,#8AB3C4,Loyola Marymount plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Loyola Marymount plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
