current_team,logo
Delaware St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2169.png&h=200&w=200
Denver,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2172.png&h=200&w=200
DePaul,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/305.png&h=200&w=200
Detroit Mercy,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2174.png&h=200&w=200
Drake,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png&h=200&w=200
Drexel,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2182.png&h=200&w=200
Duke,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Duquesne,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png&h=200&w=200
East Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
East Tennessee St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2193.png&h=200&w=200
East Texas A&M,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2837.png&h=200&w=200
Eastern Illinois,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png&h=200&w=200
Eastern Kentucky,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png&h=200&w=200
Eastern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Eastern Washington,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/331.png&h=200&w=200
Elon,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&h=200&w=200
Evansville,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/339.png&h=200&w=200
Fairfield,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png&h=200&w=200
Fairleigh Dickinson,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/161.png&h=200&w=200
FIU,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&h=200&w=200
Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida A&M,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/50.png&h=200&w=200
Florida Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida Gulf Coast,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png&h=200&w=200
Florida St.,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Fordham,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png&h=200&w=200
Fresno St.,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Furman,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png&h=200&w=200
Gardner Webb,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2241.png&h=200&w=200
George Mason,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2244.png&h=200&w=200
