Rank,Team
1,Arizona
2,Iowa St.
3,Connecticut
4,Michigan
5,Purdue
6,Duke
7,Houston
8,Nebraska
9,Gonzaga
10,Vanderbilt
11,BYU
12,Michigan St.
13,Illinois
14,North Carolina
15,Texas Tech
16,Virginia
17,Arkansas
18,Alabama
19,Florida
20,Louisville
21,Georgia
22,Clemson
23,Utah State
24,Tennessee
25,Seton Hall
